match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_progressiveBallCarriesCount,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_keyPass,captain,stat_outfielderBlock,stat_wonTackle,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_errorLeadToAShot,stat_totalCross,stat_blockedScoringAttempt,stat_accurateCross,stat_goals,stat_totalOffside,stat_lastManTackle,stat_errorLeadToAGoal,stat_ownGoals
14064485,home,Paris Saint-Germain,Matvey Safonov,matvey-safonov,M. Safonov,G,39,191,16026,M,MSafonov,800749,EUR,919900800,G,39,39,False,30.0,26.0,11.0,7.0,0.0,25.0,26.0,1.0,4.0,1.0,2.0,6.0,1.0,1.0,2.0,3.0,2.0,2.0,90.0,39.0,8.3,4.0,0.0002498,42.953888536398,5.0,-2.6400062246455,0.0,0.7372,0,0.5824,0.06,0.01,0.19,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14064485,home,Paris Saint-Germain,Warren Zaïre-Emery,warren-zaire-emery,W. Zaïre-Emery,M,33,178,16154,M,wzairemery6,1142672,EUR,1141776000,D,33,33,False,36.0,33.0,1.0,1.0,0.0,20.0,21.0,13.0,15.0,2.0,1.0,5.0,,,,,,,75.0,53.0,6.6,7.0,0.0195199,136.30139330984,16.0,42.36203745853,1.0,,0,,-0.08,0.14,-0.03,,,,2.0,1.0,5.0,1.0,1.0,3.0,1.0,3.0,1.0,18.931784743492,21.84169370722,1.0,,,,,,,,,,,,,,,,,,,,,,
14064485,home,Paris Saint-Germain,Marquinhos,marquinhos,Marquinhos,D,5,183,36538,M,marquinhosm5,155995,EUR,768873600,D,5,5,False,58.0,53.0,6.0,3.0,0.0,40.0,43.0,13.0,15.0,7.0,2.0,5.0,,,,,,,90.0,69.0,7.9,6.0,0.00669784,114.78404012779,18.0,9.6323951139399,0.0,,0,,0.25,0.03,0.57,,,,,4.0,1.0,,1.0,2.0,3.0,,,,,,True,2.0,1.0,,,,,,,,,,,,,,,,,,,
14064485,home,Paris Saint-Germain,Willian Pacho,willian-pacho,W. Pacho,D,51,187,25491,M,pachowilliam,979480,EUR,1003190400,D,51,51,False,57.0,52.0,2.0,,0.0,48.0,51.0,4.0,6.0,4.0,2.0,3.0,,,,,,,90.0,68.0,6.9,5.0,0.00211251,72.558068130372,13.0,7.6838179555414,0.0,,0,,-0.05,0.04,0.24,,,,4.0,1.0,5.0,1.0,,1.0,3.0,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,
14064485,home,Paris Saint-Germain,Nuno Mendes,nuno-mendes,N. Mendes,D,25,180,37370,M,nunomendes_5,989768,EUR,1024444800,D,25,25,False,61.0,58.0,7.0,6.0,1.0,31.0,32.0,27.0,29.0,9.0,2.0,9.0,3.0,,,,,,90.0,82.0,9.8,6.0,0.860454,250.07640153859,27.0,161.98709696747,7.0,,3,,1.0,0.63,-0.01,,,,,1.0,1.0,1.0,,1.0,1.0,2.0,,37.777385197847,143.55526359301,5.0,,,1.0,4.0,4.0,3.0,1.0,2.0,1.0,1.0,0.5711,0.3188,-0.52,,,,,,,,,
14064485,home,Paris Saint-Germain,Senny Mayulu,mayulu-senny,S. Mayulu,M,24,183,21840,M,,1473491,EUR,1147824000,M,24,24,False,26.0,21.0,1.0,,2.0,8.0,9.0,13.0,17.0,3.0,,5.0,1.0,,,,,,75.0,35.0,6.9,7.0,0.0721502,86.921893125594,13.0,22.408243644312,1.0,,1,,-0.53,0.34,-0.05,,,,,,2.0,1.0,,1.0,2.0,1.0,1.0,17.017173101892,18.198565767664,2.0,,,1.0,,,1.0,,1.0,,,0.0431,,-0.32,,,,,,,,,
14064485,home,Paris Saint-Germain,Vitinha,vitinha,Vitinha,M,17,172,50484,M,vitinha,902029,EUR,950400000,M,17,17,False,91.0,84.0,4.0,4.0,0.0,48.0,52.0,36.0,39.0,2.0,1.0,5.0,1.0,,,,,,90.0,101.0,7.2,9.0,0.0510472,318.72946488109,42.0,78.604363826403,2.0,,0,,0.36,0.22,-0.11,,,,,,1.0,,,2.0,1.0,1.0,1.0,26.847392725847,49.03350015749,3.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,
14064485,home,Paris Saint-Germain,João Neves,joao-neves,J. Neves,M,87,174,37142,M,joao_neves,1190933,EUR,1096243200,M,87,87,False,59.0,53.0,3.0,2.0,0.0,34.0,36.0,19.0,23.0,9.0,,8.0,3.0,,,,,,90.0,77.0,7.2,11.0,0.184361,189.37188724499,20.0,122.57355159654,3.0,,1,,-0.09,0.34,-0.03,,,,,2.0,5.0,1.0,,,2.0,2.0,3.0,28.108112553459,55.146894087549,,,,1.0,3.0,2.0,,,,1.0,,0.1741,0.1944,0.02,,,,,,,,,
14064485,home,Paris Saint-Germain,Désiré Doué,desire-doue,D. Doué,F,14,181,91970,M,DD14,1154605,EUR,1117756800,F,14,14,False,28.0,23.0,1.0,1.0,0.0,9.0,12.0,14.0,16.0,3.0,,3.0,2.0,,,,,,62.0,49.0,6.7,14.0,0.0465712,223.96161527558,21.0,98.077319319946,5.0,,6,,0.25,0.36,-0.02,,Désiré Doué,,,,7.0,,1.0,,1.0,1.0,2.0,32.1523705924,101.03195330142,,,,1.0,4.0,,,2.0,3.0,1.0,1.0,1.0079,0.6562,-0.6,,2.0,2.0,,,,,,
14064485,home,Paris Saint-Germain,Ousmane Dembélé,ousmane-dembele,O. Dembélé,F,10,178,239383,M,ODembélé,818244,EUR,863654400,F,10,10,False,20.0,16.0,2.0,1.0,1.0,2.0,2.0,14.0,18.0,5.0,,1.0,,,,,,,75.0,33.0,10.0,8.0,0.246332,92.556838642576,9.0,66.169196173218,3.0,,3,,0.38,0.47,-0.01,,,,,,1.0,,,,,,,24.551849190888,52.984820789449,2.0,,,,6.0,5.0,,,1.0,2.0,,0.6047,0.866,0.88,,4.0,,1.0,2.0,1.0,,,
