match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_bigChanceCreated,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,stat_outfielderBlock,stat_interceptionWon,stat_totalContest,stat_wonContest,stat_wonTackle,player_firstName,player_lastName,stat_goalAssist,stat_hitWoodwork,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_errorLeadToAShot,stat_totalOffside
11450036,home,Galatasaray,Fernando Muslera,fernando-muslera,F. Muslera,G,16,190,9264,M,Muslera,28381,EUR,519264000,G,1,1,False,True,26.0,21.0,8.0,3.0,19.0,20.0,2.0,6.0,1.0,1.0,1.0,8.0,3.0,2.0,2.0,1.0,2.0,2.0,90.0,39.0,7.6,5.0,0.00016001,0,0.9366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450036,home,Galatasaray,Barış Alper Yılmaz,baris-alper-yilmaz,B. A. Yılmaz,M,53,186,13210,M,barisalperyilmaz,904096,EUR,959040000,D,53,53,False,,35.0,27.0,4.0,1.0,14.0,18.0,16.0,23.0,1.0,3.0,,4.0,,,,,,,84.0,64.0,6.7,19.0,0.26227,2,,6.0,3.0,4.0,9.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0971,2.0,,,,,,,,,,,,,,,
11450036,home,Galatasaray,Victor Nelsson,victor-nelsson,V. Nelsson,D,15,187,2642,M,Nelsson,846148,EUR,908323200,D,25,25,False,,51.0,44.0,5.0,,31.0,35.0,13.0,16.0,2.0,2.0,5.0,3.0,,,,,,,90.0,62.0,6.9,9.0,0.00545916,0,,,,1.0,2.0,,,,,,,2.0,,1.0,,,1.0,,,,,,,,,,,,,,
11450036,home,Galatasaray,Abdülkerim Bardakcı,abdulkerim-bardakci,A. Bardakcı,D,42,185,6104,M,abdulkerimbard1,178963,EUR,778896000,D,42,42,False,,55.0,49.0,6.0,3.0,29.0,30.0,20.0,25.0,2.0,2.0,2.0,4.0,,,,,,,90.0,61.0,7.1,6.0,0.0109863,1,,,,2.0,3.0,1.0,,,1.0,,,,,,0.1006,,,2.0,,,,,,,,,,,,,
11450036,home,Galatasaray,Derrick Köhn,derrick-kohn,D. Köhn,D,39,180,1915,M,,886737,EUR,918086400,D,17,17,False,,43.0,31.0,6.0,2.0,12.0,18.0,19.0,26.0,1.0,8.0,1.0,2.0,,,,,,,90.0,67.0,7.8,17.0,0.166133,0,,1.0,,,1.0,,,,,,5.0,1.0,1.0,1.0,,1.0,,2.0,1.0,1.0,4.0,,,,,,,,,,
11450036,home,Galatasaray,Lucas Torreira,lucas-torreira,L. Torreira,M,34,168,8760,M,ltorreira34,754794,EUR,823996800,M,34,34,False,,49.0,45.0,4.0,4.0,24.0,26.0,21.0,23.0,2.0,7.0,2.0,3.0,,,,,,,90.0,61.0,7.5,5.0,0.0317754,1,,,,2.0,4.0,1.0,,,,1.0,5.0,,,,0.0184,1.0,1.0,,1.0,,4.0,,,,,,,,,,
11450036,home,Galatasaray,Kerem Demirbay,kerem-demirbay,K. Demirbay,M,26,185,2104,M,,142619,EUR,741657600,M,8,8,False,,40.0,35.0,4.0,3.0,13.0,14.0,24.0,29.0,,4.0,1.0,4.0,,,,,,,84.0,52.0,7.1,7.0,0.0901196,1,,3.0,2.0,1.0,2.0,,,,1.0,,2.0,,2.0,1.0,0.0204,,,,,,2.0,,,,,,,,,,
11450036,home,Galatasaray,Hakim Ziyech,hakim-ziyech,H. Ziyech,M,30,181,61036,M,HZiyech,249437,EUR,732499200,M,22,22,False,,27.0,20.0,2.0,1.0,7.0,8.0,15.0,22.0,,2.0,,3.0,,,,,,,68.0,41.0,7.0,11.0,0.218874,1,,3.0,2.0,,4.0,,,,,1.0,,2.0,1.0,3.0,0.0606,3.0,,,2.0,1.0,,,,,,,,,,,
11450036,home,Galatasaray,Dries Mertens,dries-mertens,D. Mertens,M,,169,10127,M,driesmertens,32493,EUR,547257600,M,10,10,False,,29.0,23.0,1.0,,6.0,6.0,22.0,32.0,,1.0,1.0,6.0,,,,,,,88.0,48.0,8.0,12.0,0.680812,4,,9.0,5.0,1.0,8.0,2.0,,3.0,4.0,,,,,4.0,0.1466,5.0,,,3.0,1.0,,,,1.0,1.0,,,,,,
11450036,home,Galatasaray,Wilfried Zaha,wilfried-zaha,W. Zaha,M,10,180,18594,M,wilfriedzaha,111850,EUR,721353600,M,14,14,False,,32.0,26.0,1.0,,5.0,8.0,21.0,24.0,1.0,3.0,,7.0,,,,,,,67.0,47.0,6.6,14.0,0.136199,1,,,,,4.0,,2.0,,,1.0,1.0,4.0,1.0,1.0,0.0565,,,,1.0,,1.0,,,,,,,,,,
