match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,captain,stat_penaltyConceded,stat_blockedScoringAttempt,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goalAssist,player_sofascoreId,stat_errorLeadToAShot,stat_bigChanceCreated,stat_goals,stat_bigChanceMissed,stat_totalOffside,stat_hitWoodwork
10438154,home,Gil Vicente,Andrew,andrew,Andrew,G,42,189,2669,M,947893,EUR,993945600,G,42,42,False,34.0,24.0,14.0,4.0,22.0,25.0,2.0,9.0,1.0,1.0,2.0,11.0,1.0,4.0,1.0,5.0,1.0,1.0,1.0,90.0,48.0,7.1,10.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438154,home,Gil Vicente,Carraça,carraca,Carraça,D,15,177,50,M,589020,EUR,730944000,D,15,15,False,42.0,34.0,6.0,4.0,15.0,18.0,20.0,31.0,1.0,2.0,1.0,5.0,,,,,,,,90.0,74.0,6.3,16.0,0,,,7.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,
10438154,home,Gil Vicente,Gabriel Pereira,gabriel-pereira,G. Pereira,D,5,188,592,M,992652,EUR,957657600,D,13,13,False,42.0,37.0,7.0,4.0,28.0,30.0,9.0,12.0,2.0,7.0,4.0,7.0,,,,,,,,90.0,61.0,6.6,8.0,0,,,,,9.0,3.0,,,2.0,1.0,2.0,,3.0,2.0,1.0,3.0,3.0,2.0,,,,,,,,,,,,,
10438154,home,Gil Vicente,Rúben Fernandes,ruben-fernandes,R. Fernandes,D,26,186,38,M,59751,EUR,515721600,D,26,26,False,44.0,37.0,4.0,1.0,32.0,34.0,5.0,10.0,1.0,1.0,2.0,5.0,,,,,,,,90.0,50.0,5.9,8.0,0,,,,,4.0,1.0,,1.0,1.0,,1.0,1.0,3.0,,,,,,True,1.0,,,,,,,,,,,
10438154,home,Gil Vicente,Adrián Marín,adrian-marin,A. Marín,D,21,181,96,M,547242,EUR,852768000,D,19,19,False,40.0,30.0,3.0,1.0,14.0,19.0,17.0,24.0,3.0,6.0,5.0,4.0,,,,,,,,90.0,62.0,6.8,15.0,0,,,3.0,1.0,2.0,1.0,,,,,,2.0,,2.0,1.0,,2.0,1.0,,,,,,,,,,,,,
10438154,home,Gil Vicente,Vítor Carvalho,vitor-carvalho,V. Carvalho,M,6,183,434,M,887754,EUR,864691200,M,21,21,False,49.0,42.0,4.0,3.0,26.0,29.0,16.0,21.0,1.0,3.0,4.0,6.0,,,,,,,,90.0,59.0,6.7,9.0,0,,,1.0,,4.0,1.0,1.0,,,,1.0,,1.0,,,1.0,2.0,2.0,,,,,,,,,,,,,
10438154,home,Gil Vicente,Giorgi Aburjania,giorgi-aburjania,G. Aburjania,M,29,187,130,M,156569,EUR,789004800,M,8,8,False,43.0,33.0,3.0,,17.0,20.0,16.0,23.0,1.0,4.0,,5.0,,,,,,,,80.0,52.0,5.8,13.0,1,,,,,9.0,5.0,1.0,,,2.0,1.0,1.0,,2.0,,,1.0,,,,1.0,,,,,,,,,,
10438154,home,Gil Vicente,Juan Manuel Boselli,juan-manuel-boselli,J. M. Boselli,F,20,174,192,M,873720,EUR,942105600,M,20,20,False,17.0,12.0,2.0,2.0,5.0,6.0,7.0,11.0,,5.0,1.0,5.0,,,,,,,,65.0,35.0,6.8,10.0,4,,,,,8.0,2.0,2.0,,2.0,2.0,1.0,,2.0,4.0,3.0,,,,,,,2.0,2.0,,,,,,,,
10438154,home,Gil Vicente,Pedro Tiba,pedro-tiba,P. Tiba,M,,174,70,M,138700,EUR,588988800,M,25,25,False,28.0,20.0,3.0,2.0,9.0,10.0,11.0,18.0,,1.0,1.0,4.0,,,,,,,,65.0,39.0,6.8,12.0,3,,,,,5.0,1.0,2.0,,2.0,,2.0,1.0,,1.0,1.0,,,,,,1.0,,2.0,,,,,,,,
10438154,home,Gil Vicente,Murilo Souza,murilo-souza,M. Souza,F,77,176,196,M,611880,EUR,783561600,M,77,77,False,29.0,26.0,1.0,1.0,8.0,9.0,19.0,27.0,,3.0,1.0,3.0,,,,,,,,90.0,55.0,6.3,17.0,2,,,7.0,1.0,9.0,1.0,1.0,,2.0,1.0,,2.0,2.0,7.0,2.0,,,,,,,1.0,1.0,,,,,,,,
10438154,home,Gil Vicente,Fran Navarro,fran-navarro,F. Navarro,F,39,179,1028,M,914772,EUR,886464000,F,9,9,False,13.0,11.0,1.0,1.0,7.0,8.0,4.0,5.0,1.0,2.0,,3.0,,,,,,,,90.0,21.0,6.3,6.0,1,,,,,8.0,2.0,1.0,,1.0,,2.0,1.0,1.0,2.0,,,1.0,1.0,,,,1.0,,,,,,,,,
10438154,home,Gil Vicente,Kanya Fujimoto,kanya-fujimoto,K. Fujimoto,M,27,176,609,M,925987,EUR,930787200,M,10,10,True,15.0,12.0,3.0,1.0,7.0,8.0,5.0,7.0,,,,4.0,,,,,,,,25.0,22.0,6.2,7.0,0,,,,,4.0,1.0,1.0,1.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,,
10438154,home,Gil Vicente,Bilel Aouacheria,bilel-aouacheria,B. Aouacheria,M,,180,52,M,583826,EUR,765244800,F,7,7,True,9.0,7.0,1.0,,2.0,2.0,5.0,7.0,,5.0,,2.0,,,,,,,,25.0,21.0,6.6,7.0,1,,,,,7.0,,1.0,,2.0,1.0,3.0,,1.0,3.0,1.0,,3.0,2.0,,,1.0,,,,,,,,,,
10438154,home,Gil Vicente,Depú,depu,Depú,F,40,187,1883,M,1182223,EUR,947289600,F,29,29,True,4.0,2.0,,,,,2.0,4.0,1.0,1.0,,1.0,,,,,,,,10.0,6.0,6.5,2.0,0,Depú,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,
