match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,injury,isHome,incidentClass,player_id,player_name,playerName,rescinded,reason
13080876,FT,1.0,0.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,
13080876,,,,,87,,,4,,,substitution,123351449.0,False,False,regular,,,,,
13080876,,,,,87,,,4,,,substitution,123351448.0,False,False,regular,,,,,
13080876,,,,,85,,,6,,,substitution,123351402.0,False,True,regular,,,,,
13080876,,1.0,0.0,,81,,,10,,,goal,191373191.0,,True,regular,136751.0,Jordan Slew,,,
13080876,,,,,81,,,10,,,card,121825852.0,,True,yellow,136751.0,Jordan Slew,Jordan Slew,False,
13080876,,,,,77,,,14,,,card,121760474.0,,False,red,184687.0,Neill Byrne,Neill Byrne,False,Violent conduct
13080876,,,,,71,,,20,,,substitution,123351155.0,False,False,regular,,,,,
13080876,,,,,71,,,20,,,substitution,123351154.0,False,False,regular,,,,,
13080876,,,,,71,,,20,,,substitution,123351153.0,False,False,regular,,,,,
13080876,,,,,55,,,36,,,substitution,123350886.0,False,True,regular,,,,,
13080876,HT,0.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,
13080876,,,,,31,,,15,,,card,121759964.0,,False,yellow,1082503.0,Jay Benn,Jay Benn,False,Foul
13080876,,,,,-5,,,6,,,card,121760475.0,,False,yellow,,,Graham Alexander,False,Argument
