match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_outfielderBlock,stat_wasFouled,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_totalOffside,stat_dispossessed,player_firstName,player_lastName,captain,stat_goalAssist,stat_accurateCross,stat_keyPass,player_sofascoreId,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_bigChanceCreated,stat_hitWoodwork,stat_ownGoals,stat_bigChanceMissed,stat_errorLeadToAShot
11409223,home,FC Arouca,Ignacio de Arruabarrena,ignacio-de-arruabarrena,I. d. Arruabarrena,G,12,186,301,M,789933,EUR,853372800,G,12,12,False,32.0,19.0,24.0,11.0,11.0,14.0,8.0,18.0,1.0,1.0,1.0,9.0,1.0,2.0,1.0,4.0,1.0,1.0,90.0,43.0,6.5,13.0,0.0,0.0,0.00205411,0,-0.0964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409223,home,FC Arouca,Tiago Esgaio,tiago-esgaio,T. Esgaio,D,28,175,68,M,863637,EUR,807235200,D,28,28,False,37.0,16.0,9.0,2.0,14.0,21.0,2.0,17.0,8.0,14.0,3.0,6.0,,,,,,,90.0,64.0,6.7,26.0,0.02,0.0,0.00184291,1,,1.0,1.0,3.0,1.0,1.0,2.0,6.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11409223,home,FC Arouca,Nino Galović,nino-galovic,N. Galović,D,,184,65,M,161431,EUR,710380800,D,44,44,False,39.0,30.0,8.0,2.0,25.0,29.0,5.0,10.0,2.0,3.0,8.0,5.0,,,,,,,90.0,50.0,6.4,10.0,0.0,0.0,0.00528057,0,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11409223,home,FC Arouca,Jerome Opoku,opoku-jerome,J. Opoku,D,3,194,1396,M,920514,EUR,908323200,D,3,3,False,31.0,24.0,5.0,1.0,21.0,23.0,3.0,8.0,3.0,4.0,8.0,2.0,,,,,,,90.0,48.0,6.9,8.0,0.0314,0.0,0.0223897,1,,,1.0,1.0,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
11409223,home,FC Arouca,Mateus Quaresma,mateus-quaresma,M. Quaresma,D,66,181,70,M,874360,EUR,840672000,D,6,6,False,24.0,21.0,1.0,,13.0,14.0,8.0,12.0,1.0,6.0,4.0,3.0,,,,,,,77.0,51.0,6.8,9.0,0.0,0.0,0.0181047,0,,2.0,,2.0,1.0,,1.0,2.0,2.0,1.0,1.0,,3.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,
11409223,home,FC Arouca,Jason,jason,Jason,M,23,179,253,M,330677,EUR,773452800,M,10,10,False,14.0,9.0,,,4.0,7.0,5.0,10.0,1.0,2.0,,2.0,,,,,,,60.0,26.0,6.5,9.0,0.0758,0.0,0.00191099,3,,3.0,3.0,5.0,,3.0,1.0,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,
11409223,home,FC Arouca,Kouassi Eboue,kouassi-eboue,K. Eboue,M,8,185,220,M,839099,EUR,881971200,M,8,8,False,15.0,12.0,,,10.0,12.0,2.0,3.0,2.0,3.0,2.0,2.0,,,,,,,37.0,19.0,5.3,3.0,0.0,0.0,0.00085192,0,,,1.0,4.0,1.0,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,
11409223,home,FC Arouca,David Simão,david-simao,D. Simão,M,8,183,75,M,54672,EUR,642729600,M,5,5,False,38.0,31.0,8.0,5.0,19.0,21.0,14.0,19.0,,8.0,,5.0,,,,,,,90.0,53.0,8.1,9.0,0.0,0.0,0.160961,0,,2.0,,1.0,,,,2.0,1.0,,,4.0,2.0,2.0,,,1.0,,,True,2.0,2.0,4.0,,,,,,,,,
11409223,home,FC Arouca,Morlaye Sylla,morlaye-sylla,M. Sylla,M,2,170,6425,M,822492,EUR,901497600,M,2,2,False,22.0,22.0,2.0,2.0,12.0,12.0,11.0,11.0,1.0,5.0,1.0,,,,,,,,61.0,32.0,6.9,2.0,0.0,0.0,0.030615,0,,1.0,,2.0,,,,3.0,2.0,1.0,,1.0,1.0,,1.0,,,,,,,1.0,1.0,morlayesylla2,,,,,,,,
11409223,home,FC Arouca,Cristo González,cristo-gonzalez,C. González,M,33,180,344,M,592100,EUR,877651200,F,23,23,False,20.0,14.0,1.0,,8.0,8.0,6.0,13.0,,,,5.0,,,,,,,82.0,26.0,6.8,10.0,0.0694,0.2348,0.00205502,2,,1.0,,4.0,1.0,,,,,2.0,,,1.0,,2.0,,,,,,,,,,1.0,1.0,1.0,,,,,
11409223,home,FC Arouca,Rafa Mújica,rafa-mujica,R. Mújica,F,19,183,746,M,845424,EUR,909619200,F,19,19,False,11.0,9.0,,,1.0,1.0,8.0,10.0,1.0,2.0,,2.0,,,,,,,61.0,19.0,7.0,6.0,0.0629,0.3492,0.0037586,1,,,,4.0,,,,,,2.0,,1.0,1.0,,2.0,,1.0,,,,,,,,1.0,,1.0,,,,,
11409223,home,FC Arouca,Miguel Puche,puche-miguel,M. Puche,F,11,180,48,M,1000680,EUR,988588800,F,11,11,True,2.0,2.0,,,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,,,,30.0,4.0,6.7,,0.0085,0.0299,0.0001122,1,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,
