match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_progressiveBallCarriesCount,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_outfielderBlock,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_challengeLost,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_expectedGoals,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_keyPass,captain,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_dispossessed,stat_totalOffside,stat_bigChanceMissed,stat_punches,stat_hitWoodwork
13472824,home,Corinthians,Hugo Souza,hugo-souza,H. Souza,G,1,199,25650,M,hugosouza,950454,EUR,917740800,G,1,1,False,30.0,23.0,8.0,1.0,0.0,22.0,24.0,1.0,6.0,1.0,1.0,12.0,1.0,1.0,90.0,38.0,7.0,7.0,0.00033491,35.466119970061,5.0,21.265121295434,0.0,0,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472824,home,Corinthians,Cacá,caca,Cacá,D,25,185,3939,M,,929200,EUR,924998400,D,25,25,False,54.0,52.0,4.0,3.0,0.0,32.0,33.0,20.0,21.0,3.0,6.0,3.0,1.0,,90.0,64.0,7.6,2.0,0.324252,132.00168545383,17.0,56.887028604146,2.0,0,,1.0,3.0,2.0,2.0,2.0,2.0,2.0,30.499693713923,52.774687041762,,,,,,,,,,,,,,,,,,,,,,,
13472824,home,Corinthians,João Pedro Tchoca,joao-pedro,J. Pedro,D,4,192,3424,M,,1411150,EUR,1072828800,D,47,47,False,64.0,58.0,9.0,5.0,0.0,44.0,45.0,14.0,19.0,2.0,6.0,3.0,1.0,,90.0,79.0,7.5,8.0,0.00509148,147.4221148489,20.0,59.277047042249,1.0,0,,2.0,4.0,6.0,,3.0,2.0,2.0,15.110944634593,19.775858413733,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
13472824,home,Corinthians,Raniele,raniele,Raniele,M,14,184,6186,M,R14niele,866392,EUR,851990400,D,14,14,False,66.0,57.0,5.0,2.0,0.0,33.0,35.0,24.0,31.0,4.0,13.0,5.0,5.0,,90.0,88.0,7.7,11.0,0.0212364,178.38487424543,23.0,95.53665175745,1.0,2,,4.0,6.0,2.0,2.0,4.0,3.0,,23.259602603533,24.785379258748,,1.0,,,1.0,2.0,1.0,2.0,0.0447,,,,,,,,,,,,,,
13472824,home,Corinthians,Matheuzinho,matheuzinho,Matheuzinho,D,2,171,7286,M,mateuzinhoo,931540,EUR,968371200,M,2,2,False,56.0,48.0,7.0,3.0,0.0,22.0,25.0,26.0,31.0,1.0,2.0,3.0,,,90.0,75.0,7.5,10.0,0.291999,163.83043171546,13.0,86.578329969597,2.0,0,,3.0,6.0,2.0,,1.0,1.0,2.0,22.831510646345,44.678536320908,,1.0,,,1.0,,,,,4.0,3.0,1.0,3.0,,,,,,,,,,
13472824,home,Corinthians,Maycon,maycon,Maycon,M,8,175,3568,M,,831778,EUR,868924800,M,7,7,False,51.0,47.0,6.0,4.0,0.0,24.0,25.0,23.0,26.0,,1.0,3.0,1.0,,89.0,64.0,7.6,7.0,0.0514351,47.729088001422,10.0,11.962844937028,1.0,2,,,2.0,1.0,1.0,,,1.0,5.3728540091137,7.5941135756585,,1.0,,,1.0,,,,0.1629,3.0,1.0,,,True,1.0,1.0,1.0,0.0375,,,,,
13472824,home,Corinthians,Breno Bidon,breno-bidon,B. Bidon,M,27,174,9937,M,BrenoBidon,1199261,EUR,1108857600,M,27,27,False,41.0,35.0,3.0,1.0,0.0,17.0,18.0,18.0,23.0,,7.0,1.0,3.0,,89.0,54.0,7.1,9.0,0.00923713,146.13437749718,21.0,31.117051747937,1.0,0,,1.0,5.0,,,3.0,2.0,3.0,17.586676285107,21.542489085526,1.0,1.0,,,1.0,1.0,1.0,,,2.0,,,,,,,,,,,,,
13472824,home,Corinthians,Matheus Bidu,matheus-bidu,M. Bidu,D,21,172,6254,M,,981703,EUR,925776000,M,21,21,False,45.0,38.0,4.0,2.0,0.0,23.0,25.0,15.0,20.0,,4.0,2.0,1.0,,90.0,72.0,6.8,15.0,0.111162,96.145234898815,12.0,63.678011647221,1.0,0,,2.0,5.0,,1.0,1.0,,1.0,23.57366818247,26.892382862067,1.0,2.0,,,,3.0,2.0,,,3.0,,,1.0,,,,,,1.0,2.0,,,
13472824,home,Corinthians,Rodrigo Garro,rodrigo-garro,R. Garro,M,8,174,33134,M,rodrigarroo,994454,EUR,883872000,F,8,8,False,54.0,47.0,5.0,4.0,1.0,16.0,18.0,31.0,36.0,,7.0,4.0,4.0,,79.0,71.0,7.7,10.0,0.0511247,94.10050674445,14.0,4.1081791613914,0.0,3,,,1.0,,,,,1.0,,,,1.0,,,,3.0,3.0,1.0,0.2075,2.0,1.0,1.0,3.0,,2.0,,,,,,,,
13472824,home,Corinthians,Yuri Alberto,yuri-alberto,Y. Alberto,F,9,183,45110,M,yurialberto,905463,EUR,984873600,F,9,9,False,15.0,9.0,2.0,1.0,0.0,6.0,8.0,3.0,7.0,,2.0,2.0,2.0,,88.0,32.0,6.2,13.0,0.00299028,57.313402370512,7.0,17.772174611668,1.0,5,,3.0,7.0,1.0,,,,1.0,16.105626084925,24.985776433803,,4.0,,,,1.0,,3.0,0.7914,,,,,,2.0,,,,2.0,1.0,1.0,,
