match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_crossNotClaimed,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_topSpeed,stat_kilometersCovered,stat_numberOfSprints,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_metersCoveredWalkingKm,stat_metersCoveredJoggingKm,stat_metersCoveredRunningKm,stat_metersCoveredHighSpeedRunningKm,stat_metersCoveredSprintingKm,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_challengeLost,stat_totalClearance,stat_outfielderBlock,player_firstName,player_lastName,stat_aerialLost,stat_totalOffside,stat_errorLeadToAShot,stat_keyPass,captain,stat_accurateCross,stat_bigChanceCreated,stat_shotOffTarget,stat_wasFouled,stat_expectedGoals,stat_shotValueNormalized,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_ownGoals,stat_hitWoodwork
14566581,home,Chelsea,Robert Sánchez,robert-sanchez,R. Sánchez,G,1,197.0,18384,M,RS1,920546,EUR,879811200,G,1,1,False,31.0,24.0,13.0,7.0,0.0,21.0,22.0,3.0,9.0,4.0,1.0,3.0,3.0,90.0,39.0,7.4,8.0,0.00079007,17.892,4.71861,0.0,0.2605,0,0.5627,0.03,0.0,0.25,0.28,3.37,1.27,0.07,0.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14566581,home,Chelsea,Malo Gusto,gusto-malo,M. Gusto,D,27,179.0,19294,M,malogst,996958,EUR,1053302400,D,27,27,False,34.0,30.0,1.0,,0.0,18.0,22.0,12.0,12.0,4.0,,,,81.0,49.0,6.9,8.0,0.0132682,29.412,8.81908,9.0,,0,,0.03,0.08,0.17,,2.62,4.18,1.29,0.53,0.2,1.0,1.0,4.0,5.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,
14566581,home,Chelsea,Trevoh Chalobah,trevoh-chalobah,T. Chalobah,D,23,190.0,14433,M,yungchalobah,826134,EUR,931132800,D,23,23,False,84.0,79.0,6.0,4.0,0.0,47.0,48.0,32.0,36.0,2.0,,,,90.0,96.0,7.7,5.0,0.0182642,27.468,9.42323,4.0,,0,,0.31,0.15,0.38,,2.93,4.99,1.1,0.32,0.08,,2.0,1.0,2.0,,,,1.0,,,,,1.0,7.0,1.0,,,,,,,,,,,,,,,,,,,
14566581,home,Chelsea,Benoît Badiashile,benoit-badiashile,B. Badiashile,D,5,194.0,10530,M,badiashile,904827,EUR,985564800,D,5,5,False,99.0,95.0,4.0,3.0,0.0,58.0,59.0,37.0,40.0,10.0,,,,81.0,107.0,7.4,4.0,0.0105176,25.848,7.83481,2.0,,0,,0.18,0.09,0.35,,2.64,4.18,0.78,0.19,0.04,,,2.0,2.0,,,,2.0,2.0,1.0,,1.0,,3.0,,,,1.0,1.0,,,,,,,,,,,,,,,
14566581,home,Chelsea,Marc Cucurella,marc-cucurella,M. Cucurella,D,3,175.0,37144,M,cucurella3,794939,EUR,901065600,D,3,3,False,32.0,27.0,1.0,1.0,0.0,17.0,19.0,10.0,13.0,2.0,,,,90.0,63.0,7.0,13.0,0.111317,30.024,10.51829,21.0,,0,,0.05,0.07,-0.08,,3.14,4.8,1.38,0.79,0.42,2.0,2.0,4.0,7.0,,,,,5.0,3.0,4.0,1.0,1.0,1.0,,,,2.0,,1.0,2.0,,,,,,,,,,,,,
14566581,home,Chelsea,Enzo Fernández,enzo-fernandez,E. Fernández,M,8,177.0,120639,M,Enzo8,974505,EUR,979689600,M,8,8,False,56.0,46.0,4.0,2.0,0.0,18.0,21.0,28.0,35.0,4.0,,,,90.0,73.0,7.6,14.0,0.483116,26.604,10.74154,6.0,,1,,0.46,0.13,0.14,,2.95,5.26,1.75,0.67,0.11,2.0,1.0,7.0,8.0,1.0,1.0,,,3.0,2.0,1.0,2.0,3.0,2.0,,,,,,,1.0,True,1.0,1.0,1.0,4.0,0.033,-0.07,,,,,,
14566581,home,Chelsea,Moisés Caicedo,moises-caicedo,M. Caicedo,M,25,178.0,79211,M,MoisesCaicedo55,987650,EUR,1004659200,M,25,25,False,61.0,60.0,2.0,2.0,0.0,28.0,29.0,32.0,32.0,7.0,,,,90.0,81.0,7.4,5.0,0.0482309,29.34,10.15326,9.0,,0,,0.29,0.15,-0.05,,3.08,4.97,1.44,0.45,0.22,1.0,,7.0,9.0,2.0,1.0,,2.0,7.0,4.0,,,3.0,1.0,,,,1.0,,,2.0,,,,,2.0,,,,,,,,
14566581,home,Chelsea,Pedro Neto,pedro-neto,P. Neto,M,7,172.0,40111,M,pedroneto_30,879349,EUR,952560000,M,7,7,False,25.0,19.0,,,0.0,3.0,5.0,16.0,20.0,5.0,,,,90.0,49.0,7.0,18.0,0.137754,29.7,9.55546,13.0,,2,,0.35,0.37,-0.06,,3.35,4.04,1.29,0.62,0.25,6.0,1.0,5.0,4.0,1.0,3.0,1.0,,2.0,,3.0,1.0,1.0,1.0,,,,,,,2.0,,2.0,,1.0,,0.0827,-0.37,1.0,,,,,
14566581,home,Chelsea,Facundo Buonanotte,facundo-buonanotte,F. Buonanotte,M,40,174.0,18001,M,facubuonanotte_,1117025,EUR,1103760000,M,40,40,False,23.0,17.0,,,0.0,3.0,4.0,14.0,19.0,3.0,,,,54.0,32.0,6.6,7.0,0.0131103,27.108,7.00522,4.0,,1,,-0.16,0.04,0.0,,1.57,3.5,1.38,0.47,0.07,,,2.0,5.0,,,,1.0,2.0,1.0,1.0,2.0,,1.0,,Facundo Buonanotte,,,,,,,,,,3.0,0.0226,-0.03,,1.0,0.0154,,,
14566581,home,Chelsea,Alejandro Garnacho,alejandro-garnacho,A. Garnacho,F,49,180.0,137323,M,AleGarnacho,1135873,EUR,1088640000,M,49,49,False,26.0,22.0,,,0.0,2.0,2.0,20.0,24.0,4.0,,,,61.0,36.0,6.7,7.0,0.025791,28.98,7.01839,10.0,,2,,-0.18,0.33,0.0,,2.01,3.06,1.17,0.56,0.21,1.0,,2.0,3.0,,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,2.0,2.0,0.0998,-0.35,,,,,,
