match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_interceptionWon,player_firstName,player_lastName,stat_outfielderBlock,stat_fouls,player_sofascoreId,stat_dispossessed,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_expectedGoals,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_keyPass,stat_accurateCross,stat_goals,stat_penaltyWon,stat_totalOffside,stat_bigChanceMissed,stat_hitWoodwork,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_goalsPrevented,stat_penaltyConceded
12450906,home,Stade Rennais,Steve Mandanda,steve-mandanda,S. Mandanda,G,30,185,792,M,27029,EUR,480816000,G,30,30,False,True,29.0,27.0,2.0,1.0,0.0,25.0,26.0,2.0,3.0,1.0,13.0,1.0,2.0,2.0,90.0,38.0,7.0,2.0,0.00096938,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450906,home,Stade Rennais,Hans Hateboer,hans-hateboer,H. Hateboer,D,33,185,622,M,356352,EUR,758073600,D,33,33,False,,113.0,106.0,5.0,4.0,0.0,45.0,46.0,61.0,68.0,,2.0,,,,90.0,118.0,7.4,8.0,0.0987015,0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450906,home,Stade Rennais,Leo Østigård,leo-ostigard,L. Østigård,D,5,182,1809,M,879746,EUR,943747200,D,55,55,False,,98.0,89.0,5.0,5.0,0.0,59.0,62.0,30.0,36.0,3.0,2.0,,,,90.0,105.0,7.4,9.0,0.0210833,0,,1.0,4.0,3.0,4.0,,,,2.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
12450906,home,Stade Rennais,Mikayil Faye,mikayil-faye,M. Faye,D,30,183,9505,M,1002564,EUR,1089763200,D,15,15,False,,72.0,66.0,4.0,,0.0,34.0,36.0,32.0,36.0,2.0,4.0,,,,90.0,83.0,7.2,8.0,0.0160983,0,,,,1.0,3.0,,,,1.0,,,,,mikayilfaye,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,
12450906,home,Stade Rennais,Lorenz Assignon,lorenz-assignon,L. Assignon,M,22,179,641,M,1009334,EUR,961632000,M,22,22,False,,39.0,33.0,,,0.0,15.0,16.0,18.0,25.0,,2.0,,,,70.0,58.0,6.3,15.0,0.0185076,1,2.0,,,5.0,1.0,1.0,3.0,,,,,,1.0,,,,,,1.0,1.0,3.0,0.0243,,,,,,,,,,,,,,,
12450906,home,Stade Rennais,Jordan James,jordan-james,J. James,M,6,190,940,M,1136409,EUR,1083024000,M,17,17,False,,88.0,82.0,7.0,5.0,0.0,32.0,34.0,50.0,54.0,,3.0,,,,90.0,98.0,7.6,9.0,0.137393,3,,,,2.0,1.0,,1.0,1.0,2.0,,,,1.0,,1.0,,,,,1.0,2.0,0.1753,1.0,1.0,0.1113,2.0,,,,,,,,,,,
12450906,home,Stade Rennais,Azor Matusiwa,azor-matusiwa,A. Matusiwa,M,5,173,458,M,856495,EUR,893721600,M,6,6,False,,59.0,56.0,4.0,3.0,0.0,24.0,25.0,32.0,34.0,,8.0,,,,70.0,68.0,7.1,6.0,0.053033,0,,1.0,,2.0,3.0,,1.0,,2.0,,,,1.0,,,,2.0,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,
12450906,home,Stade Rennais,Mahamadou Nagida,nagida-mahamadou,M. Nagida,D,18,176,1024,M,1545409,EUR,1119916800,M,18,18,False,,25.0,22.0,,,0.0,14.0,14.0,8.0,14.0,,7.0,,,,62.0,37.0,6.6,7.0,0.00990213,0,3.0,1.0,,2.0,,,,,1.0,Mahamadou Nagida,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
12450906,home,Stade Rennais,Ludovic Blas,ludovic-blas,L. Blas,F,10,180,1176,M,806076,EUR,883526400,F,11,11,False,,40.0,36.0,2.0,2.0,2.0,9.0,9.0,30.0,39.0,1.0,4.0,,,,75.0,75.0,9.5,22.0,0.264586,2,8.0,,,9.0,8.0,,3.0,,,,,,2.0,,4.0,,5.0,4.0,3.0,,5.0,0.4175,,2.0,0.7882,3.0,3.0,1.0,1.0,,,,,,,,
12450906,home,Stade Rennais,Amine Gouiri,amine-gouiri,A. Gouiri,F,9,180,26883,M,859026,EUR,950659200,F,10,10,False,,24.0,17.0,,,0.0,5.0,5.0,12.0,19.0,,1.0,,,,62.0,32.0,7.2,10.0,0.00760005,2,,,,5.0,2.0,1.0,1.0,,,,,,2.0,amine_gouiri,1.0,,1.0,1.0,1.0,,,0.13,1.0,1.0,0.5795,,,1.0,,1.0,,,,,,,
