match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_shotOffTarget,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_interceptionWon,stat_bigChanceCreated,stat_bigChanceMissed,stat_totalClearance,stat_fouls,stat_keyPass,stat_blockedScoringAttempt,stat_accurateCross,stat_challengeLost,stat_goalAssist,stat_wasFouled,player_firstName,player_lastName,stat_hitWoodwork,stat_goals,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_errorLeadToAShot
10385583,home,Everton,Jordan Pickford,jordan-pickford,J. Pickford,G,1,185,7610,M,jpickford1,138530,EUR,762998400,G,1,1,False,True,35.0,16.0,22.0,3.0,15.0,15.0,1.0,20.0,13.0,2.0,4.0,2.0,2.0,90.0,45.0,6.4,19.0,0.0,0.0,0.00012607,0,-0.4172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385583,home,Everton,Ben Godfrey,ben-godfrey,B. Godfrey,D,14,183,614,M,,754698,EUR,884822400,D,22,22,False,,16.0,8.0,2.0,,2.0,4.0,6.0,13.0,,,,,,58.0,30.0,6.3,13.0,0.0564,0.0,0.00270654,1,,1.0,2.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
10385583,home,Everton,Michael Keane,michael-keane,M. Keane,D,5,188,1573,M,,110846,EUR,726710400,D,5,5,False,,59.0,39.0,6.0,1.0,26.0,33.0,13.0,26.0,5.0,,,,,90.0,68.0,6.6,20.0,0.0317,0.029,0.00617418,1,,,2.0,9.0,2.0,11.0,,,,,,,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,
10385583,home,Everton,James Tarkowski,james-tarkowski,J. Tarkowski,D,6,185,2558,M,,145188,EUR,722131200,D,2,2,False,,56.0,46.0,14.0,8.0,23.0,26.0,23.0,30.0,11.0,,,,,90.0,69.0,7.1,10.0,0.3362,0.0,0.165654,1,,,1.0,2.0,2.0,3.0,,1.0,3.0,1.0,1.0,,,,,1.0,1.0,1.0,6.0,1.0,1.0,,,,,,,,,,,,
10385583,home,Everton,Vitaliy Mykolenko,vitaliy-mykolenko,V. Mykolenko,D,16,180,4082,M,mikola_16,876643,EUR,927936000,D,19,19,False,,43.0,30.0,3.0,1.0,16.0,20.0,14.0,24.0,8.0,,,,,90.0,64.0,6.6,17.0,0.0435,0.0,0.00735156,1,,1.0,2.0,2.0,4.0,5.0,,,,3.0,2.0,2.0,,,,1.0,,,3.0,2.0,1.0,1.0,,,,,,,,,,,
10385583,home,Everton,Alex Iwobi,alex-iwobi,A. Iwobi,M,17,183,8263,M,alexanderiwobi,352770,EUR,831081600,M,17,17,False,,49.0,38.0,4.0,1.0,13.0,15.0,26.0,35.0,7.0,,,,,90.0,66.0,7.1,13.0,0.0277,0.6183,0.0779782,1,,1.0,1.0,,4.0,4.0,1.0,,,1.0,1.0,,3.0,3.0,1.0,1.0,,,,1.0,2.0,,1.0,1.0,,,,,,,,,
10385583,home,Everton,James Garner,james-garner,J. Garner,M,37,182,3008,M,,927361,EUR,984441600,M,37,37,False,,34.0,27.0,1.0,,12.0,13.0,16.0,30.0,7.0,,,,,90.0,52.0,6.9,16.0,0.1239,0.0186,0.122844,3,,9.0,1.0,4.0,4.0,7.0,1.0,2.0,,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,2.0,,1.0,1.0,1.0,1.0,,,,,,,
10385583,home,Everton,Idrissa Gueye,idrissa-gueye,I. Gueye,M,27,174,21481,M,iganagueye,106337,EUR,622771200,M,27,27,False,,21.0,20.0,,,12.0,12.0,8.0,10.0,5.0,,,,,69.0,33.0,6.6,3.0,0.0,0.0,0.00297774,0,,1.0,,,1.0,4.0,,,1.0,4.0,1.0,1.0,,,,,,,3.0,1.0,,,,,,,,,,,,,
10385583,home,Everton,Dwight McNeil,dwight-mcneil,D. McNeil,M,7,183,1973,M,,935543,EUR,943228800,M,7,7,False,,33.0,27.0,6.0,4.0,10.0,12.0,18.0,26.0,10.0,,,,,90.0,62.0,7.8,18.0,0.1285,0.5038,0.266161,2,,5.0,1.0,,7.0,6.0,2.0,,,1.0,1.0,4.0,6.0,4.0,1.0,1.0,2.0,,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,Dwight,McNeil,1.0,1.0,,,
10385583,home,Everton,Demarai Gray,demarai-gray,D. Gray,M,10,184,1780,M,,355152,EUR,835920000,F,11,11,False,,19.0,16.0,1.0,,5.0,6.0,11.0,14.0,5.0,,,,,90.0,40.0,6.0,16.0,0.2695,0.2138,0.00541319,3,,1.0,2.0,1.0,13.0,4.0,5.0,2.0,,2.0,2.0,5.0,3.0,1.0,1.0,,,1.0,,3.0,,,,1.0,,,,,,,1.0,,
10385583,home,Everton,Neal Maupay,neal-maupay,N. Maupay,F,17,171,2370,M,,268903,EUR,839980800,F,20,20,False,,14.0,14.0,,,4.0,4.0,10.0,10.0,,,,,,74.0,22.0,6.0,2.0,0.5111,0.7522,0.0394159,2,,,7.0,,10.0,4.0,1.0,,,,,,2.0,1.0,2.0,,,2.0,,,1.0,,,1.0,,3.0,,,,,,,
10385583,home,Everton,Nathan Patterson,patterson-nathan,N. Patterson,D,2,189,661,M,,1020141,EUR,1003190400,D,3,3,True,,14.0,12.0,1.0,1.0,9.0,9.0,3.0,6.0,2.0,,,,,32.0,24.0,6.4,5.0,0.0,0.0,0.0199077,0,,1.0,,,1.0,1.0,,,,,,,1.0,1.0,,1.0,,,,,1.0,,,1.0,,,Nathan,Patterson,,,,,
10385583,home,Everton,Tom Davies,tom-davies,T. Davies,M,22,179,349,M,,795058,EUR,899164800,M,26,26,True,,12.0,8.0,1.0,,4.0,6.0,4.0,6.0,,,,,,21.0,15.0,6.3,7.0,0.0,0.0,0.0107395,0,,,,,1.0,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
10385583,home,Everton,Ellis Simms,ellis-simms,E. Simms,F,9,190,906,M,,991614,EUR,978652800,F,50,50,True,,3.0,1.0,,,,1.0,2.0,3.0,1.0,,,,,16.0,6.0,6.6,3.0,0.0,0.0,0.0122435,0,,1.0,2.0,,2.0,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,
