match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,player_sofascoreId,stat_aerialLost,stat_aerialWon,stat_wasFouled,stat_blockedScoringAttempt,captain,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_goals,stat_goalAssist
10385628,home,Southampton,Alex McCarthy,,,alex-mccarthy,A. McCarthy,G,1,193,297,M,45502,EUR,628646400,G,1,1,False,43.0,32.0,15.0,4.0,31.0,32.0,1.0,11.0,1.0,10.0,1.0,90.0,48.0,6.4,11.0,0.0,0.0,0.00035686,0,-0.4993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385628,home,Southampton,Kyle Walker-Peters,,,kyle-walker-peters,K. Walker-Peters,D,2,173,1504,M,823085,EUR,860889600,D,2,2,False,50.0,40.0,3.0,1.0,11.0,14.0,30.0,39.0,1.0,2.0,,90.0,84.0,6.5,19.0,0.0318,0.0,0.0976712,1,,3.0,1.0,7.0,4.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,
10385628,home,Southampton,Jan Bednarek,,,jan-bednarek,J. Bednarek,D,5,189,6978,M,286085,EUR,829267200,D,35,35,False,57.0,49.0,2.0,1.0,39.0,44.0,10.0,13.0,4.0,7.0,,90.0,73.0,7.4,8.0,0.0,0.0,0.00374476,0,,,,2.0,7.0,,,,,,2.0,4.0,1.0,1.0,,1.0,,janbednarek_,1.0,4.0,2.0,,,,,,,,
10385628,home,Southampton,Duje Ćaleta-Car,,,duje-caleta-car,D. Ćaleta-Car,D,16,192,2892,M,257091,EUR,842918400,D,6,6,False,78.0,65.0,11.0,5.0,47.0,51.0,18.0,27.0,4.0,6.0,,90.0,94.0,7.2,15.0,0.0139,0.0,0.0363567,1,,,,3.0,7.0,1.0,1.0,2.0,2.0,1.0,2.0,,2.0,2.0,,,,,1.0,3.0,,,,,,,,,
10385628,home,Southampton,Romain Perraud,,,romain-perraud,R. Perraud,D,15,173,596,M,827519,EUR,874886400,D,15,15,False,14.0,10.0,3.0,,7.0,8.0,3.0,7.0,,4.0,,36.0,24.0,6.5,6.0,0.0149,0.0,0.0008725,1,,1.0,,2.0,3.0,2.0,,,,,,1.0,3.0,3.0,1.0,,,,,,,1.0,,,,,,,
10385628,home,Southampton,Mohamed Elyounoussi,,,mohamed-elyounoussi,M. Elyounoussi,M,10,176,2069,M,119151,EUR,775958400,M,24,24,False,17.0,11.0,,,6.0,9.0,5.0,9.0,1.0,3.0,,61.0,36.0,6.7,11.0,0.0,0.0,0.144283,0,,1.0,,6.0,4.0,1.0,1.0,2.0,1.0,,,1.0,3.0,1.0,,3.0,1.0,,,,,,,,,,,,
10385628,home,Southampton,James Ward-Prowse,,,james-ward-prowse,J. Ward-Prowse,M,20,177,4256,M,161717,EUR,783648000,M,8,8,False,36.0,33.0,2.0,2.0,22.0,24.0,11.0,15.0,1.0,6.0,,45.0,43.0,6.9,6.0,0.0,0.0,0.00752272,0,,3.0,,2.0,1.0,1.0,,,,,,3.0,,,,1.0,1.0,prowsey16,,1.0,,,True,,,,,,
10385628,home,Southampton,Roméo Lavia,Romeo Lavia,,romeo-lavia,R. Lavia,M,45,181,16643,M,1069488,EUR,1073347200,M,45,45,False,39.0,35.0,4.0,3.0,17.0,19.0,18.0,21.0,1.0,5.0,,90.0,58.0,6.9,8.0,0.0523,0.0,0.0553165,1,,1.0,,8.0,7.0,5.0,2.0,1.0,1.0,1.0,,1.0,3.0,2.0,1.0,,3.0,romeolavia,1.0,,3.0,,,,,,,,
10385628,home,Southampton,Adam Armstrong,Adam,Armstrong,adam-armstrong,A. Armstrong,F,9,172,1450,M,361352,EUR,855532800,M,9,9,False,16.0,13.0,,,6.0,7.0,7.0,9.0,,2.0,,76.0,33.0,6.7,10.0,0.1665,0.2007,0.0198834,3,,,,6.0,6.0,,2.0,7.0,4.0,1.0,,,1.0,1.0,2.0,1.0,,,,,1.0,1.0,,1.0,1.0,,,,
10385628,home,Southampton,Theo Walcott,,,theo-walcott,T. Walcott,M,,176,709,,10501,EUR,606009600,F,32,32,False,10.0,7.0,,,1.0,2.0,6.0,8.0,,2.0,,61.0,22.0,6.9,6.0,0.1659,0.2854,0.00279751,3,,,,3.0,3.0,1.0,,2.0,1.0,1.0,1.0,1.0,,,2.0,,,,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,,,
10385628,home,Southampton,Carlos Alcaraz,,,carlos-alcaraz,C. Alcaraz,M,24,183,6146,M,1017392,EUR,1038614400,F,26,26,False,23.0,18.0,,,6.0,7.0,12.0,17.0,1.0,3.0,,90.0,36.0,6.3,14.0,0.0548,0.0,0.0241571,1,,1.0,,10.0,2.0,2.0,3.0,2.0,1.0,1.0,,,,,4.0,2.0,,_alcaraz22,4.0,1.0,,,,,,,,,
