match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_sofascoreId,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,captain,stat_shotOffTarget,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_accurateCross,stat_aerialWon,stat_bigChanceCreated,stat_keyPass,stat_blockedScoringAttempt,stat_goals,stat_bigChanceMissed,stat_hitWoodwork,stat_totalOffside,stat_outfielderBlock
14053639,home,PSV Eindhoven,Matěj Kovář,,,matej-kovar,M. Kovář,G,32,196.0,2046,M,927366,EUR,958521600,G,32,32,False,30.0,28.0,7.0,5.0,0.0,27.0,27.0,1.0,3.0,1.0,10.0,1.0,2.0,90.0,39.0,7.3,2.0,0.00022213,57.172604379549,8.0,34.335,13.65,0.0602,0,0.1036,0.07,0.03,0.24,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053639,home,PSV Eindhoven,Sergiño Dest,,,sergino-dest,S. Dest,D,8,173.0,6120,M,906021,EUR,973209600,D,8,8,False,66.0,61.0,2.0,1.0,0.0,19.0,19.0,42.0,47.0,,7.0,,,90.0,91.0,7.6,15.0,0.140124,194.93821369581,23.0,111.72,33.81,,1,,0.44,0.38,0.15,,sergino,3.0,1.0,4.0,5.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,4.0,0.1158,0.0364,-0.27,,,,,,,,,,,,,,,
14053639,home,PSV Eindhoven,Jerdy Schouten,,,jerdy-schouten,J. Schouten,M,22,185.0,1244,M,844234,EUR,853027200,D,22,22,False,93.0,90.0,4.0,3.0,0.0,37.0,38.0,53.0,55.0,2.0,10.0,,,90.0,101.0,8.1,3.0,0.0983428,304.55417518493,34.0,162.75,32.655,,1,,0.66,0.34,0.24,,,,1.0,2.0,1.0,1.0,,,,,,,,0.0579,,-0.31,True,1.0,1.0,1.0,,,,,,,,,,,
14053639,home,PSV Eindhoven,Yarek Gasiorowski,Yarek Gasiorowski,,gasiorowski-yarek,Y. Gasiorowski,D,3,190.0,1663,M,1184317,EUR,1105488000,D,3,3,False,42.0,39.0,4.0,3.0,0.0,26.0,26.0,13.0,16.0,1.0,,,,45.0,44.0,6.9,3.0,0.00538381,96.031849608681,12.0,43.47,17.745,,0,,0.12,0.06,0.17,,,,1.0,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
14053639,home,PSV Eindhoven,Mauro Júnior,,,mauro-junior,M. Júnior,D,17,171.0,1141,M,893499,EUR,925948800,D,17,17,False,68.0,60.0,12.0,9.0,0.0,21.0,24.0,39.0,44.0,,3.0,,,73.0,89.0,8.0,15.0,0.202543,232.03444102895,19.0,97.335,28.035,,0,,0.44,0.27,-0.01,,,2.0,,2.0,6.0,1.0,1.0,,,,5.0,2.0,3.0,,,,,,1.0,,,1.0,1.0,1.0,2.0,,,,,,
14053639,home,PSV Eindhoven,Esmir Bajraktarević,Esmir Bajraktarevic,,esmir-bajraktarevic,E. Bajraktarević,F,19,175.0,6905,M,1136110,EUR,1110412800,M,19,19,False,42.0,37.0,,,1.0,4.0,4.0,33.0,38.0,,3.0,,,90.0,65.0,7.7,16.0,0.230057,360.3027746154,32.0,131.67,43.26,,4,,0.5,0.61,-0.06,,,5.0,,8.0,4.0,1.0,1.0,5.0,1.0,2.0,2.0,,2.0,0.2794,0.3945,-0.61,,1.0,,1.0,2.0,1.0,,,3.0,1.0,,,,,
14053639,home,PSV Eindhoven,Paul Wanner,,,paul-wanner,P. Wanner,M,10,186.0,3841,M,1146018,EUR,1135296000,M,10,10,False,64.0,60.0,,,0.0,7.0,7.0,53.0,57.0,,4.0,,,90.0,83.0,6.9,11.0,0.18574,190.83983570218,24.0,57.225,15.855,,1,,0.21,0.44,0.15,,,,2.0,8.0,3.0,,1.0,4.0,1.0,1.0,2.0,1.0,1.0,0.0598,0.3161,-0.15,,,1.0,,2.0,,,,,,,,,,
14053639,home,PSV Eindhoven,Joey Veerman,,,joey-veerman,J. Veerman,M,23,185.0,3780,M,850816,EUR,911433600,M,23,23,False,57.0,52.0,2.0,2.0,0.0,15.0,16.0,37.0,41.0,,4.0,,,61.0,69.0,8.7,8.0,0.135221,77.807379059629,13.0,-22.89,6.195,,1,,0.49,-0.74,0.18,,,3.0,,,6.0,,,1.0,1.0,1.0,3.0,2.0,,0.1551,0.2305,0.51,,,,1.0,,,1.0,,1.0,,1.0,,,,
14053639,home,PSV Eindhoven,Ismael Saibari,,,ismael-saibari,I. Saibari,M,34,185.0,23357,M,1063767,EUR,980640000,M,34,34,False,49.0,48.0,2.0,1.0,1.0,13.0,13.0,35.0,36.0,,2.0,,,73.0,62.0,7.2,6.0,0.310259,182.22671438567,21.0,110.145,24.675,,4,,0.54,0.47,-0.2,,ismaelsaibari,,1.0,4.0,3.0,1.0,,1.0,,1.0,2.0,,2.0,0.3789,0.3896,-0.54,,1.0,,,1.0,,1.0,1.0,7.0,2.0,,1.0,1.0,1.0,
14053639,home,PSV Eindhoven,Guus Til,,,guus-til,G. Til,M,20,183.0,2263,M,845798,EUR,882748800,F,20,20,False,25.0,18.0,2.0,1.0,0.0,4.0,4.0,14.0,21.0,,,,,62.0,34.0,7.3,11.0,0.0433103,77.398696487369,8.0,48.405,19.95,,1,,-0.18,0.11,-0.01,,,1.0,,2.0,1.0,,,1.0,,1.0,,,2.0,0.0412,0.4116,0.51,,,,,1.0,,1.0,,1.0,,1.0,,,,
