match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_totalTackle,stat_wonTackle,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_interceptionWon,stat_unsuccessfulTouch,stat_keyPass,stat_aerialLost,stat_challengeLost,stat_totalClearance,stat_fouls,captain,stat_bigChanceMissed,stat_goalAssist,stat_accurateCross,stat_clearanceOffLine,stat_outfielderBlock,stat_errorLeadToAGoal,stat_totalOffside,stat_wasFouled,player_sofascoreId,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_punches
11396468,home,RB Leipzig,Janis Blaswich,janis-blaswich,J. Blaswich,G,28,193,639,M,96832,EUR,673142400,G,21,21,False,28.0,26.0,6.0,4.0,26.0,28.0,1.0,2.0,3.0,1.0,1.0,2.0,90.0,33.0,7.0,2.0,0.0,0.0,0.00020724,0,0.5539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396468,home,RB Leipzig,Benjamin Henrichs,benjamin-henrichs,B. Henrichs,D,39,182,1142,M,319857,EUR,856656000,D,39,39,False,50.0,39.0,4.0,1.0,16.0,19.0,,5.0,10.0,4.0,1.0,,90.0,71.0,7.9,17.0,0.4034,0.2945,0.298217,3,,,,23.0,32.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,
11396468,home,RB Leipzig,Mohamed Simakan,mohamed-simakan,M. Simakan,D,3,187,5879,M,945063,EUR,957312000,D,2,2,False,64.0,55.0,5.0,3.0,28.0,30.0,3.0,5.0,3.0,2.0,2.0,,85.0,72.0,6.9,10.0,0.0,0.0,0.0148701,0,,,,27.0,34.0,,4.0,,,,,,,,,1.0,1.0,,1.0,1.0,2.0,2.0,,,,,,,,,,,,,
11396468,home,RB Leipzig,Willi Orbán,willi-orban,W. Orbán,D,4,186,3115,M,136924,EUR,720748800,D,4,4,False,68.0,61.0,3.0,1.0,30.0,33.0,2.0,5.0,7.0,2.0,1.0,,90.0,80.0,7.1,8.0,0.0558,0.1293,0.0234965,1,,,,31.0,35.0,,2.0,,1.0,1.0,,,1.0,,,1.0,,,1.0,,3.0,1.0,True,1.0,,,,,,,,,,,
11396468,home,RB Leipzig,David Raum,david-raum,D. Raum,D,22,180,2192,M,856076,EUR,893203200,D,22,22,False,50.0,41.0,4.0,2.0,15.0,16.0,2.0,4.0,4.0,1.0,1.0,,90.0,85.0,7.8,19.0,0.0,0.0,0.615673,0,,,,28.0,44.0,10.0,4.0,,2.0,1.0,2.0,,,,,1.0,,3.0,,2.0,3.0,1.0,,,1.0,2.0,1.0,1.0,1.0,1.0,,,,,
11396468,home,RB Leipzig,Kevin Kampl,kevin-kampl,K. Kampl,M,,178,752,M,84251,EUR,655430400,M,44,44,False,66.0,60.0,5.0,3.0,22.0,23.0,,3.0,7.0,1.0,,,90.0,80.0,7.6,8.0,0.067,0.0179,0.0535497,2,,,,38.0,43.0,,5.0,1.0,2.0,2.0,,,1.0,1.0,1.0,2.0,1.0,,3.0,,1.0,1.0,,,,,,,,,,,,,
11396468,home,RB Leipzig,Xaver Schlager,xaver-schlager,X. Schlager,M,24,174,1069,M,791079,EUR,875404800,M,24,24,False,60.0,56.0,3.0,3.0,21.0,21.0,,2.0,9.0,,,,90.0,69.0,7.1,5.0,0.1405,0.0,0.0290933,1,,,,35.0,39.0,,2.0,1.0,1.0,1.0,,1.0,,,,,,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,
11396468,home,RB Leipzig,Xavi Simons,xavi-simons,X. Simons,M,7,179,50786,M,997183,EUR,1050883200,M,20,20,False,29.0,24.0,,,5.0,6.0,,1.0,4.0,,,,79.0,49.0,8.1,14.0,0.3641,0.4264,0.145708,3,,,,19.0,25.0,2.0,6.0,2.0,2.0,,,,3.0,,1.0,,2.0,2.0,,,,2.0,,1.0,2.0,,,,,,1.0,XaviSimons,,,
11396468,home,RB Leipzig,Dani Olmo,dani-olmo,D. Olmo,M,20,179,190811,M,789071,EUR,894499200,M,7,7,False,44.0,35.0,1.0,,9.0,10.0,1.0,1.0,2.0,,,,85.0,64.0,7.3,18.0,0.1664,0.3623,0.0629789,4,,,,26.0,36.0,2.0,5.0,1.0,3.0,,,2.0,1.0,1.0,1.0,,2.0,1.0,1.0,,1.0,,,,,,,,,,,DaniOlmo,,,
11396468,home,RB Leipzig,Loïs Openda,lois-openda,L. Openda,F,20,177,15660,M,835480,EUR,950659200,F,17,17,False,11.0,9.0,,,1.0,1.0,,1.0,2.0,,,,79.0,19.0,7.6,5.0,0.4796,1.0397,0.183555,4,,,,8.0,11.0,1.0,1.0,,1.0,,1.0,2.0,2.0,,1.0,,1.0,2.0,,,,,,1.0,,,,,,1.0,1.0,l_openda,,,
