match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_jerseyNumber,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_shotOffTarget,stat_hitWoodwork,stat_outfielderBlock,stat_unsuccessfulTouch,captain,stat_accurateCross,stat_bigChanceCreated,stat_keyPass,stat_dispossessed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_penaltyConceded,stat_bigChanceMissed,stat_totalOffside,player_sofascoreId,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_goals
11452953,home,Al Raed,André Moreira,André,Moreira,andre-moreira,A. Moreira,G,195.0,72,M,576272,EUR,817862400,G,1,1,False,30.0,18.0,20.0,8.0,0.0,12.0,14.0,6.0,16.0,5.0,3.0,1.0,6.0,90.0,42.0,7.1,12.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11452953,home,Al Raed,Bander Whaeshi,Bander Whaeshi,,bander-whaeshi,B. Whaeshi,D,,6,M,1522210,EUR,1018915200,D,2,2,False,39.0,32.0,7.0,5.0,0.0,16.0,18.0,16.0,22.0,6.0,,,,90.0,57.0,6.5,8.0,0,66,1.0,1.0,1.0,4.0,6.0,2.0,1.0,1.0,6.0,2.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
11452953,home,Al Raed,Oumar Gonzalez,,,oumar-gonzalez,O. Gonzalez,D,186.0,312,M,842744,EUR,888364800,D,21,21,False,20.0,17.0,3.0,2.0,0.0,16.0,18.0,1.0,2.0,7.0,,,,78.0,35.0,6.4,4.0,1,21,,1.0,1.0,2.0,5.0,,,,5.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
11452953,home,Al Raed,Abdullah Al-Fahad,,,al-fahad-abdullah,A. Al-Fahad,D,177.0,20,M,817947,EUR,771638400,D,19,19,False,39.0,34.0,3.0,1.0,0.0,27.0,28.0,7.0,11.0,4.0,,,,90.0,51.0,6.1,6.0,0,19,,1.0,2.0,3.0,5.0,1.0,,,4.0,1.0,1.0,,2.0,1.0,,,,1.0,True,,,,,,,,,,,,,
11452953,home,Al Raed,Khalid Alsubaie,,,khalid-alsubaie,K. Alsubaie,M,176.0,8,M,893373,EUR,940896000,D,24,24,False,16.0,12.0,5.0,2.0,0.0,7.0,11.0,6.0,7.0,6.0,,,,72.0,34.0,6.4,7.0,0,27,2.0,1.0,,5.0,5.0,3.0,,,1.0,1.0,5.0,3.0,,1.0,,,,1.0,,1.0,1.0,2.0,,,,,,,,,,
11452953,home,Al Raed,Mohammed Al-Dosari,,,mohammed-al-dosari,M. Al-Dosari,D,,12,M,970908,EUR,931651200,M,32,32,False,17.0,13.0,1.0,1.0,0.0,9.0,9.0,5.0,11.0,2.0,,,,64.0,32.0,6.4,10.0,2,32,3.0,,1.0,4.0,4.0,2.0,1.0,,,1.0,2.0,2.0,1.0,1.0,,,,2.0,,1.0,,,1.0,1.0,1.0,1.0,,,,,,
11452953,home,Al Raed,Mansour Al Bishi,,,mansour-al-bishi,M. A. Bishi,M,168.0,20,M,982351,EUR,956534400,M,14,14,False,38.0,30.0,3.0,1.0,0.0,19.0,22.0,11.0,16.0,5.0,,,,90.0,47.0,6.3,10.0,0,14,,,,5.0,4.0,3.0,2.0,2.0,,1.0,1.0,1.0,1.0,2.0,,,,1.0,,,,,1.0,,,,,,,,,
11452953,home,Al Raed,Mamadou Loum,,,mamadou-loum,M. Loum,M,193.0,526,M,796059,EUR,851904000,M,5,5,False,29.0,27.0,1.0,1.0,0.0,21.0,22.0,6.0,7.0,2.0,,,,90.0,36.0,6.4,4.0,0,21,,,,4.0,4.0,1.0,,,,,4.0,3.0,,2.0,,,,1.0,,,,,1.0,,,,,,,,,
11452953,home,Al Raed,Yahya Sunbul,,,sunbul-yahya,Y. Sunbul,M,166.0,9,M,958020,EUR,884131200,M,45,45,False,13.0,11.0,,,0.0,9.0,9.0,2.0,4.0,2.0,,,,73.0,26.0,6.5,5.0,2,45,,1.0,,6.0,3.0,1.0,1.0,,1.0,,2.0,1.0,1.0,2.0,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,1.0,1.0,,,,
11452953,home,Al Raed,Amir Saâyoud,,,amir-saayoud,A. Saâyoud,F,170.0,2347,M,309154,EUR,654652800,F,7,7,False,33.0,24.0,3.0,2.0,0.0,6.0,7.0,18.0,27.0,1.0,,,,84.0,54.0,7.1,18.0,2,11,1.0,1.0,,6.0,6.0,1.0,5.0,5.0,1.0,,,,1.0,1.0,1.0,,,4.0,,,,1.0,3.0,,1.0,,,,,,,
