match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_ownGoals,stat_unsuccessfulTouch,stat_challengeLost,captain,stat_goalAssist,stat_bigChanceCreated,stat_onTargetScoringAttempt,player_sofascoreId,stat_wonContest,stat_totalOffside,stat_bigChanceMissed,stat_goals,stat_penaltyWon,stat_blockedScoringAttempt,stat_outfielderBlock,stat_goodHighClaim,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyConceded
10407023,home,Club Brugge KV,Simon Mignolet,simon-mignolet,S. Mignolet,G,22,193,1240,M,10406,EUR,573609600,G,22,22,False,27.0,21.0,14.0,9.0,19.0,21.0,2.0,6.0,5.0,1.0,2.0,90.0,32.0,6.2,6.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407023,home,Club Brugge KV,Tajon Buchanan,tajon-buchanan,T. Buchanan,M,17,183,7500,M,973290,EUR,918432000,D,17,17,False,45.0,37.0,4.0,1.0,16.0,21.0,22.0,28.0,7.0,,,90.0,70.0,6.5,14.0,1,,,4.0,1.0,4.0,4.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10407023,home,Club Brugge KV,Denis Odoi,denis-odoi,D. Odoi,M,3,177,876,M,58994,EUR,580694400,D,6,6,False,56.0,50.0,9.0,5.0,30.0,32.0,20.0,24.0,9.0,,,90.0,70.0,6.9,6.0,0,Denis,Odoi,,,4.0,3.0,,,,5.0,2.0,2.0,2.0,1.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,
10407023,home,Club Brugge KV,Brandon Mechele,brandon-mechele,B. Mechele,D,44,188,823,M,248331,EUR,728179200,D,44,44,False,75.0,70.0,14.0,12.0,47.0,50.0,23.0,25.0,6.0,,,90.0,91.0,6.8,7.0,0,,,,,2.0,5.0,1.0,,,3.0,3.0,1.0,1.0,,,,1.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,
10407023,home,Club Brugge KV,Bjorn Meijer,bjorn-meijer,B. Meijer,D,14,190,695,M,1047509,EUR,1047945600,D,14,14,False,47.0,38.0,4.0,2.0,17.0,23.0,21.0,26.0,11.0,,,90.0,73.0,6.0,17.0,0,Bjorn Meijer,,2.0,,9.0,4.0,2.0,,,1.0,2.0,2.0,2.0,,2.0,,3.0,2.0,,1.0,3.0,,,,,,,,,,,,,,,,,
10407023,home,Club Brugge KV,Casper Nielsen,casper-nielsen,C. Nielsen,M,94,182,403,M,247471,EUR,767577600,M,27,27,False,31.0,28.0,4.0,4.0,13.0,13.0,15.0,19.0,5.0,,,64.0,40.0,6.7,7.0,0,,,1.0,,1.0,3.0,1.0,,,,1.0,2.0,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,
10407023,home,Club Brugge KV,Raphael Onyedika,raphael-onyedika,R. Onyedika,M,15,184,6213,M,1129862,EUR,987638400,M,15,15,False,52.0,47.0,5.0,3.0,23.0,24.0,24.0,28.0,9.0,,,90.0,65.0,6.9,9.0,0,,,,,2.0,4.0,1.0,,,,1.0,2.0,2.0,1.0,1.0,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,
10407023,home,Club Brugge KV,Hans Vanaken,hans-vanaken,H. Vanaken,M,20,194,2941,M,118085,EUR,714614400,M,20,20,False,42.0,32.0,8.0,6.0,10.0,13.0,22.0,29.0,2.0,,,86.0,56.0,7.2,17.0,1,,,,,10.0,5.0,4.0,,,,2.0,2.0,1.0,,1.0,3.0,3.0,3.0,,3.0,2.0,True,1.0,1.0,1.0,,,,,,,,,,,,,
10407023,home,Club Brugge KV,Antonio Nusa,nusa-antonio,A. Nusa,M,7,180,11508,M,1121923,EUR,1113696000,F,32,32,False,16.0,11.0,1.0,,6.0,8.0,5.0,8.0,2.0,,,45.0,31.0,6.4,12.0,0,,,,,5.0,6.0,2.0,3.0,,,1.0,1.0,1.0,4.0,,,,,,2.0,1.0,,,,,nusaantonio,1.0,1.0,,,,,,,,,,
10407023,home,Club Brugge KV,Roman Yaremchuk,roman-yaremchuk,R. Yaremchuk,F,77,191,4230,M,829296,EUR,817430400,F,70,70,False,23.0,20.0,,,8.0,8.0,12.0,15.0,3.0,,,80.0,31.0,6.1,6.0,1,,,,,4.0,2.0,2.0,1.0,1.0,,1.0,,,1.0,,,1.0,1.0,,,,,,,,r.yaremchuk,,,1.0,,,,,,,,,
