match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_duelLost,stat_dispossessed,stat_blockedScoringAttempt,stat_totalTackle,stat_unsuccessfulTouch,player_firstName,stat_aerialLost,stat_challengeLost,stat_bigChanceCreated,stat_shotOffTarget,stat_keyPass,stat_interceptionWon,stat_wonTackle,player_lastName,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_fouls,captain,stat_accurateCross,stat_bigChanceMissed,stat_outfielderBlock,stat_goalAssist,stat_goals
11453196,home,Al Wehda,Munir El Kajoui,munir-mohamedi,M. El Kajoui,G,1,190.0,3804,M,Munir,141967,EUR,610761600.0,G,1,1,False,28.0,15.0,22.0,9.0,8.0,9.0,7.0,19.0,1.0,1.0,2.0,8.0,1.0,1.0,2.0,1.0,1.0,90.0,38.0,6.9,13.0,0,,,,,,,,,,,,,,,,,,,,,,,,,
11453196,home,Al Wehda,Saeed Almuwallad,saeed-al-muwallad,S. Almuwallad,D,2,184.0,20,M,,872205,EUR,668476800.0,D,2,2,False,37.0,29.0,4.0,1.0,11.0,13.0,18.0,26.0,,2.0,3.0,2.0,1.0,,,,,90.0,55.0,6.7,12.0,1,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
11453196,home,Al Wehda,Ali Makki,ali-makki,A. Makki,D,5,174.0,20,M,,1399144,EUR,924566400.0,D,22,22,False,43.0,35.0,7.0,4.0,25.0,30.0,10.0,13.0,6.0,7.0,3.0,3.0,1.0,,,,,90.0,50.0,6.9,8.0,1,,5.0,,,,,Ali Makki,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
11453196,home,Al Wehda,Abdullah Al-Hafith,abdullah-al-hafith,A. Al-Hafith,D,17,188.0,29,M,,160901,EUR,725241600.0,D,17,17,False,43.0,37.0,7.0,3.0,23.0,23.0,14.0,20.0,2.0,5.0,3.0,3.0,1.0,,,,,90.0,54.0,7.0,6.0,0,,3.0,,,2.0,,,3.0,,,,,2.0,1.0,,,,,,,,,,,
11453196,home,Al Wehda,Islam Ahmed Hawsawi,islam-ahmed-hawsawi,I. A. Hawsawi,D,27,170.0,30,M,,1106232,EUR,1009411200.0,D,27,27,False,31.0,23.0,7.0,3.0,12.0,12.0,11.0,20.0,,9.0,5.0,2.0,3.0,,,,,90.0,66.0,7.1,16.0,1,1.0,5.0,1.0,,4.0,3.0,Hawsawi Islam Ahmed,,1.0,,,,2.0,2.0,,4.0,2.0,1.0,1.0,,,,,,
11453196,home,Al Wehda,Waleed Bakshween,waleed-bakshween,W. Bakshween,M,,176.0,23,M,,911303,EUR,626832000.0,M,4,4,False,38.0,31.0,2.0,,11.0,13.0,20.0,25.0,,2.0,,8.0,1.0,,,,,90.0,45.0,6.8,7.0,0,,4.0,,,1.0,,,1.0,1.0,,,1.0,1.0,1.0,,,,,2.0,True,,,,,
11453196,home,Al Wehda,Fayçal Fajr,faycal-fajr,F. Fajr,M,76,178.0,1037,M,,143786,EUR,586396800.0,M,76,76,False,31.0,26.0,5.0,3.0,13.0,13.0,16.0,29.0,,3.0,,1.0,3.0,,,,,80.0,50.0,7.0,14.0,0,11.0,3.0,,,,,,1.0,,,,3.0,,,,1.0,,,1.0,,3.0,,,,
11453196,home,Al Wehda,Abdulaziz Noor,abdulaziz-noor,A. Noor,M,24,173.0,80,M,,1085115,EUR,916617600.0,M,24,24,False,16.0,12.0,3.0,2.0,8.0,8.0,4.0,8.0,1.0,6.0,,2.0,1.0,,,,,86.0,33.0,6.9,8.0,4,,7.0,1.0,1.0,,1.0,Abdulaziz Noor,3.0,1.0,,2.0,,1.0,,,5.0,4.0,1.0,1.0,,,1.0,,,
11453196,home,Al Wehda,Anselmo,anselmo,Anselmo,M,87,182.0,171,M,,256671,EUR,603936000.0,M,87,87,False,14.0,13.0,1.0,1.0,5.0,5.0,8.0,9.0,5.0,14.0,2.0,5.0,5.0,,,,,90.0,33.0,7.4,4.0,1,,9.0,,,3.0,3.0,,6.0,1.0,,1.0,,,2.0,,1.0,1.0,,2.0,,,,1.0,,
11453196,home,Al Wehda,Hazzaa Al-Ghamdi,hazzaa-al-ghamdi,H. Al-Ghamdi,F,90,174.0,33,M,,1095802,EUR,979171200.0,M,90,90,False,7.0,5.0,,,1.0,1.0,4.0,7.0,,2.0,,2.0,,,,,,63.0,20.0,6.7,7.0,0,1.0,4.0,3.0,,1.0,1.0,Hazzaa Ahmed Al-Ghamdi,,1.0,,,,3.0,,,1.0,1.0,,,,,,,,
11453196,home,Al Wehda,Odion Ighalo,odion-ighalo,O. Ighalo,F,,183.0,2180,M,,29774,EUR,613958400.0,F,9,9,False,7.0,5.0,2.0,1.0,2.0,2.0,4.0,6.0,,1.0,2.0,2.0,,,,,,90.0,14.0,6.6,4.0,0,1.0,3.0,,,,2.0,,3.0,,,,,,,,1.0,1.0,,,,1.0,,,,
