match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_penaltyConceded,stat_wasFouled,stat_fouls,stat_totalTackle,stat_wonTackle,stat_totalOffside,stat_totalCross,stat_accurateCross,stat_shotOffTarget,stat_unsuccessfulTouch,stat_expectedGoals,stat_keyPass,stat_dispossessed,stat_totalContest,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceMissed,player_sofascoreId,stat_goals
12421254,home,FCV Dender,Michael Verrips,,,michael-verrips,M. Verrips,G,34,195,102,M,583506,EUR,849571200,G,34,34,False,27.0,15.0,23.0,11.0,0.0,7.0,11.0,8.0,16.0,1.0,1.0,1.0,7.0,3.0,1.0,4.0,1.0,90.0,34.0,7.5,12.0,0.00464026,0,1.8266,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421254,home,FCV Dender,Gilles Ruyssen,,,gilles-ruyssen,G. Ruyssen,D,22,186,38,M,329415,EUR,771897600,D,22,22,False,31.0,19.0,10.0,4.0,0.0,13.0,18.0,6.0,13.0,1.0,2.0,6.0,,,,,,90.0,43.0,6.4,13.0,0.00409235,0,,True,1.0,6.0,2.0,1.0,1.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,
12421254,home,FCV Dender,Kobe Cools,,,kobe-cools,K. Cools,D,21,192,41,M,793987,EUR,869788800,D,21,21,False,21.0,17.0,6.0,4.0,0.0,13.0,14.0,4.0,7.0,2.0,3.0,14.0,1.0,,,,,90.0,40.0,7.2,4.0,0.00270103,0,,,2.0,2.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
12421254,home,FCV Dender,Bryan Goncalves,,,bryan-goncalves,B. Goncalves,D,7,190,42,M,775019,EUR,837734400,D,4,4,False,44.0,32.0,14.0,6.0,0.0,13.0,15.0,22.0,34.0,,,6.0,3.0,,,,,90.0,63.0,7.2,18.0,0.04969,1,,,1.0,3.0,1.0,2.0,,,,1.0,,,,5.0,3.0,1.0,1.0,0.1169,1.0,,,,,,,,,,
12421254,home,FCV Dender,Dembo Sylla,Dembo Sylla,,dembo-sylla,D. Sylla,M,22,175,1057,M,1397569,EUR,1036886400,M,53,53,False,26.0,20.0,3.0,1.0,0.0,8.0,11.0,13.0,18.0,,5.0,3.0,6.0,,,,,85.0,53.0,7.0,12.0,0.0248981,0,,,1.0,2.0,,,,,1.0,1.0,4.0,3.0,,3.0,1.0,,1.0,,,,,,,,,,,,
12421254,home,FCV Dender,Noah Mbamba,,,noah-mbamba,N. Mbamba,M,17,187,1002,M,1100321,EUR,1104883200,M,17,17,False,21.0,18.0,2.0,1.0,0.0,8.0,8.0,10.0,13.0,1.0,9.0,1.0,6.0,,,,,75.0,41.0,7.4,11.0,0.447574,1,,,1.0,4.0,,,,,3.0,,5.0,2.0,1.0,,,,5.0,0.0955,2.0,2.0,1.0,1.0,1.0,,,,,,
12421254,home,FCV Dender,Nathan Rodes,,,rodes-nathan,N. Rodes,M,18,191,34,M,882003,EUR,881798400,M,18,18,False,32.0,26.0,3.0,2.0,0.0,11.0,12.0,15.0,20.0,2.0,7.0,4.0,8.0,,,,,90.0,49.0,7.1,10.0,0.0261908,0,,,1.0,4.0,1.0,,1.0,,,1.0,4.0,3.0,,,,,2.0,,,,2.0,,,1.0,,,,,
12421254,home,FCV Dender,Malcolm Viltard,,,viltard-malcolm,M. Viltard,M,24,176,69,M,1092285,EUR,1035417600,M,24,24,False,21.0,15.0,4.0,3.0,0.0,4.0,5.0,11.0,18.0,,9.0,1.0,7.0,,,,,85.0,46.0,7.5,13.0,0.0161233,1,,,1.0,4.0,,1.0,,,2.0,1.0,6.0,3.0,,2.0,,,3.0,0.0245,,2.0,1.0,,,1.0,1.0,0.173,,,
12421254,home,FCV Dender,Fabio Ferraro,Fabio Ferraro,,fabio-ferraro,F. Ferraro,M,88,180,86,M,1145225,EUR,1031011200,M,88,88,False,34.0,27.0,2.0,,0.0,4.0,6.0,25.0,31.0,,9.0,1.0,10.0,,,,,90.0,71.0,7.8,15.0,0.613394,1,,,1.0,6.0,1.0,,,,,1.0,5.0,4.0,,3.0,2.0,,3.0,0.0378,5.0,3.0,4.0,,,4.0,1.0,0.0732,,,
12421254,home,FCV Dender,Bruny Nsimba,,,nsimba-bruny,B. Nsimba,F,77,181,280,M,1047536,EUR,954892800,F,77,77,False,20.0,10.0,2.0,,0.0,2.0,4.0,8.0,18.0,1.0,6.0,2.0,4.0,,,,,90.0,41.0,6.9,20.0,0.115998,2,,,2.0,8.0,,,,,,1.0,1.0,1.0,2.0,2.0,,2.0,3.0,0.0875,2.0,4.0,5.0,,,4.0,,,,,
