match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_goalAssist,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,captain,stat_challengeLost,stat_accurateCross,stat_onTargetScoringAttempt,stat_totalOffside,stat_blockedScoringAttempt,stat_goals,stat_bigChanceMissed
11453029,home,Damac FC,Moustapha Zeghba,moustapha-zeghba,M. Zeghba,G,1,190.0,852,M,888378,EUR,659145600,G,30,30,False,28.0,17.0,16.0,5.0,17.0,17.0,11.0,1.0,1.0,6.0,1.0,1.0,4.0,90.0,37.0,7.6,11.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453029,home,Damac FC,Alhwsawi Sanousi Mohammed,alhwsawi-sanousi-mohammed,A. S. Mohammed,D,12,172.0,20,M,1085415,EUR,902707200,D,21,21,False,36.0,29.0,4.0,1.0,18.0,19.0,19.0,1.0,5.0,8.0,,,,90.0,75.0,8.0,19.0,1,Alhwsawi Sanousi Mohammed,,1.0,11.0,2.0,3.0,6.0,1.0,3.0,2.0,1.0,1.0,6.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,,,,,,,,
11453029,home,Damac FC,Farouk Chafaï,farouk-chafai,F. Chafaï,D,5,182.0,329,M,880083,EUR,646099200,D,15,15,False,45.0,31.0,15.0,5.0,24.0,29.0,16.0,,2.0,6.0,,,,90.0,54.0,6.9,16.0,0,,,,7.0,,,1.0,,1.0,,,,3.0,,1.0,1.0,1.0,,1.0,,,True,,,,,,,
11453029,home,Damac FC,Abdelkader Bedrane,abdelkader-bedrane,A. Bedrane,D,3,185.0,1163,M,906407,EUR,702172800,D,3,3,False,35.0,31.0,8.0,6.0,21.0,23.0,12.0,2.0,6.0,6.0,,,,90.0,53.0,7.4,7.0,0,,,,10.0,,1.0,4.0,,1.0,,,,6.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,,,1.0,,,,,,
11453029,home,Damac FC,Dhari Al-Enezi,dhari-al-enezi,D. Al-Enezi,D,20,170.0,42,M,1214301,EUR,957571200,D,20,20,False,34.0,28.0,3.0,1.0,20.0,21.0,17.0,,6.0,6.0,,,,90.0,71.0,7.4,18.0,0,Dhari Al-Enezi,,,10.0,4.0,,2.0,,2.0,1.0,,,2.0,,2.0,4.0,3.0,6.0,1.0,1.0,2.0,,1.0,2.0,,,,,
11453029,home,Damac FC,Domagoj Antolić,domagoj-antolic,D. Antolić,M,8,180.0,103,M,67645,EUR,646704000,M,17,17,False,45.0,36.0,5.0,2.0,24.0,28.0,17.0,,2.0,4.0,,,,90.0,52.0,7.0,10.0,1,,,,12.0,,,2.0,,,,,,1.0,1.0,,,,1.0,2.0,1.0,,,1.0,,1.0,1.0,,,
11453029,home,Damac FC,Tarek Hamed,hamed-tarek,T. Hamed,M,8,165.0,561,M,560168,EUR,593654400,M,8,8,False,57.0,48.0,7.0,3.0,33.0,34.0,23.0,,3.0,7.0,,,,90.0,65.0,7.0,9.0,0,,,,15.0,,,2.0,,,,,,1.0,,1.0,2.0,1.0,,1.0,2.0,1.0,,,,,,,,
11453029,home,Damac FC,Nicolae Stanciu,nicolae-stanciu,N. Stanciu,M,8,171.0,4005,M,108673,EUR,736732800,M,31,31,False,30.0,25.0,4.0,3.0,9.0,10.0,26.0,1.0,6.0,5.0,,,,90.0,50.0,7.7,14.0,3,,,,16.0,6.0,,2.0,1.0,3.0,2.0,,2.0,1.0,,,2.0,2.0,,1.0,,1.0,,,,,,1.0,,
11453029,home,Damac FC,Ahmad Zain,ahmad-zain,A. Zain,M,49,177.0,14,M,818809,EUR,678412800,F,49,49,False,32.0,29.0,3.0,3.0,16.0,18.0,19.0,1.0,4.0,6.0,,,,82.0,51.0,8.0,9.0,2,,,,15.0,5.0,,2.0,1.0,2.0,1.0,,1.0,3.0,,,1.0,,1.0,1.0,,4.0,,,2.0,1.0,1.0,,1.0,
11453029,home,Damac FC,Assan Ceesay,assan-ceesay,A. Ceesay,F,,188.0,442,M,842158,EUR,763862400,F,9,9,False,13.0,10.0,1.0,1.0,7.0,8.0,5.0,1.0,1.0,2.0,,,,89.0,26.0,7.1,12.0,2,,,1.0,3.0,,1.0,3.0,2.0,,,,1.0,,,,,,7.0,,,2.0,,,,,1.0,1.0,,
