match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,captain,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_shotOffTarget,stat_totalClearance,stat_expectedGoals,stat_dispossessed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_accurateCross,stat_outfielderBlock,stat_blockedScoringAttempt,stat_wonContest,stat_hitWoodwork,stat_totalOffside,player_firstName,player_lastName,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot,stat_bigChanceMissed,stat_bigChanceCreated,stat_goals
12504704,home,Napoli,Alex Meret,alex-meret,A. Meret,G,1,190,4366,M,592794,EUR,858988800,G,1,1,False,34.0,32.0,6.0,4.0,0.0,31.0,33.0,1.0,1.0,4.0,90.0,37.0,5.8,2.0,0.00095247,0,-2.1076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504704,home,Napoli,Giovanni Di Lorenzo,giovanni-di-lorenzo,G. Di Lorenzo,D,22,182,6986,M,153257,EUR,744422400,D,22,22,False,62.0,54.0,6.0,5.0,0.0,32.0,32.0,22.0,31.0,6.0,90.0,78.0,6.3,11.0,0.172453,0,,dilorenzo22,True,1.0,3.0,1.0,9.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12504704,home,Napoli,Amir Rrahmani,amir-rrahmani,A. Rrahmani,D,13,190,3520,M,332155,EUR,762048000,D,13,13,False,79.0,72.0,6.0,4.0,0.0,57.0,59.0,15.0,20.0,8.0,90.0,89.0,6.7,7.0,0.00831646,1,,,,,1.0,3.0,1.0,4.0,,,,1.0,1.0,,,,,1.0,5.0,0.1257,,,,,,,,,,,,,,,,,,,,
12504704,home,Napoli,Alessandro Buongiorno,alessandro-buongiorno,A. Buongiorno,D,4,191,3972,M,870263,EUR,928627200,D,4,4,False,55.0,52.0,1.0,,0.0,45.0,47.0,7.0,8.0,9.0,90.0,72.0,7.1,5.0,0.00344299,1,,,,,,,1.0,6.0,,,5.0,5.0,3.0,1.0,1.0,,,,1.0,0.0485,1.0,1.0,0.4018,,,,,,,,,,,,,,,,,
12504704,home,Napoli,Mathías Olivera,mathias-olivera,M. Olivera,D,17,184,3517,M,805078,EUR,878256000,D,17,17,False,67.0,60.0,6.0,3.0,0.0,34.0,36.0,27.0,33.0,3.0,76.0,90.0,7.1,11.0,0.0622792,0,,,,2.0,,1.0,4.0,5.0,,1.0,2.0,4.0,1.0,,,2.0,2.0,,2.0,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,
12504704,home,Napoli,Frank Anguissa,frank-anguissa,F. Anguissa,M,99,184,12968,M,787941,EUR,816480000,M,99,99,False,45.0,41.0,2.0,1.0,0.0,13.0,13.0,28.0,34.0,2.0,90.0,56.0,6.4,9.0,0.0860766,1,,anguiss_29,,2.0,2.0,,4.0,1.0,,,,1.0,1.0,2.0,,2.0,,,,0.0237,1.0,,,,,1.0,,,,,,,,,,,,,,
12504704,home,Napoli,Billy Gilmour,gilmour-billy,B. Gilmour,M,6,169,4342,M,907668,EUR,992217600,M,6,6,False,43.0,38.0,3.0,2.0,0.0,18.0,19.0,20.0,24.0,3.0,62.0,49.0,6.3,7.0,0.0170121,0,,billygilmour,,,1.0,,4.0,1.0,1.0,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,
12504704,home,Napoli,Scott McTominay,scott-mctominay,S. McTominay,M,8,193,25748,M,879346,EUR,850003200,M,8,8,False,32.0,28.0,2.0,2.0,0.0,9.0,12.0,19.0,20.0,4.0,90.0,48.0,6.9,9.0,0.0310836,2,,ScottMcTominay,,,1.0,2.0,5.0,7.0,,3.0,,4.0,2.0,1.0,,,,2.0,,0.1755,2.0,,,,,,1.0,1.0,,,,,,,,,,,,
12504704,home,Napoli,Matteo Politano,matteo-politano,M. Politano,F,21,171,4493,M,235672,EUR,744336000,F,21,21,False,28.0,23.0,2.0,1.0,0.0,6.0,8.0,18.0,28.0,1.0,61.0,43.0,6.7,13.0,0.0403323,0,,,,8.0,,,2.0,,1.0,,1.0,,,,,,1.0,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,
12504704,home,Napoli,Romelu Lukaku,romelu-lukaku,R. Lukaku,F,9,191,56823,M,78893,EUR,737251200,F,11,11,False,22.0,16.0,,,0.0,6.0,7.0,10.0,15.0,1.0,76.0,29.0,6.7,10.0,0.0488977,2,,RLukaku,,,,,5.0,,,,,,,1.0,,2.0,1.0,,,0.1457,3.0,1.0,0.0708,,,1.0,,,,,,,,,,,,,,
12504704,home,Napoli,Khvicha Kvaratskhelia,khvicha-kvaratskhelia,K. Kvaratskhelia,F,7,183,97764,M,889259,EUR,981936000,F,77,77,False,28.0,23.0,2.0,,0.0,3.0,3.0,21.0,26.0,,71.0,45.0,6.7,13.0,0.0851493,1,,Kvaradona,,1.0,,,5.0,2.0,,5.0,,,,3.0,1.0,,2.0,,,0.0167,1.0,1.0,0.1109,1.0,,,1.0,,,,,,,,,,,,,
12504704,home,Napoli,Cyril Ngonge,cyril-ngonge,C. Ngonge,F,16,179,1937,M,877037,EUR,959299200,F,26,26,True,9.0,6.0,,,0.0,2.0,3.0,4.0,6.0,,29.0,15.0,6.8,4.0,0.00659051,2,,,,,,1.0,2.0,4.0,,,,,,,3.0,1.0,1.0,1.0,,0.1005,1.0,,,,,1.0,,,,,,,,,,,,,,
12504704,home,Napoli,Giacomo Raspadori,giacomo-raspadori,G. Raspadori,F,18,172,8190,M,865651,EUR,950832000,F,81,81,True,13.0,11.0,,,0.0,2.0,2.0,10.0,13.0,,28.0,17.0,6.6,4.0,0.0537365,0,,giacomo.raspadori,,2.0,,,2.0,,1.0,1.0,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,
12504704,home,Napoli,David Neres,david-neres,D. Neres,F,7,175,15134,M,850993,EUR,857347200,F,7,7,True,5.0,4.0,,,0.0,1.0,1.0,3.0,4.0,2.0,19.0,14.0,6.4,5.0,0.00338351,1,,davidneres,,,,,2.0,1.0,,2.0,,1.0,,2.0,,,,1.0,,0.0191,,,,,,,,,,,,,,,,,,,,
12504704,home,Napoli,Leonardo Spinazzola,leonardo-spinazzola,L. Spinazzola,D,37,185,3729,M,148899,EUR,733017600,D,37,37,True,13.0,13.0,1.0,1.0,0.0,6.0,6.0,8.0,9.0,1.0,14.0,16.0,6.7,1.0,0.156874,1,,,,2.0,,,,,,,,,,,,,2.0,,,0.0405,,,,1.0,,1.0,,,,,,,,,,,,,,
12504704,home,Napoli,Giovanni Simeone,giovanni-simeone,G. Simeone,F,18,179,9782,M,341143,EUR,804902400,F,18,18,True,5.0,5.0,,,0.0,2.0,2.0,3.0,3.0,,14.0,10.0,6.5,1.0,0.00204712,1,,simeonegiovanni,,,,,1.0,1.0,,,,,,,1.0,,,,,0.0718,1.0,,,,,1.0,,,,,,,,,,,,,,
12504704,home,Napoli,Nikita Contini,nikita-contini,N. Contini,G,14,190,976,M,352728,EUR,832636800,G,14,14,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504704,home,Napoli,Elia Caprile,elia-caprile,E. Caprile,G,1,191,1685,M,947954,EUR,998697600,G,25,25,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504704,home,Napoli,Juan Jesus,juan-jesus,Juan Jesus,D,5,185,2485,M,108484,EUR,676512000,D,5,5,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
