match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialWon,stat_duelWon,stat_shotOffTarget,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_fouls,stat_expectedGoals,stat_wonTackle,stat_wasFouled,stat_totalCross,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_unsuccessfulTouch,stat_keyPass,stat_challengeLost,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_totalOffside,stat_accurateCross,stat_bigChanceCreated,player_sofascoreId,stat_punches,stat_hitWoodwork
12764219,away,Roma,Mile Svilar,svilar-mile,M. Svilar,G,99,189,4533,M,793986,EUR,935712000,G,99,99,False,,48.0,36.0,27.0,15.0,0.0,32.0,32.0,4.0,16.0,,,1.0,12.0,,,2.0,4.0,,,90.0,57.0,7.5,12.0,0.0005765,0,0.256,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,
12764219,away,Roma,Gianluca Mancini,gianluca-mancini,G. Mancini,D,23,190,4065,M,611210,EUR,829699200,D,23,23,False,,66.0,54.0,4.0,1.0,0.0,39.0,43.0,15.0,23.0,2.0,4.0,2.0,4.0,,,,,,,90.0,81.0,7.8,13.0,0.00469454,2,,,,7.0,13.0,,,,2.0,2.0,0.152,,4.0,,,,,1.0,,,,2.0,1.0,0.2615,,,,,,
12764219,away,Roma,Bryan Cristante,bryan-cristante,B. Cristante,M,4,186,2776,M,186855,EUR,794188800,D,4,4,False,,75.0,62.0,8.0,2.0,0.0,47.0,52.0,15.0,23.0,5.0,6.0,7.0,7.0,,,,,,,90.0,93.0,7.2,14.0,0.00465386,1,,,,5.0,8.0,,,4.0,3.0,1.0,0.0481,1.0,,,,,,,,,,1.0,,0.0528,,,,,,
12764219,away,Roma,Angeliño,angelino,Angeliño,M,3,171,3334,M,848355,EUR,852336000,D,3,3,False,,56.0,39.0,9.0,,0.0,30.0,33.0,9.0,27.0,,1.0,2.0,4.0,,,,,,,90.0,66.0,6.6,21.0,0.0019505,0,,,,2.0,5.0,,,,2.0,1.0,,2.0,1.0,4.0,,,,,,,,,,,,,,,,
12764219,away,Roma,Zeki Çelik,zeki-celik,Z. Çelik,D,19,180,2952,M,893008,EUR,856137600,M,19,19,False,,58.0,40.0,6.0,3.0,0.0,23.0,26.0,17.0,34.0,2.0,4.0,4.0,4.0,,,,,,,90.0,85.0,7.1,20.0,0.0125209,0,,,,2.0,9.0,,,1.0,6.0,2.0,,3.0,1.0,2.0,,,,,,,,,,,,,,,,
12764219,away,Roma,Manu Koné,manu-kone,M. Koné,M,17,186,6978,M,974087,EUR,990057600,M,17,17,False,,38.0,32.0,2.0,2.0,0.0,14.0,14.0,18.0,24.0,,4.0,,4.0,,,,,,,90.0,60.0,7.3,12.0,0.182471,1,,,,3.0,12.0,1.0,,,1.0,,0.0242,,7.0,,1.0,1.0,,2.0,2.0,,4.0,,,,,,,,,
12764219,away,Roma,Enzo Le Fée,enzo-le-fee,E. Le Fée,M,28,173,3101,M,984014,EUR,949536000,M,28,28,False,,30.0,25.0,5.0,5.0,0.0,13.0,16.0,12.0,14.0,,1.0,,,,,,,,,55.0,38.0,6.9,6.0,0.00733771,0,,,,1.0,3.0,,,,,,,,1.0,,1.0,1.0,1.0,,,,1.0,,,,,,,,,
12764219,away,Roma,Stephan El Shaarawy,stephan-el-shaarawy,S. El Shaarawy,F,22,178,5701,M,45925,EUR,720144000,M,92,92,False,,30.0,27.0,2.0,1.0,0.0,13.0,14.0,14.0,17.0,,4.0,,3.0,,,,,,,79.0,49.0,6.6,9.0,0.0439813,2,,,,1.0,2.0,2.0,,1.0,1.0,2.0,0.1127,,,1.0,2.0,,1.0,,,,,,,,,,,stewel92,,
12764219,away,Roma,Tommaso Baldanzi,tommaso-baldanzi,T. Baldanzi,M,8,170,2283,M,1012172,EUR,1048377600,F,35,35,False,,25.0,19.0,1.0,,0.0,4.0,6.0,15.0,19.0,3.0,12.0,1.0,2.0,,,,,,,79.0,44.0,6.5,13.0,0.029278,1,,,,2.0,5.0,,,1.0,,2.0,0.0564,,4.0,,4.0,,,1.0,1.0,1.0,2.0,1.0,,0.4614,,,,,,1.0
12764219,away,Roma,Lorenzo Pellegrini,lorenzo-pellegrini,L. Pellegrini,M,7,186,5682,M,555540,EUR,835142400,F,7,7,False,True,22.0,17.0,1.0,1.0,1.0,8.0,11.0,13.0,17.0,2.0,6.0,2.0,3.0,,,,,,,90.0,42.0,7.7,11.0,0.442161,2,,,,1.0,3.0,,1.0,1.0,1.0,2.0,0.0684,1.0,1.0,6.0,,,,3.0,4.0,2.0,,1.0,,0.0696,,4.0,1.0,lorepelle7,,
