match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,captain,stat_aerialLost,stat_wonContest,stat_unsuccessfulTouch,stat_accurateCross,stat_bigChanceCreated,stat_outfielderBlock,stat_keyPass,stat_goalAssist,stat_onTargetScoringAttempt,stat_goals,stat_dispossessed,stat_bigChanceMissed,stat_blockedScoringAttempt,player_sofascoreId,stat_hitWoodwork,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_saves
11401853,home,Feyenoord,Timon Wellenreuther,,,timon-wellenreuther,T. Wellenreuther,G,22,186,588,M,253875,EUR,817948800,G,22,22,False,30.0,25.0,8.0,4.0,24.0,26.0,1.0,4.0,1.0,11.0,1.0,1.0,2.0,2.0,90.0,38.0,6.5,5.0,0.0,0.0,0.0003297,0,-0.557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11401853,home,Feyenoord,Lutsharel Geertruida,,,lutsharel-geertruida,L. Geertruida,D,6,185,2489,M,856739,EUR,963878400,D,4,4,False,65.0,60.0,1.0,1.0,21.0,22.0,39.0,44.0,2.0,11.0,,,,,90.0,87.0,7.2,9.0,0.0613,0.0,0.0465449,1,,1.0,1.0,4.0,7.0,1.0,2.0,1.0,1.0,4.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
11401853,home,Feyenoord,Gernot Trauner,,,gernot-trauner,G. Trauner,D,18,183,610,M,121588,EUR,701481600,D,18,18,False,86.0,84.0,4.0,2.0,39.0,39.0,45.0,47.0,4.0,7.0,,,,,90.0,99.0,7.2,4.0,0.0173,0.0,0.0360824,1,,,5.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,,,True,1.0,1.0,2.0,,,,,,,,,,,,,,,
11401853,home,Feyenoord,Dávid Hancko,,,david-hancko,D. Hancko,D,17,188,4795,M,807771,EUR,881971200,D,33,33,False,88.0,83.0,6.0,5.0,43.0,44.0,41.0,46.0,2.0,7.0,,,,,90.0,103.0,7.8,7.0,0.0,0.0,0.116245,0,,2.0,,2.0,3.0,,2.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,2.0,,,,,,,,,,,
11401853,home,Feyenoord,Quilindschy Hartman,,,quilindschy-hartman,Q. Hartman,D,3,183,1253,M,1392044,EUR,1005696000,D,5,5,False,59.0,54.0,3.0,2.0,17.0,19.0,39.0,43.0,,4.0,,,,,90.0,76.0,8.2,6.0,0.0166,0.1304,0.85136,1,,3.0,,3.0,1.0,,,,1.0,1.0,1.0,,1.0,,2.0,,,2.0,1.0,,3.0,2.0,1.0,,,,,,,,,
11401853,home,Feyenoord,Mats Wieffer,,,mats-wieffer,M. Wieffer,M,27,188,2174,M,959628,EUR,942710400,M,20,20,False,76.0,69.0,6.0,6.0,29.0,29.0,40.0,47.0,,9.0,,,,,90.0,81.0,7.6,9.0,0.2881,0.8001,0.0860116,1,,,1.0,7.0,1.0,1.0,1.0,,,,,,3.0,,2.0,,1.0,,,1.0,1.0,,1.0,1.0,,,,,,,,
11401853,home,Feyenoord,Quinten Timber,,,quinten-timber,Q. Timber,M,27,177,8611,M,959805,EUR,992736000,M,8,8,False,37.0,29.0,,,11.0,11.0,18.0,26.0,,5.0,,,,,70.0,49.0,6.7,11.0,0.7625,0.0,0.0472547,3,,,,2.0,4.0,1.0,2.0,1.0,,1.0,,1.0,,,,2.0,2.0,,,,,,,,1.0,1.0,2.0,,,,,
11401853,home,Feyenoord,Igor Paixão,,,igor-paixao,I. Paixão,F,14,168,12525,M,981815,EUR,962150400,M,14,14,False,37.0,32.0,,,4.0,5.0,29.0,34.0,1.0,6.0,,,,,71.0,56.0,8.7,11.0,0.1877,0.4734,0.594225,3,,2.0,,3.0,4.0,1.0,2.0,,,2.0,2.0,1.0,1.0,,,1.0,4.0,1.0,1.0,,1.0,1.0,2.0,1.0,,,1.0,,,,,
11401853,home,Feyenoord,Calvin Stengs,,,calvin-stengs,C. Stengs,M,23,187,1733,M,857480,EUR,913939200,M,10,10,False,29.0,26.0,,,2.0,3.0,26.0,29.0,,,,,,,77.0,44.0,7.6,8.0,0.0,0.0,0.782,0,,3.0,,4.0,5.0,,3.0,,,4.0,2.0,,1.0,,,1.0,1.0,2.0,1.0,,4.0,1.0,,,1.0,,,,,,,
11401853,home,Feyenoord,Luka Ivanušec,,,luka-ivanusec,L. Ivanušec,F,18,175,3285,M,822462,EUR,912038400,M,17,17,False,34.0,28.0,1.0,1.0,4.0,4.0,24.0,31.0,,1.0,,,,,71.0,49.0,7.6,9.0,0.1111,0.5646,0.146057,2,,1.0,,4.0,2.0,2.0,1.0,,,1.0,1.0,,,,1.0,1.0,,,,,2.0,,1.0,1.0,1.0,,1.0,LukaIvanusec,,,,
