match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,captain,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_dispossessed,stat_outfielderBlock,stat_interceptionWon,stat_ownGoals,stat_accurateCross,stat_totalOffside,stat_keyPass,stat_blockedScoringAttempt,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_keeperSaveValue,stat_goalkeeperValueNormalized,stat_goals
14613411,home,Fatih Karagümrük,Ivo Grbić,,,ivo-grbic,I. Grbić,G,13,195.0,1121,M,283847,EUR,821923200,G,13,13,False,39.0,33.0,9.0,3.0,0.0,33.0,37.0,2.0,1.0,1.0,9.0,1.0,1.0,1.0,5.0,4.0,90.0,48.0,6.6,6.0,0.0001137,0,-1.3771,0.01,0.03,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14613411,home,Fatih Karagümrük,Atakan Çankaya,Atakan Cankaya,,atakan-cankaya,A. Çankaya,D,35,180.0,44,M,1066338,EUR,898732800,D,6,6,False,35.0,24.0,3.0,1.0,0.0,11.0,13.0,22.0,4.0,1.0,3.0,,1.0,1.0,,,90.0,59.0,6.4,14.0,0.0160512,2,,0.04,0.36,-0.42,True,13.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1246,0.5048,0.18,,,,,,,,,,,,,,
14613411,home,Fatih Karagümrük,Muhammed Kadıoğlu,,,muhammed-kadioglu,M. Kadioglu,D,32,187.0,29,M,2044133,EUR,1167609600,D,32,32,False,54.0,42.0,9.0,2.0,0.0,31.0,36.0,18.0,7.0,7.0,2.0,,2.0,2.0,,,90.0,73.0,6.6,15.0,0.0024542,0,,0.08,0.15,-0.06,,11.0,,3.0,4.0,5.0,,,,,,,1.0,,,,,2.0,1.0,2.0,,,,,,,,,,,
14613411,home,Fatih Karagümrük,Anıl Yiğit Çınar,Anil Yigit Cinar,,anil-yigit-cinar,A. Y. Çınar,D,94,193.0,44,M,1198959,EUR,1057795200,D,94,94,False,61.0,47.0,9.0,2.0,0.0,41.0,49.0,12.0,5.0,8.0,3.0,,1.0,,,,90.0,77.0,6.0,14.0,0.00098968,0,,-0.04,0.04,-0.77,,6.0,,1.0,3.0,1.0,,,,,,,1.0,,,,,,1.0,2.0,1.0,,,,,,,,,,
14613411,home,Fatih Karagümrük,Jure Balkovec,,,jure-balkovec,J. Balkovec,D,29,185.0,292,M,171625,EUR,779068800,D,29,29,False,35.0,26.0,5.0,1.0,0.0,20.0,21.0,14.0,2.0,3.0,6.0,,,,,,90.0,59.0,5.9,17.0,0.0242125,0,,0.13,0.0,-0.37,,6.0,1.0,,,5.0,1.0,1.0,,,,2.0,2.0,1.0,,,,2.0,,,,,,,,,,,,,
14613411,home,Fatih Karagümrük,Berkay Özcan,,,berkay-ozcan,B. Özcan,M,8,178.0,161,M,806964,EUR,887500800,M,8,8,False,36.0,32.0,2.0,1.0,0.0,21.0,22.0,14.0,3.0,,3.0,,,,,,86.0,44.0,6.5,8.0,0.0138365,0,,0.08,0.26,-0.12,,11.0,1.0,,1.0,2.0,,1.0,1.0,,,2.0,1.0,2.0,,,,,,,,,,,,,,,,,
14613411,home,Fatih Karagümrük,Daniel Johnson,,,daniel-johnson,D. Johnson,M,11,174.0,141,M,291237,EUR,718502400,M,11,11,False,22.0,15.0,3.0,1.0,0.0,9.0,11.0,11.0,1.0,,2.0,,,,,,86.0,28.0,6.6,8.0,0.0661629,0,,0.2,0.04,-0.16,,6.0,2.0,1.0,,3.0,1.0,,,,,,1.0,1.0,,,,,,1.0,,1.0,1.0,1.0,,,,,,,
14613411,home,Fatih Karagümrük,Tarik Bugra Kalpakli,,,tarik-bugra-kalpakli,T. B. Kalpaklı,F,20,,69,M,2018983,EUR,1238976000,M,20,20,False,12.0,7.0,,,0.0,5.0,8.0,4.0,2.0,1.0,4.0,,1.0,1.0,,,45.0,20.0,6.6,7.0,0.0127011,0,,0.0,0.05,-0.03,,2.0,,2.0,,5.0,2.0,1.0,,,,1.0,1.0,,,,,,,1.0,,,1.0,,,,,,,,
14613411,home,Fatih Karagümrük,Tiago Cukur,,,tiago-cukur,T. Cukur,F,21,196.0,188,M,1134447,EUR,1038614400,M,21,21,False,18.0,15.0,1.0,,0.0,5.0,5.0,13.0,1.0,1.0,2.0,,1.0,1.0,,,90.0,29.0,6.2,7.0,0.0212878,3,,-0.02,0.26,-0.02,,10.0,,,,4.0,,,,1.0,,,,1.0,0.2132,,-0.52,3.0,,,,,,,2.0,,,,,,
14613411,home,Fatih Karagümrük,Baris Kalayci,Baris Kalayci,,baris-kalayci,B. Kalaycı,F,72,175.0,76,M,1534046,EUR,1125360000,M,72,72,False,12.0,7.0,,,0.0,6.0,9.0,3.0,3.0,1.0,3.0,,,,,,45.0,18.0,6.6,7.0,0.00078366,1,,-0.07,0.09,-0.08,,1.0,,,2.0,3.0,2.0,1.0,,,1.0,1.0,1.0,,0.0517,0.2588,-0.15,,,,,,,,,,,,,,
