match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalClearance,stat_interceptionWon,stat_totalTackle,player_sofascoreId,captain,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_shotOffTarget,stat_wonTackle,stat_wasFouled,stat_fouls,player_firstName,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_accurateCross,stat_bigChanceCreated,stat_unsuccessfulTouch,stat_keyPass,player_lastName,stat_hitWoodwork,stat_bigChanceMissed,stat_goals,stat_totalOffside,stat_outfielderBlock,stat_clearanceOffLine
12624427,home,Al-Qadsiah,Koen Casteels,koen-casteels,K. Casteels,G,1,197.0,1420,M,70987,EUR,709430400,G,1,1,False,27.0,23.0,8.0,4.0,0.0,22.0,24.0,1.0,3.0,1.0,1.0,12.0,2.0,3.0,4.0,90.0,44.0,7.7,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624427,home,Al-Qadsiah,Jehad Thakri,thakri-jehad,J. Thakri,D,4,184.0,259,M,1845169,EUR,995673600,D,4,4,False,42.0,37.0,4.0,,0.0,28.0,28.0,9.0,14.0,,2.0,3.0,,,,90.0,54.0,6.7,5.0,0,4.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624427,home,Al-Qadsiah,Nacho Fernández,nacho-fernandez,N. Fernández,D,6,180.0,14931,M,69404,EUR,632620800,D,6,6,False,31.0,30.0,5.0,4.0,0.0,26.0,26.0,4.0,5.0,,,1.0,,,,90.0,43.0,6.9,1.0,0,10.0,2.0,,nachofdez90,True,,,,,,,,,,,,,,,,,,,,,,,,,
12624427,home,Al-Qadsiah,Gastón Álvarez,gaston-alvarez,G. Álvarez,D,17,184.0,492,M,980578,EUR,953856000,D,17,17,False,39.0,38.0,4.0,3.0,0.0,27.0,27.0,11.0,13.0,,2.0,4.0,,,,90.0,49.0,6.7,2.0,1,3.0,1.0,1.0,,,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,
12624427,home,Al-Qadsiah,Mohammed Abu Al-Shamat,mohammed-waheeb-abu-al-shamat,M. A. Al-Shamat,M,2,170.0,199,M,1804369,EUR,1029024000,M,2,2,False,41.0,32.0,6.0,2.0,0.0,16.0,17.0,16.0,31.0,,4.0,6.0,,,,87.0,75.0,7.0,20.0,2,2.0,4.0,2.0,,,7.0,,8.0,4.0,,2.0,1.0,1.0,Mohammed Waheeb Abu Al-Shamat,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
12624427,home,Al-Qadsiah,Nahitan Nández,nahitan-nandez,N. Nandez,M,8,175.0,1910,M,589620,EUR,820108800,M,8,8,False,51.0,44.0,4.0,2.0,1.0,16.0,18.0,29.0,36.0,,7.0,8.0,,,,90.0,68.0,7.6,13.0,0,1.0,,6.0,,,3.0,,6.0,3.0,,4.0,1.0,2.0,,1.0,,,,,1.0,1.0,3.0,3.0,,,,,,,
12624427,home,Al-Qadsiah,Ezequiel Fernández,ezequiel-fernandez,E. Fernández,M,6,178.0,5873,M,1003012,EUR,1027555200,M,5,5,False,61.0,56.0,7.0,4.0,0.0,32.0,34.0,24.0,27.0,2.0,7.0,9.0,,,,90.0,75.0,7.1,8.0,1,1.0,1.0,3.0,equifernandez,,,,7.0,3.0,,3.0,2.0,3.0,,1.0,,,1.0,,,,2.0,,,,,,,,
12624427,home,Al-Qadsiah,Turki Al-Ammar,turki-al-ammar,T. Al-Ammar,M,7,170.0,151,M,965177,EUR,938044800,M,7,7,False,31.0,26.0,2.0,2.0,0.0,11.0,13.0,17.0,24.0,1.0,2.0,3.0,,,,89.0,56.0,7.0,11.0,4,,3.0,,,,6.0,1.0,5.0,3.0,1.0,,,1.0,,,1.0,1.0,,3.0,2.0,,,,,1.0,,,,,
12624427,home,Al-Qadsiah,Cameron Puertas,cameron-puertas,C. Puertas,M,18,178.0,1147,M,916176,EUR,903398400,F,88,88,False,37.0,31.0,1.0,,0.0,15.0,16.0,18.0,27.0,,6.0,2.0,,,,73.0,59.0,7.2,16.0,0,,,4.0,,,6.0,1.0,8.0,1.0,,2.0,1.0,2.0,,3.0,2.0,1.0,,,2.0,1.0,2.0,3.0,,,,,,,
12624427,home,Al-Qadsiah,Pierre-Emerick Aubameyang,pierre-emerick-aubameyang,P. Aubameyang,F,17,187.0,49593,M,51498,EUR,614131200,F,10,10,False,42.0,36.0,,,0.0,13.0,14.0,25.0,31.0,2.0,3.0,1.0,,,,90.0,55.0,8.2,7.0,3,2.0,1.0,,Auba,,3.0,,,,,,1.0,,,,,,3.0,,2.0,1.0,,5.0,,,1.0,1.0,1.0,,
