match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_interceptionWon,player_firstName,player_lastName,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_challengeLost,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,player_sofascoreId,captain,stat_accurateCross,stat_wasFouled,stat_fouls,stat_keyPass,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotOffTarget,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_penaltyConceded,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox,stat_saves,stat_penaltyWon,stat_lastManTackle,stat_totalOffside,stat_goals,stat_errorLeadToAShot
12436581,home,Wolverhampton,José Sá,jose-sa,J. Sá,G,1,192.0,4016,M,252669,EUR,727228800,G,1,1,False,27.0,18.0,14.0,5.0,0.0,16.0,19.0,2.0,8.0,1.0,1.0,1.0,13.0,1.0,1.0,2.0,2.0,90.0,38.0,6.6,9.0,0.00147083,0,-0.9245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436581,home,Wolverhampton,Matt Doherty,matt-doherty,M. Doherty,D,2,182.0,1449,M,143047,EUR,695520000,D,2,2,False,45.0,39.0,3.0,1.0,0.0,28.0,31.0,11.0,16.0,2.0,2.0,4.0,2.0,,,,,59.0,53.0,6.7,8.0,0.0205187,0,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436581,home,Wolverhampton,Emmanuel Agbadou,emmanuel-agbadou,E. Agbadou,D,12,192.0,3192,M,1013842,EUR,866505600,D,12,12,False,84.0,77.0,8.0,4.0,0.0,59.0,60.0,18.0,25.0,2.0,4.0,4.0,5.0,,,,,90.0,99.0,7.1,9.0,0.012655,0,,1.0,1.0,2.0,2.0,,,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12436581,home,Wolverhampton,Toti Gomes,toti-gomes,T. Gomes,D,24,187.0,1047,M,973418,EUR,916444800,D,24,24,False,84.0,80.0,6.0,4.0,0.0,49.0,51.0,31.0,33.0,1.0,5.0,8.0,4.0,,,,,90.0,103.0,6.9,8.0,0.0298015,0,,,1.0,4.0,1.0,,,,1.0,,,2.0,4.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,
12436581,home,Wolverhampton,Nélson Semedo,nelson-semedo,N. Semedo,M,27,177.0,7696,M,252821,EUR,753408000,M,22,22,False,38.0,30.0,1.0,,0.0,15.0,18.0,17.0,24.0,,3.0,1.0,8.0,,,,,90.0,60.0,6.6,14.0,0.194143,0,,4.0,,3.0,,,,1.0,2.0,1.0,,,1.0,,2.0,nelsonsemedo50,True,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,
12436581,home,Wolverhampton,João Gomes,joao-gomes,J. Gomes,M,8,176.0,14959,M,1015267,EUR,981936000,M,8,8,False,31.0,30.0,1.0,,0.0,16.0,16.0,14.0,16.0,,2.0,,4.0,,,,,60.0,35.0,6.5,3.0,0.0192444,0,,1.0,,3.0,,,,,1.0,,,1.0,,,,joaogomes.01,,,2.0,1.0,,,,,,,,,,,,,,,,
12436581,home,Wolverhampton,André,andre,André,M,7,176.0,9098,M,1035996,EUR,995241600,M,7,7,False,70.0,64.0,4.0,3.0,0.0,42.0,44.0,22.0,26.0,,11.0,3.0,11.0,,,,,89.0,96.0,7.4,11.0,0.0201878,0,,,,7.0,3.0,André,,4.0,3.0,2.0,,1.0,8.0,5.0,,Andre7,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
12436581,home,Wolverhampton,Rayan Aït-Nouri,rayan-ait-nouri,R. A. Nouri,M,21,179.0,44710,M,931278,EUR,991785600,M,3,3,False,45.0,41.0,,,0.0,15.0,15.0,26.0,32.0,1.0,12.0,2.0,7.0,,,,,90.0,81.0,7.3,16.0,0.035212,1,,2.0,,10.0,1.0,,,1.0,13.0,5.0,,1.0,3.0,3.0,1.0,r_aitnouri,,,3.0,,2.0,1.0,0.0151,0.0151,,,,,,,,,,,,
12436581,home,Wolverhampton,Marshall Munetsi,marshall-munetsi,M. Munetsi,M,18,187.0,1937,M,894733,EUR,835401600,F,5,5,False,13.0,7.0,,,0.0,3.0,4.0,4.0,9.0,2.0,3.0,1.0,,,,,,90.0,22.0,7.0,8.0,0.00809704,4,,,2.0,3.0,,,,,,,,1.0,1.0,,2.0,,,,,2.0,1.0,1.0,0.1872,0.0354,2.0,1.0,,,,,,,,,,
12436581,home,Wolverhampton,Matheus Cunha,matheus-cunha,M. Cunha,F,10,184.0,69408,M,886363,EUR,927763200,F,10,10,False,23.0,19.0,4.0,2.0,0.0,3.0,4.0,17.0,28.0,,1.0,,,,,,,59.0,43.0,6.8,16.0,0.155639,2,,9.0,1.0,4.0,,,,1.0,1.0,,,,,,2.0,Cunha,,1.0,1.0,1.0,2.0,1.0,0.1056,0.5735,1.0,,1.0,1.0,,,,,,,,
