match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_jerseyNumber,stat_totalCross,stat_duelLost,stat_totalContest,stat_aerialLost,stat_outfielderBlock,stat_totalTackle,stat_fouls,captain,stat_interceptionWon,stat_wonTackle,stat_keyPass,stat_unsuccessfulTouch,player_firstName,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,player_lastName,stat_blockedScoringAttempt,stat_dispossessed,stat_goals,stat_shotOffTarget,stat_goodHighClaim,player_sofascoreId,stat_totalOffside,stat_challengeLost,stat_accurateCross,stat_bigChanceCreated,stat_bigChanceMissed,stat_errorLeadToAGoal
11406753,home,Sassuolo,Andrea Consigli,andrea-consigli,A. Consigli,G,189,262,M,38618,EUR,538704000,G,47,47,False,35.0,19.0,25.0,10.0,0.0,13.0,15.0,6.0,20.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,90.0,39.0,7.0,16.0,0.00093962,0,0.0523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406753,home,Sassuolo,Martin Erlić,martin-erlic,M. Erlić,D,192,1953,M,789234,EUR,885600000,D,5,5,False,18.0,15.0,3.0,1.0,0.0,11.0,11.0,4.0,8.0,1.0,2.0,7.0,2.0,1.0,,,,90.0,29.0,6.9,5.0,0.00210344,0,,6,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406753,home,Sassuolo,Marash Kumbulla,marash-kumbulla,M. Kumbulla,D,191,1585,M,893642,EUR,949968000,D,19,19,False,22.0,18.0,1.0,,0.0,12.0,13.0,6.0,9.0,2.0,3.0,7.0,2.0,,,,,90.0,36.0,7.4,4.0,0.00100906,0,,4,,2.0,,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11406753,home,Sassuolo,Gian Marco Ferrari,gian-marco-ferrari,G. M. Ferrari,D,189,224,M,170887,EUR,705888000,D,13,13,False,28.0,22.0,7.0,4.0,0.0,14.0,14.0,8.0,14.0,,1.0,2.0,1.0,,,,,90.0,34.0,7.2,6.0,0.0288528,0,,,,3.0,,1.0,1.0,1.0,2.0,True,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
11406753,home,Sassuolo,Jeremy Toljan,jeremy-toljan,J. Toljan,D,182,343,M,149606,EUR,776304000,M,22,22,False,11.0,10.0,1.0,1.0,0.0,5.0,6.0,5.0,6.0,,,1.0,1.0,,,,,86.0,20.0,6.7,3.0,0.0369068,0,,22,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11406753,home,Sassuolo,Matheus Henrique,matheus-henrique,M. Henrique,M,175,2961,M,912786,EUR,882489600,M,7,7,False,17.0,13.0,1.0,,0.0,9.0,9.0,4.0,9.0,1.0,3.0,2.0,4.0,,,,,86.0,30.0,6.9,8.0,0.00542064,0,,8,1.0,1.0,1.0,,,2.0,,,2.0,1.0,,2.0,,,,,,,,,,,,,,,,,,
11406753,home,Sassuolo,Luca Lipani,luca-lipani,L. Lipani,M,185,442,M,1154898,EUR,1116374400,M,35,35,False,22.0,16.0,4.0,2.0,0.0,7.0,9.0,9.0,14.0,,2.0,2.0,1.0,,,,,71.0,32.0,7.0,8.0,0.0120038,1,,35,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,,Luca Lipani,1.0,1.0,0.0208,0.3001,,,,,,,,,,,,,
11406753,home,Sassuolo,Kristian Thorstvedt,kristian-thorstvedt,K. Thorstvedt,M,187,1387,M,924973,EUR,921283200,M,42,42,False,20.0,13.0,3.0,2.0,0.0,5.0,5.0,8.0,15.0,4.0,6.0,,3.0,,,,,59.0,28.0,6.7,9.0,0.0315396,1,,42,,9.0,2.0,6.0,1.0,1.0,2.0,,1.0,,,1.0,,1.0,,0.1052,,,1.0,,,,,,,,,,,
11406753,home,Sassuolo,Josh Doig,josh-doig,J. Doig,D,189,836,M,989276,EUR,1021680000,M,43,43,False,18.0,11.0,5.0,,1.0,6.0,9.0,5.0,10.0,1.0,2.0,3.0,3.0,1.0,,,,90.0,43.0,6.8,19.0,0.0474501,0,,3,1.0,3.0,3.0,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,
11406753,home,Sassuolo,Armand Laurienté,armand-lauriente,A. Laurienté,M,177,2531,M,932643,EUR,912729600,F,45,45,False,14.0,11.0,1.0,1.0,0.0,6.0,7.0,5.0,10.0,2.0,8.0,,5.0,4.0,,,,90.0,39.0,7.2,13.0,0.0152223,2,,45,3.0,11.0,5.0,2.0,,1.0,3.0,,1.0,1.0,,1.0,,1.0,1.0,0.1434,0.1592,,1.0,2.0,1.0,,,,,,,,,
11406753,home,Sassuolo,Andrea Pinamonti,andrea-pinamonti,A. Pinamonti,F,185,2688,M,826198,EUR,927072000,F,9,9,False,17.0,9.0,2.0,1.0,0.0,4.0,5.0,5.0,12.0,4.0,5.0,2.0,4.0,2.0,,,,90.0,29.0,7.0,11.0,0.00398904,2,,99,,4.0,,4.0,,,,,,,,3.0,,,,0.0328,,,,,,2.0,,,,,,,,
11406753,home,Sassuolo,Daniel Boloca,boloca-daniel,D. Boloca,M,185,442,M,882592,EUR,914284800,M,24,24,True,3.0,1.0,1.0,,0.0,1.0,1.0,,3.0,1.0,1.0,1.0,,,,,,31.0,7.0,6.6,3.0,2.29e-06,0,,11,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
11406753,home,Sassuolo,Pedro Obiang,pedro-obiang,P. Obiang,M,192,280,M,46799,EUR,701654400,M,14,14,True,4.0,2.0,,,0.0,,,2.0,4.0,,1.0,,,,,,,19.0,10.0,6.7,2.0,0.0049256,0,,14,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11406753,home,Sassuolo,Filippo Missori,filippo-missori,F. Missori,D,182,223,M,1121184,EUR,1080086400,D,2,2,True,,,,,0.0,,,,,,1.0,1.0,,,,,,4.0,2.0,,,,0,,2,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11406753,home,Sassuolo,Uroš Račić,uros-racic,U. Račić,M,193,669,M,839909,EUR,890092800,M,6,6,True,1.0,1.0,,,0.0,,,1.0,1.0,1.0,1.0,,,1.0,,,,4.0,2.0,,,0.00098989,0,,10,,3.0,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
11406753,home,Sassuolo,Alessio Cragno,alessio-cragno,A. Cragno,G,184,263,M,148740,EUR,772761600,G,28,28,True,,,,,,,,,,,,,,,,,,,,,,,0,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406753,home,Sassuolo,Gianluca Pegolo,gianluca-pegolo,G. Pegolo,G,182,58,M,43985,EUR,354326400,G,25,25,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406753,home,Sassuolo,Mattia Viti,mattia-viti,M. Viti,D,190,528,M,1009268,EUR,1011830400,D,21,21,True,,,,,,,,,,,,,,,,,,,,,,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406753,home,Sassuolo,Marcus Pedersen,marcus-pedersen,M. Pedersen,D,178,644,M,934409,EUR,963705600,D,3,3,True,,,,,,,,,,,,,,,,,,,,,,,0,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406753,home,Sassuolo,Cristian Volpato,volpato-cristian,C. Volpato,M,187,875,M,1155625,EUR,1068854400,M,23,23,True,,,,,,,,,,,,,,,,,,,,,,,0,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406753,home,Sassuolo,Nedim Bajrami,nedim-bajrami,N. Bajrami,M,179,1671,M,825861,EUR,920160000,M,11,11,True,,,,,,,,,,,,,,,,,,,,,,,0,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406753,home,Sassuolo,Samuele Mulattieri,mulattieri-samuele,S. Mulattieri,F,183,531,M,927030,EUR,970876800,F,8,8,True,,,,,,,,,,,,,,,,,,,,,,,0,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406753,home,Sassuolo,Emil Konradsen Ceide,emil-konradsen-ceide,E. K. Ceide,F,175,915,M,933263,EUR,999475200,F,15,15,True,,,,,,,,,,,,,,,,,,,,,,,0,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406753,away,Inter,Emil Audero,emil-audero,E. Audero,G,190,10668,M,318603,EUR,853545600,G,77,77,False,28.0,25.0,5.0,2.0,0.0,24.0,25.0,1.0,3.0,,,,9.0,,,1.0,,90.0,38.0,6.6,3.0,0.00021212,0,-0.5407,1,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
11406753,away,Inter,Benjamin Pavard,benjamin-pavard,B. Pavard,D,186,10877,M,787505,EUR,827971200,D,28,28,False,102.0,92.0,5.0,3.0,0.0,45.0,48.0,47.0,55.0,8.0,9.0,2.0,3.0,1.0,,,,90.0,113.0,7.0,13.0,0.0403588,0,,28,1.0,9.0,,7.0,,,5.0,,,,1.0,1.0,,,,,,,,,,,,benpavard21,1.0,,,,,
11406753,away,Inter,Stefan de Vrij,stefan-de-vrij,S. de Vrij,D,188,5674,M,91046,EUR,697248000,D,6,6,False,107.0,101.0,8.0,7.0,0.0,49.0,53.0,52.0,54.0,2.0,5.0,3.0,6.0,1.0,,,,90.0,118.0,7.3,6.0,0.0177076,1,,6,,2.0,,1.0,1.0,2.0,,,,1.0,,,,,,0.0107,,,1.0,,,,,Stefandevrij,,1.0,,,,
11406753,away,Inter,Alessandro Bastoni,alessandro-bastoni,A. Bastoni,D,190,15274,M,826188,EUR,923961600,D,95,95,False,90.0,84.0,9.0,7.0,0.0,42.0,43.0,43.0,51.0,,2.0,1.0,3.0,,,,,69.0,108.0,6.8,15.0,0.0399708,0,,95,4.0,6.0,,2.0,,2.0,1.0,,,,1.0,2.0,,,,,,,,3.0,,,,alessandrobastoni,,,1.0,,,
11406753,away,Inter,Denzel Dumfries,denzel-dumfries,D. Dumfries,M,189,15021,M,759520,EUR,829785600,M,2,2,False,40.0,38.0,1.0,,0.0,13.0,15.0,27.0,27.0,1.0,3.0,2.0,3.0,,,,,60.0,55.0,6.4,2.0,0.148689,2,,2,2.0,4.0,,1.0,,2.0,2.0,,,1.0,1.0,,,,,0.0834,,,,,,2.0,,ddumfries2,1.0,1.0,2.0,1.0,1.0,1.0
