match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_accurateOppositionHalfPasses,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_totalOffside,stat_aerialLost,stat_aerialWon,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_fouls,stat_dispossessed,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_wasFouled,stat_accurateCross,captain,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_keyPass,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed,stat_goals
11693212,home,Manchester United,André Onana,,,andre-onana,A. Onana,G,24,190,53710,M,AndréOnana24,787498,EUR,828403200,G,24,24,False,25.0,18.0,12.0,5.0,18.0,21.0,4.0,4.0,1.0,2.0,90.0,31.0,6.0,8.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11693212,home,Manchester United,Diogo Dalot,,,diogo-dalot,D. Dalot,M,2,184,22937,M,DDalot,843200,EUR,921715200,D,20,20,False,22.0,16.0,4.0,1.0,11.0,11.0,13.0,2.0,,,45.0,39.0,6.4,11.0,1,5.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11693212,home,Manchester United,Harry Maguire,,,harry-maguire,H. Maguire,D,5,194,27967,M,harrymaguire93,149380,EUR,731289600,D,5,5,False,57.0,47.0,12.0,8.0,31.0,35.0,22.0,9.0,,,90.0,65.0,7.0,10.0,0,16.0,,2.0,6.0,,,1.0,1.0,,1.0,5.0,4.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,
11693212,home,Manchester United,Victor Lindelöf,,,victor-lindelof,V. Lindelöf,D,3,187,8787,M,victorlindelof,143334,EUR,774403200,D,2,2,False,70.0,64.0,3.0,,46.0,48.0,22.0,4.0,,,90.0,83.0,6.5,9.0,0,18.0,,5.0,6.0,,,1.0,1.0,,3.0,2.0,4.0,1.0,,,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,
11693212,home,Manchester United,Sergio Reguilón,,,sergio-reguilon,S. Reguilón,D,,178,5841,M,sergio_regui,858195,EUR,850694400,D,15,15,False,60.0,51.0,2.0,1.0,19.0,24.0,41.0,5.0,,,90.0,86.0,6.5,17.0,1,33.0,5.0,2.0,4.0,,1.0,,,,,2.0,,,3.0,1.0,1.0,,,1.0,2.0,1.0,,,,,,,,,,
11693212,home,Manchester United,Casemiro,,,casemiro,Casemiro,M,18,185,85477,M,Casemiro,122951,EUR,698803200,M,18,18,False,37.0,28.0,4.0,2.0,17.0,18.0,21.0,9.0,,,45.0,44.0,6.5,13.0,1,11.0,2.0,3.0,,,,,,,1.0,,,,1.0,2.0,,,,1.0,,,True,1.0,,,,,,,,
11693212,home,Manchester United,Mason Mount,,,mason-mount,M. Mount,M,7,181,41150,M,MMount,836694,EUR,915926400,M,7,7,False,52.0,41.0,4.0,3.0,14.0,16.0,41.0,3.0,,,90.0,77.0,6.7,18.0,4,28.0,5.0,8.0,5.0,1.0,2.0,4.0,,,2.0,,,,,3.0,1.0,3.0,1.0,,,1.0,,1.0,1.0,,,,,,,
11693212,home,Manchester United,Antony,,,antony,Antony,M,7,172,218925,M,Antony,958380,EUR,951350400,M,21,21,False,37.0,33.0,3.0,2.0,3.0,5.0,36.0,4.0,,,90.0,57.0,6.6,15.0,1,30.0,4.0,9.0,4.0,1.0,1.0,1.0,,,1.0,,,,,1.0,2.0,5.0,1.0,,2.0,,,,,2.0,,,,,,
11693212,home,Manchester United,Hannibal Mejbri,,,hannibal-mejbri,H. Mejbri,M,28,182,23824,M,hannibal_mj,1009386,EUR,1043107200,M,46,46,False,19.0,16.0,2.0,1.0,4.0,5.0,14.0,4.0,,,65.0,33.0,6.5,8.0,0,12.0,,8.0,6.0,,,5.0,3.0,,2.0,,,,1.0,2.0,3.0,1.0,,1.0,1.0,,,,,1.0,,,,,,
11693212,home,Manchester United,Alejandro Garnacho,,,alejandro-garnacho,A. Garnacho,F,49,180,137323,M,AleGarnacho,1135873,EUR,1088640000,M,17,17,False,19.0,18.0,2.0,2.0,7.0,7.0,16.0,1.0,,,65.0,33.0,6.1,9.0,0,13.0,4.0,6.0,1.0,1.0,,1.0,,1.0,1.0,,,,,,,4.0,,2.0,,2.0,,,,2.0,,,,,,
11693212,home,Manchester United,Anthony Martial,,,anthony-martial,A. Martial,M,9,181,16087,M,martial_9,191176,EUR,818121600,F,9,9,False,15.0,13.0,,,6.0,6.0,9.0,2.0,,,64.0,22.0,6.6,5.0,1,7.0,,7.0,1.0,,,,,1.0,4.0,1.0,,,,2.0,1.0,,,2.0,,,,,1.0,2.0,,,,,,
11693212,home,Manchester United,Aaron Wan-Bissaka,,,aaron-wan-bissaka,A. Wan-Bissaka,D,29,183,18232,M,awbissaka,863653,EUR,880502400,D,29,29,True,33.0,29.0,2.0,1.0,12.0,13.0,21.0,6.0,,,45.0,41.0,7.0,5.0,0,18.0,1.0,,2.0,,,2.0,2.0,,,,,,,,,,,1.0,,1.0,,,,2.0,,,,,,
11693212,home,Manchester United,Sofyan Amrabat,,,sofyan-amrabat,S. Amrabat,M,34,183,27456,M,sofyanamrabat,359272,EUR,840585600,M,4,4,True,48.0,45.0,4.0,3.0,19.0,20.0,28.0,2.0,,,45.0,51.0,6.7,4.0,1,26.0,,5.0,1.0,,1.0,,,,1.0,,,,,3.0,1.0,,,,1.0,,,,,2.0,,,,,,
11693212,home,Manchester United,Rasmus Højlund,,,rasmus-hojlund,R. Højlund,F,19,191,69881,M,RHøjlund,1086417,EUR,1044316800,F,11,11,True,5.0,3.0,,,1.0,1.0,4.0,,,,26.0,9.0,6.5,5.0,0,2.0,,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,3.0,,,,,,,,,,,,
11693212,home,Manchester United,Bruno Fernandes,,,bruno-fernandes,B. Fernandes,M,8,179,237692,M,BrunoFernandes,288205,EUR,778982400,M,8,8,True,23.0,20.0,6.0,3.0,5.0,5.0,20.0,,,,25.0,37.0,7.2,7.0,2,15.0,2.0,2.0,5.0,,1.0,3.0,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,
