match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_outfielderBlock,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,captain,stat_accurateCross,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goalAssist,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_goals,stat_totalOffside
11409069,home,Portimonense SAD,Kosuke Nakamura,kosuke-nakamura,K. Nakamura,G,23,185,357,M,155775,EUR,793843200,G,32,32,False,22.0,17.0,8.0,3.0,16.0,18.0,1.0,4.0,4.0,10.0,1.0,5.0,6.0,3.0,90.0,40.0,7.9,5.0,0.00092569,0,0.5389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409069,home,Portimonense SAD,Igor Formiga,igor-formiga,Igor Formiga,D,32,175,266,M,1009030,EUR,915753600,D,33,33,False,47.0,34.0,7.0,1.0,24.0,30.0,10.0,18.0,1.0,10.0,,,,,89.0,74.0,6.6,17.0,0.00921702,1,,,,1.0,1.0,1.0,7.0,7.0,2.0,2.0,2.0,1.0,1.0,4.0,5.0,3.0,1.0,0.0111,,,,,,,,,,,,,,
11409069,home,Portimonense SAD,Rafael Alcobia,rafael-alcobia,R. Alcobia,D,76,187,18,M,1170628,EUR,1056240000,D,76,76,False,64.0,41.0,22.0,7.0,33.0,41.0,8.0,23.0,3.0,4.0,,,,,90.0,74.0,6.3,23.0,0.00932552,1,,,,,3.0,4.0,3.0,4.0,,,,,1.0,1.0,,,,0.0146,1.0,,,,,,,,,,,,,
11409069,home,Portimonense SAD,Filipe Relvas,filipe-relvas,F. Relvas,D,44,192,529,M,1131931,EUR,937785600,D,22,22,False,50.0,37.0,12.0,5.0,33.0,39.0,4.0,11.0,7.0,4.0,,,,,90.0,66.0,6.9,13.0,0.00136331,0,,,,,2.0,3.0,4.0,4.0,1.0,,,,,6.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
11409069,home,Portimonense SAD,Gonçalo Costa,goncalo-costa,G. Costa,D,20,170,81,M,1087354,EUR,950832000,D,18,18,False,42.0,33.0,7.0,4.0,19.0,25.0,14.0,20.0,3.0,9.0,,,,,90.0,68.0,6.6,15.0,0.0100616,0,,,,3.0,,,6.0,3.0,1.0,,1.0,,,1.0,2.0,2.0,4.0,,1.0,1.0,1.0,1.0,,,,,,,,,,
11409069,home,Portimonense SAD,Dener,dener,Dener,M,8,185,73,M,243167,EUR,700444800,M,13,13,False,20.0,16.0,2.0,1.0,12.0,15.0,4.0,5.0,,1.0,,,,,55.0,27.0,6.5,4.0,0.0135513,1,,,,,1.0,,5.0,2.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0087,,,,,,,,,,,,,,
11409069,home,Portimonense SAD,Lucas Ventura,lucas-ventura,Lucas Ventura,M,25,180,163,M,879934,EUR,895536000,M,25,25,False,29.0,25.0,,,17.0,20.0,8.0,9.0,1.0,10.0,,,,,90.0,50.0,7.3,10.0,0.00400975,0,,,,,,1.0,4.0,11.0,,2.0,1.0,1.0,,1.0,8.0,6.0,2.0,,1.0,4.0,1.0,,,,,,,,,,,
11409069,home,Portimonense SAD,Sylvester Jasper,jasper-sylvester,S. Jasper,M,27,180,184,M,1013994,EUR,1000339200,M,7,7,False,24.0,21.0,2.0,1.0,12.0,13.0,9.0,14.0,,3.0,,,,,90.0,43.0,7.2,9.0,0.0121967,3,,,,3.0,1.0,,2.0,7.0,,,2.0,1.0,3.0,1.0,,,1.0,0.0886,,1.0,6.0,1.0,,,,,,,,,,
11409069,home,Portimonense SAD,Carlinhos,carlinhos,Carlinhos,M,11,179,118,M,244787,EUR,772243200,M,11,11,False,30.0,25.0,4.0,3.0,13.0,16.0,13.0,16.0,,4.0,,,,,90.0,42.0,6.6,12.0,0.0209321,1,,,,2.0,1.0,,2.0,1.0,,,1.0,,1.0,,1.0,1.0,,0.0364,,4.0,,1.0,True,1.0,,,,,,,,
11409069,home,Portimonense SAD,Hélio Varela,varela-helio,H. Varela,F,29,176,603,M,1094395,EUR,1020384000,M,77,77,False,16.0,13.0,1.0,,5.0,5.0,8.0,13.0,3.0,2.0,,,,,89.0,42.0,6.3,12.0,0.0226469,1,,,,2.0,2.0,,10.0,4.0,1.0,2.0,3.0,,1.0,,2.0,2.0,2.0,0.0112,,2.0,2.0,,,,,,,,,,,
11409069,home,Portimonense SAD,Ronie Carrillo,ronie-carrillo,R. Carrillo,F,22,186,278,M,873891,EUR,842140800,F,19,19,False,11.0,6.0,1.0,,3.0,5.0,3.0,6.0,1.0,3.0,,,,,55.0,18.0,6.5,6.0,0.00090128,0,,,,,6.0,,6.0,2.0,,,,,,,,,1.0,,,1.0,2.0,,,,,,,,,,,
