match_id,side,team,player_name,player_firstName,player_slug,player_shortName,player_jerseyNumber,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,player_position,player_height,stat_shotOffTarget,stat_penaltyConceded,stat_wasFouled,captain,stat_outfielderBlock,stat_keyPass,stat_accurateCross,player_lastName,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_hitWoodwork,stat_totalOffside,stat_onTargetScoringAttempt,stat_goals,stat_penaltyWon,stat_goodHighClaim
12189917,home,Vermont Green FC,Jason Bouregy,Jason Bouregy,jason-bouregy,J. Bouregy,20,1,M,1823810,EUR,1007164800,F,3,3,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12189917,away,Carolina Core FC,Andrew Pannenberg,,andrew-pannenberg,A. Pannenberg,1,1,M,884456,EUR,906336000,G,1,1,False,21.0,12.0,10.0,1.0,11.0,14.0,1.0,7.0,,6.0,1.0,1.0,1.0,90.0,27.0,6.6,10.0,0,,,1.0,,1.0,,,,,,,,,,G,190.0,,,,,,,,,,,,,,,,1.0
12189917,away,Carolina Core FC,Christian Díaz,Christian Díaz,christian-diaz,C. Díaz,44,5,,1469010,EUR,1143676800,D,44,44,False,39.0,28.0,3.0,,17.0,22.0,11.0,17.0,4.0,2.0,,,,90.0,54.0,6.5,15.0,0,,,2.0,2.0,5.0,2.0,,,,,3.0,2.0,4.0,,D,,,,,,,,,,,,,,,,,
12189917,away,Carolina Core FC,Ibrahim Janis Covi,Ibrahim Janis Covi,ibrahim-janis-covi,I. J. Covi,,6,M,1416072,EUR,953596800,D,20,20,False,53.0,47.0,9.0,5.0,33.0,36.0,14.0,17.0,6.0,8.0,,,,90.0,72.0,7.1,6.0,1,,3.0,1.0,4.0,3.0,,,,,1.0,2.0,1.0,,1.0,D,192.0,1.0,1.0,,,2.0,,,,,,,,,,,
12189917,away,Carolina Core FC,Kai Thomas,Kai,thomas-kai,K. Thomas,4,1,M,1036294,EUR,1031702400,D,4,4,False,47.0,42.0,5.0,2.0,28.0,31.0,14.0,16.0,4.0,5.0,,,,90.0,61.0,6.6,7.0,0,,2.0,1.0,5.0,5.0,3.0,,,,1.0,1.0,1.0,1.0,,D,182.0,,,3.0,,,,,Thomas,,,,,,,,
12189917,away,Carolina Core FC,Jeremiah White IV,Jeremiah White,jeremiah-white,J. White,15,22,M,1213512,EUR,1170806400,M,18,18,False,26.0,18.0,2.0,1.0,8.0,14.0,10.0,12.0,,4.0,,,,69.0,47.0,7.0,13.0,1,,1.0,,3.0,5.0,,1.0,1.0,,1.0,3.0,2.0,1.0,,D,,,,2.0,,,,,,,,,1.0,1.0,,,
12189917,away,Carolina Core FC,Jacob Evans,Jacob Evans,jacob-evans,J. Evans,,13,,1824304,EUR,881884800,M,10,10,False,61.0,57.0,7.0,7.0,23.0,23.0,36.0,42.0,1.0,7.0,,,,90.0,84.0,8.1,10.0,2,4.0,,1.0,5.0,9.0,,1.0,2.0,1.0,,5.0,3.0,2.0,3.0,M,180.0,,,2.0,True,,4.0,2.0,,,1.0,,,1.0,,,
12189917,away,Carolina Core FC,Facundo Canete,Facundo Canete,facundo-canete,F. Canete,24,4,M,1201261,EUR,951177600,M,24,24,False,58.0,46.0,8.0,5.0,20.0,23.0,26.0,37.0,1.0,7.0,,,,90.0,74.0,7.0,17.0,1,2.0,,3.0,7.0,6.0,2.0,2.0,,,,3.0,2.0,1.0,3.0,M,,1.0,,,,,1.0,,,,,,,,,,
12189917,away,Carolina Core FC,Luis Lugo,Luis Lugo,luis-lugo,L. Lugo,,3,,1807953,EUR,1094169600,M,11,11,False,13.0,13.0,3.0,3.0,3.0,3.0,10.0,11.0,1.0,,,,,45.0,25.0,7.2,2.0,1,1.0,,,1.0,7.0,,1.0,,,,6.0,5.0,,,M,,1.0,,1.0,,,,,,,,,,,,,
12189917,away,Carolina Core FC,Cristian Gregoire,Cristian Gregoire,cristian-gregoire,C. Gregoire,,3,,1807977,EUR,1112918400,M,22,22,False,29.0,23.0,5.0,4.0,8.0,12.0,16.0,22.0,,2.0,,,,55.0,47.0,7.0,12.0,0,5.0,,,1.0,4.0,,1.0,1.0,1.0,,2.0,1.0,1.0,,M,,,,1.0,,,1.0,1.0,,,,,,,,,
12189917,away,Carolina Core FC,David Polanco,,david-polanco,D. Polanco,9,7,M,982797,EUR,918518400,F,15,15,False,18.0,16.0,2.0,1.0,5.0,5.0,11.0,13.0,3.0,1.0,,,,90.0,30.0,6.8,7.0,4,,1.0,1.0,6.0,1.0,1.0,1.0,,,,,,4.0,3.0,F,183.0,2.0,,,,,,,,,1.0,,,1.0,,,
12189917,away,Carolina Core FC,Papa Ndoye,,papa-ndoye,P. Ndoye,,2,M,1489936,EUR,928022400,F,9,9,False,23.0,16.0,1.0,,2.0,3.0,15.0,22.0,,1.0,,,,84.0,41.0,7.9,14.0,4,2.0,3.0,1.0,4.0,6.0,,,3.0,2.0,1.0,2.0,1.0,5.0,,F,,2.0,,1.0,,,2.0,1.0,,,,,,2.0,1.0,,
12189917,away,Carolina Core FC,Joshua Rodríguez,Joshua Rodríguez,joshua-rodriguez,J. Rodríguez,13,20,,1807956,EUR,1090368000,F,13,13,True,10.0,6.0,1.0,,2.0,3.0,4.0,9.0,,2.0,,,,45.0,19.0,7.7,8.0,1,2.0,,1.0,1.0,4.0,,1.0,,,1.0,,,1.0,,F,182.0,,,3.0,,,,,,,,,1.0,1.0,1.0,1.0,
12189917,away,Carolina Core FC,Yekeson Subah,Yekeson Subah,subah-yekeson,Y. Subah,,2,M,1120196,EUR,1076630400,F,7,7,True,10.0,8.0,1.0,1.0,2.0,2.0,6.0,8.0,,,,,,35.0,21.0,6.5,8.0,0,,2.0,1.0,7.0,3.0,,1.0,3.0,,,,,2.0,1.0,F,180.0,,,2.0,,,1.0,,,,,,,,,,
12189917,away,Carolina Core FC,Jathan Juarez,Jathan Juarez,jathan-juarez,J. Juarez,14,1,,1471019,EUR,1040688000,D,14,14,True,9.0,7.0,,,2.0,2.0,6.0,10.0,2.0,1.0,,,,21.0,20.0,7.0,6.0,1,3.0,,,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,M,,,,,,,1.0,1.0,,,,,,1.0,,,
12189917,away,Carolina Core FC,Jesus Orejuela,Jesus Orejuela,jesus-orejuela,J. Orejuela,,7,,1807959,EUR,1124841600,M,8,8,True,4.0,2.0,1.0,,1.0,1.0,2.0,4.0,,1.0,,,,14.0,5.0,6.5,2.0,0,1.0,,,,,,,,,,,,,,M,173.0,,,,,,,1.0,,,,,,,,,
12189917,away,Carolina Core FC,Alexander Sutton,,alexander-sutton,A. Sutton,,2,M,1485342,EUR,959299200,G,99,99,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,G,188.0,,,,,,,,,,,,,,,,
12189917,away,Carolina Core FC,Carlos Díaz,Carlos Díaz,carlos-diaz,C. Díaz,72,6,,1807978,EUR,1123545600,F,17,17,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,D,180.0,,,,,,,,,,,,,,,,
12189917,away,Carolina Core FC,Angel Aguas,Angel Aguas,angel-aguas,A. Aguas,31,4,,1807936,EUR,1048032000,D,5,5,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,
