match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_fouls,stat_keyPass,captain,stat_goalAssist,stat_shotOffTarget,stat_outfielderBlock,stat_totalTackle,stat_onTargetScoringAttempt,stat_goals,stat_wonTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_totalCross,stat_accurateCross,stat_totalOffside,stat_bigChanceMissed,stat_hitWoodwork
11401863,home,FC Volendam,Mio Backhaus,Mio Backhaus,,mio-backhaus,M. Backhaus,G,30,194.0,1073,M,1083390,EUR,1082073600,G,1,1,False,33.0,25.0,10.0,3.0,22.0,26.0,3.0,7.0,1.0,8.0,1.0,3.0,3.0,2.0,2.0,90.0,40.0,6.6,8.0,0.0,0.0,0.00315849,0,-0.3332,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11401863,home,FC Volendam,Brian Plat,,,brian-plat,B. Plat,D,4,191.0,60,M,980673,EUR,954892800,D,3,3,False,18.0,11.0,1.0,,2.0,3.0,9.0,15.0,4.0,2.0,1.0,,,,,90.0,36.0,6.7,8.0,0.024,0.0,0.384214,1,,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,
11401863,home,FC Volendam,Damon Mirani,,,damon-mirani,D. Mirani,D,4,182.0,56,M,318575,EUR,831945600,D,4,4,False,59.0,50.0,6.0,4.0,30.0,31.0,20.0,28.0,6.0,2.0,,,,,,90.0,73.0,8.1,10.0,0.2507,0.0,0.144618,2,,2.0,5.0,2.0,,,,,1.0,,6.0,,,3.0,True,1.0,2.0,2.0,1.0,,,,,,,,,,
11401863,home,FC Volendam,Benaissa Benamar,,,benaissa-benamar,B. Benamar,D,5,191.0,226,M,970791,EUR,860457600,D,6,6,False,74.0,66.0,8.0,6.0,51.0,56.0,15.0,18.0,3.0,6.0,,,,,,90.0,85.0,7.8,8.0,1.0226,1.5286,0.00778811,3,,1.0,3.0,2.0,,,,,,1.0,2.0,,1.0,,,,,2.0,,2.0,1.0,,,,,,,,
11401863,home,FC Volendam,Josh Flint,,,josh-flint,J. Flint,D,28,186.0,47,M,966460,EUR,971395200,D,28,28,False,44.0,33.0,4.0,2.0,18.0,23.0,15.0,21.0,9.0,5.0,,,,,,90.0,69.0,7.0,20.0,0.0,0.0,0.383806,0,,,5.0,3.0,1.0,,2.0,1.0,,,2.0,2.0,1.0,5.0,,,,,3.0,,,1.0,1.0,1.0,,,,,
11401863,home,FC Volendam,Milan de Haan,Milan de Haan,,milan-de-haan,M. d. Haan,M,8,,32,M,1120949,EUR,1069286400,M,36,36,False,42.0,33.0,7.0,3.0,17.0,18.0,16.0,25.0,8.0,7.0,1.0,,,,,90.0,58.0,6.9,17.0,0.0063,0.0,0.0205926,1,,,1.0,7.0,2.0,4.0,2.0,2.0,,,,,1.0,1.0,,,1.0,,4.0,,,3.0,,2.0,1.0,,,,
11401863,home,FC Volendam,Calvin Twigt,Calvin Twigt,,calvin-twigt,C. Twigt,M,8,183.0,95,M,1084944,EUR,1043884800,M,17,17,False,33.0,28.0,2.0,1.0,15.0,19.0,15.0,19.0,7.0,5.0,3.0,,,,,90.0,55.0,7.0,14.0,0.1009,0.0135,0.123053,2,,1.0,2.0,5.0,1.0,2.0,1.0,1.0,,,2.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,,,,3.0,5.0,2.0,,,
11401863,home,FC Volendam,Bilal Ould-Chikh,,,bilal-ould-chikh,B. Ould-Chikh,M,77,170.0,1226,M,544532,EUR,870048000,M,11,11,False,23.0,19.0,2.0,1.0,6.0,7.0,15.0,26.0,10.0,7.0,2.0,,,,,89.0,48.0,7.3,17.0,0.0,0.0,0.102512,0,,,,4.0,1.0,1.0,7.0,6.0,,,,,1.0,2.0,,,,,2.0,,,2.0,,2.0,10.0,2.0,2.0,,
11401863,home,FC Volendam,Joey Antonioli,,,joey-antonioli,J. Antonioli,M,37,,11,M,1046724,EUR,1071360000,M,37,37,False,10.0,8.0,1.0,,2.0,3.0,6.0,7.0,,,,,,,,64.0,14.0,6.2,4.0,0.0,0.0,0.0220291,0,,2.0,,5.0,,,,,,,,,4.0,,,,,,,,,,,1.0,,,,,
11401863,home,FC Volendam,Garang Kuol,Garang Kuol,,garang-kuol,G. Kuol,F,36,175.0,1238,M,1169124,EUR,1095120000,M,14,14,False,17.0,13.0,3.0,1.0,7.0,7.0,6.0,10.0,3.0,8.0,3.0,,,,,72.0,27.0,6.2,8.0,0.0201,0.0,0.00929174,1,,,,8.0,1.0,2.0,1.0,,,1.0,,,4.0,,,,,,,,,,,1.0,,,1.0,,
