match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_progressiveBallCarriesCount,stat_keyPass,stat_totalShots,stat_goalsPrevented,captain,stat_aerialLost,stat_duelLost,stat_totalContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_fouls,stat_totalCross,stat_shotOffTarget,stat_unsuccessfulTouch,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_dispossessed,stat_accurateCross,stat_wonContest,stat_blockedScoringAttempt,player_sofascoreId,stat_bigChanceCreated,player_firstName,player_lastName,stat_challengeLost,stat_bigChanceMissed,stat_totalOffside
13472753,home,Atlético Mineiro,Everson,everson,Everson,G,22,193,2202,M,870748,EUR,648604800,G,22,22,False,40.0,14.0,36.0,10.0,0.0,5.0,6.0,9.0,34.0,1.0,2.0,2.0,11.0,2.0,2.0,3.0,5.0,1.0,1.0,1.0,90.0,53.0,8.2,26.0,0.00118565,14.892430414499,3.0,5.9546398194646,0.0,1.0,0,0.6477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472753,home,Atlético Mineiro,Lyanco,lyanco,Lyanco,D,4,187,2874,M,797893,EUR,854755200,D,4,4,False,20.0,16.0,5.0,1.0,0.0,8.0,9.0,8.0,11.0,1.0,2.0,11.0,1.0,,,,,,,,90.0,38.0,7.3,5.0,0.0038532,58.261153245851,8.0,19.695753706693,0.0,,0,,True,1.0,2.0,1.0,1.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
13472753,home,Atlético Mineiro,Vitor Hugo,vitor-hugo,V. Hugo,D,14,187,899,M,794838,EUR,674697600,D,14,14,False,27.0,24.0,2.0,1.0,0.0,20.0,20.0,4.0,7.0,2.0,3.0,9.0,,,,,,,,,90.0,41.0,8.0,3.0,0.00169261,39.171778954807,7.0,19.194017579463,0.0,,1,,,3.0,3.0,,2.0,,1.0,,1.0,1.0,0.3328,0.3847,,,,,,,,,,,,,,,,,
13472753,home,Atlético Mineiro,Junior Alonso,junior-alonso,J. Alonso,D,6,185,1792,M,333275,EUR,729216000,D,6,6,False,24.0,20.0,7.0,3.0,0.0,12.0,13.0,8.0,11.0,,1.0,2.0,2.0,,,,,,,,44.0,31.0,5.9,4.0,0.00630855,61.775838195162,10.0,20.209489743512,0.0,,0,,,,2.0,,1.0,2.0,1.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,
13472753,home,Atlético Mineiro,Natanael,natanael,Natanael,D,2,172,1029,M,1046805,EUR,1010188800,M,2,2,False,16.0,13.0,2.0,,0.0,4.0,4.0,9.0,12.0,1.0,3.0,3.0,3.0,,,,,,,,90.0,38.0,6.9,9.0,0.0103571,53.701935232568,7.0,40.52938912702,1.0,,1,,,2.0,4.0,2.0,1.0,1.0,2.0,2.0,,,0.0261,,,1.0,1.0,1.0,11.167219647834,12.356378757549,,,,,,,,,,,
13472753,home,Atlético Mineiro,Alan Franco,alan-franco,A. Franco,M,21,174,3281,M,822729,EUR,903657600,M,21,21,False,17.0,12.0,1.0,1.0,0.0,10.0,12.0,2.0,5.0,1.0,3.0,3.0,5.0,,,,,,,,90.0,31.0,6.6,7.0,0.00122438,16.001672249085,3.0,0.16840673013207,0.0,,0,,,,1.0,,,,2.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,
13472753,home,Atlético Mineiro,Igor Gomes,igor-gomes,I. Gomes,M,17,182,1159,M,913598,EUR,921628800,M,17,17,False,28.0,21.0,5.0,3.0,0.0,10.0,11.0,11.0,17.0,1.0,3.0,,10.0,2.0,,,,,,,63.0,39.0,6.9,12.0,0.275885,166.407571607,15.0,101.24599627501,3.0,3.0,0,,,,5.0,3.0,2.0,,,,,,,,1.0,,,1.0,41.084456121155,80.551905448496,1.0,,,,,,,,,,
13472753,home,Atlético Mineiro,Caio Paulista,caio-paulista,C. Paulista,D,38,184,1649,M,931591,EUR,894844800,M,38,38,False,23.0,19.0,1.0,1.0,0.0,9.0,10.0,10.0,13.0,,2.0,1.0,4.0,,,,,,,,73.0,38.0,7.0,10.0,0.00855757,80.670179061982,7.0,61.342331495858,0.0,1.0,1,,,,2.0,1.0,,,2.0,2.0,1.0,,0.1112,0.1879,,2.0,,2.0,,,1.0,,,,,,,,,,
13472753,home,Atlético Mineiro,Bernard,bernard,Bernard,M,11,164,2389,M,241488,EUR,715910400,F,11,11,False,18.0,17.0,,,0.0,3.0,3.0,14.0,15.0,,2.0,,2.0,,,,,,,,44.0,26.0,7.0,4.0,0.0426463,66.880780599323,7.0,47.906706604983,2.0,3.0,1,,,,3.0,2.0,,,1.0,,,,0.0992,,2.0,3.0,,,20.242672212659,35.790988001965,,1.0,1.0,1.0,,,,,,,
13472753,home,Atlético Mineiro,Rony,rony,Rony,F,11,167,5631,M,835260,EUR,800150400,F,33,33,False,14.0,13.0,,,1.0,7.0,7.0,6.0,7.0,4.0,11.0,2.0,2.0,4.0,,,,,,,73.0,37.0,7.7,6.0,0.266072,62.294531374249,6.0,36.090274009847,1.0,1.0,2,,,4.0,7.0,1.0,1.0,,3.0,2.0,1.0,,0.0959,0.0607,1.0,2.0,,1.0,29.394765650445,29.649375187346,1.0,,,1.0,Rony,1.0,,,,,
