match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_goalAssist,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_bigChanceCreated,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,stat_aerialWon,stat_dispossessed,stat_interceptionWon,stat_totalOffside,player_firstName,player_lastName,stat_challengeLost,stat_penaltyWon,stat_totalContest,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_wonContest,stat_goals,captain,stat_bigChanceMissed,stat_goodHighClaim,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_outfielderBlock,stat_penaltyConceded
11450101,home,Fenerbahçe,Dominik Livaković,dominik-livakovic,D. Livaković,G,40,186,12815,M,Livakovic40,190419,EUR,789609600,G,40,40,False,17.0,13.0,5.0,1.0,13.0,15.0,2.0,1.0,7.0,1.0,1.0,90.0,25.0,6.0,5.0,6.246e-05,0,-1.4109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450101,home,Fenerbahçe,Mert Müldür,mert-muldur,M. Müldür,D,18,184,2870,M,,836683,EUR,923097600,D,16,16,False,50.0,45.0,3.0,3.0,15.0,16.0,38.0,,2.0,,,90.0,72.0,7.3,11.0,0.348943,2,,1.0,31.0,4.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0907,3.0,,,,,,,,,,,,,,,,,,,,,
11450101,home,Fenerbahçe,Çağlar Söyüncü,caglar-soyuncu,Ç. Söyüncü,D,4,187,4168,M,soyuncu_caglar,758608,EUR,832809600,D,2,2,False,89.0,78.0,15.0,10.0,42.0,46.0,43.0,1.0,3.0,,,90.0,96.0,6.8,12.0,0.173679,0,,,36.0,,,2.0,6.0,3.0,,,,,,,1.0,3.0,,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,
11450101,home,Fenerbahçe,Alexander Djiku,alexander-djiku,A. Djiku,D,6,182,4708,M,alex_djiku,289977,EUR,776390400,D,6,6,False,91.0,82.0,8.0,3.0,52.0,54.0,37.0,,5.0,,,90.0,100.0,7.6,11.0,0.0156471,0,,,30.0,,,2.0,3.0,10.0,,,,1.0,1.0,1.0,2.0,,,2.0,7.0,,2.0,,,,1.0,1.0,,,,,,,,,,,,,
11450101,home,Fenerbahçe,Ferdi Kadıoğlu,ferdi-kadioglu,F. Kadıoğlu,D,24,174,20994,M,ferdikadioglu,825844,EUR,939254400,D,7,7,False,71.0,60.0,7.0,7.0,26.0,29.0,44.0,1.0,9.0,,,90.0,88.0,7.4,15.0,0.166169,0,,,34.0,2.0,,,2.0,2.0,,,,1.0,1.0,,1.0,1.0,,1.0,,,3.0,,,,,,1.0,,,,,,,,,,,,
11450101,home,Fenerbahçe,Rade Krunić,rade-krunic,R. Krunić,M,33,184,2497,M,,155449,EUR,749952000,M,33,33,False,51.0,43.0,1.0,,12.0,14.0,37.0,,5.0,,,90.0,67.0,7.5,11.0,0.145647,2,,,31.0,,,1.0,2.0,7.0,,,1.0,2.0,2.0,3.0,3.0,1.0,0.0706,2.0,2.0,,1.0,,,,,,,1.0,1.0,,,,,,,,,,
11450101,home,Fenerbahçe,İsmail Yüksek,ismail-yuksek,İ. Yüksek,M,5,183,3147,M,,952600,EUR,917308800,M,5,5,False,37.0,28.0,2.0,1.0,6.0,7.0,30.0,,5.0,,,72.0,52.0,6.9,15.0,0.0509047,3,,,22.0,,,1.0,4.0,4.0,,,3.0,1.0,1.0,4.0,,1.0,0.1018,1.0,2.0,1.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,
11450101,home,Fenerbahçe,Cengiz Ünder,cengiz-under,C. Ünder,F,11,173,4739,M,cengizunder,758876,EUR,868838400,M,20,20,False,19.0,16.0,1.0,,2.0,2.0,23.0,,3.0,,,45.0,42.0,7.0,12.0,0.18051,5,,,15.0,6.0,1.0,1.0,3.0,4.0,,1.0,3.0,,,3.0,3.0,,0.2553,3.0,,1.0,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,
11450101,home,Fenerbahçe,Sebastian Szymański,sebastian-szymanski,S. Szymański,M,17,174,10874,M,szymanski_11,847983,EUR,926294400,M,53,53,False,36.0,27.0,5.0,4.0,3.0,4.0,35.0,,7.0,,,90.0,51.0,7.3,14.0,0.170314,2,,,24.0,3.0,,2.0,5.0,4.0,,1.0,,1.0,1.0,,3.0,1.0,0.0925,1.0,,1.0,3.0,1.0,,,1.0,,,1.0,,,,,,,,,,,
11450101,home,Fenerbahçe,Dušan Tadić,dusan-tadic,D. Tadić,F,10,181,12216,M,dusantadic,38560,EUR,595987200,M,10,10,False,50.0,38.0,1.0,1.0,5.0,5.0,52.0,,7.0,,,90.0,77.0,8.1,20.0,0.217035,3,,,37.0,7.0,4.0,3.0,7.0,6.0,,1.0,,1.0,1.0,2.0,4.0,1.0,0.8801,2.0,1.0,2.0,,1.0,,,1.0,,,2.0,,,1.0,,,,,,,,
