match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_outfielderBlock,stat_unsuccessfulTouch,stat_interceptionWon,stat_shotOffTarget,stat_blockedScoringAttempt,stat_expectedGoals,captain,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_totalContest,stat_wonContest,stat_goalAssist,stat_totalOffside,stat_goodHighClaim,player_sofascoreId
11396332,home,1. FSV Mainz 05,Robin Zentner,robin-zentner,R. Zentner,G,27,193,298,M,174345,EUR,783302400,G,27,27,False,35.0,27.0,17.0,9.0,20.0,23.0,7.0,12.0,1.0,2.0,6.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,90.0,46.0,7.1,8.0,0.00192427,0,-0.5259,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396332,home,1. FSV Mainz 05,Edimilson Fernandes,edimilson-fernandes,E. Fernandes,M,6,190,345,M,330099,EUR,829526400,D,20,20,False,68.0,59.0,14.0,8.0,38.0,41.0,22.0,32.0,1.0,6.0,2.0,,,,,,,,90.0,81.0,6.8,13.0,0.0633267,0,,,,5.0,1.0,4.0,1.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,
11396332,home,1. FSV Mainz 05,Sepp van den Berg,sepp-van-den-berg,S. van den Berg,D,4,192,2107,M,924378,EUR,1008806400,D,3,3,False,57.0,51.0,2.0,1.0,39.0,42.0,12.0,15.0,10.0,6.0,5.0,,3.0,1.0,,,,,90.0,71.0,7.1,7.0,0.00794502,0,,,,,,4.0,,,2.0,,2.0,7.0,1.0,1.0,,,,,,,,,,,,,,,
11396332,home,1. FSV Mainz 05,Anthony Caci,anthony-caci,A. Caci,M,19,184,357,M,846471,EUR,867715200,D,19,19,False,89.0,75.0,16.0,10.0,46.0,49.0,29.0,41.0,1.0,1.0,5.0,,,,,,,,90.0,98.0,6.8,17.0,0.0398469,0,,,,1.0,,5.0,1.0,,2.0,1.0,2.0,1.0,,,2.0,,,,,,,,,,,,,,
11396332,home,1. FSV Mainz 05,Dominik Kohr,dominik-kohr,D. Kohr,D,31,183,342,M,152206,EUR,759974400,M,31,31,False,30.0,20.0,2.0,1.0,11.0,14.0,10.0,17.0,3.0,2.0,2.0,,2.0,1.0,,,,,90.0,42.0,6.7,10.0,0.110034,2,,,,1.0,1.0,7.0,1.0,1.0,4.0,1.0,2.0,,,,1.0,1.0,1.0,0.0678,,,,,,,,,,,
11396332,home,1. FSV Mainz 05,Silvan Widmer,silvan-widmer,S. Widmer,M,30,182,532,M,157377,EUR,731289600,M,30,30,False,43.0,31.0,2.0,1.0,13.0,16.0,20.0,35.0,1.0,2.0,4.0,,,,,,,,90.0,74.0,7.3,24.0,0.0976452,2,,,,8.0,2.0,7.0,3.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,,0.1295,True,2.0,1.0,1.0,0.403,,,,,,
11396332,home,1. FSV Mainz 05,Tom Krauß,tom-krauss,T. Krauß,M,5,182,398,M,930272,EUR,993168000,M,14,14,False,27.0,18.0,2.0,2.0,5.0,7.0,14.0,21.0,5.0,,5.0,,1.0,1.0,,,,,78.0,38.0,6.6,12.0,0.018346,2,,,,1.0,1.0,6.0,2.0,2.0,1.0,,1.0,1.0,,1.0,,2.0,,0.0568,,1.0,,,,2.0,1.0,,,,
11396332,home,1. FSV Mainz 05,Matondo-Merveille Papela,matondo-merveille-papela,M. Papela,M,21,174,63,M,930279,EUR,979776000,M,24,24,False,10.0,7.0,,,2.0,3.0,5.0,8.0,2.0,,1.0,,2.0,1.0,,,,,62.0,26.0,6.1,12.0,0.00582712,1,,,,1.0,,9.0,,,3.0,1.0,,,,2.0,,,1.0,0.0418,,6.0,,,,,,,,,
11396332,home,1. FSV Mainz 05,Phillipp Mwene,phillipp-mwene,P. Mwene,M,2,170,470,M,138126,EUR,759801600,M,2,2,False,45.0,30.0,7.0,2.0,13.0,19.0,18.0,33.0,1.0,,5.0,,1.0,,,,,,88.0,70.0,6.7,26.0,0.0592375,1,,,,7.0,1.0,5.0,,,3.0,3.0,,,,1.0,1.0,,1.0,0.0198,,,,,,2.0,,1.0,,,
11396332,home,1. FSV Mainz 05,Karim Onisiwo,karim-onisiwo,K. Onisiwo,F,9,188,465,M,165413,EUR,700790400,F,9,9,False,22.0,20.0,1.0,1.0,4.0,5.0,17.0,20.0,9.0,,3.0,,,,,,,,90.0,38.0,7.1,8.0,0.024334,1,,,,3.0,1.0,6.0,,6.0,,,3.0,1.0,,1.0,,1.0,,0.0251,,1.0,,,,4.0,2.0,,1.0,,
