match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_penaltyConceded,stat_fouls,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_interceptionWon,stat_unsuccessfulTouch,stat_accurateCross,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_keyPass,stat_challengeLost,stat_shotOffTarget,stat_wasFouled,player_firstName,player_lastName,stat_dispossessed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_bigChanceMissed,stat_outfielderBlock,player_sofascoreId,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot,stat_goals,stat_penaltyWon
12514110,home,SC Farense,Ricardo Velho,ricardo-velho,R. Velho,G,24,188,499,M,845792,EUR,903571200,G,33,33,False,True,22.0,16.0,12.0,6.0,0.0,10.0,12.0,6.0,10.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,2.0,1.0,2.0,1.0,90.0,28.0,6.7,6.0,0.00597525,0,0.315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514110,home,SC Farense,Artur Jorge,artur-jorge,A. Jorge,D,44,186,53,M,310800,EUR,776822400,D,4,4,False,,33.0,28.0,6.0,2.0,0.0,22.0,22.0,6.0,12.0,1.0,,2.0,,3.0,3.0,,1.0,,,,,83.0,44.0,6.6,9.0,0.00221165,0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514110,home,SC Farense,Claudio Falcão,claudio-falcao,C. Falcão,D,29,187,132,M,845699,EUR,773193600,D,29,29,False,,32.0,22.0,8.0,4.0,0.0,11.0,13.0,12.0,20.0,6.0,3.0,8.0,7.0,4.0,6.0,,2.0,,,,,90.0,45.0,7.2,10.0,0.0199265,1,,1.0,2.0,,1.0,1.0,1.0,1.0,1.0,3.0,3.0,0.029,1.0,,,,,,,,,,,,,,,,,,
12514110,home,SC Farense,Lucas Áfrico,lucas-africo,L. Áfrico,D,40,188,120,M,939792,EUR,791942400,D,44,44,False,,34.0,25.0,8.0,7.0,0.0,19.0,19.0,6.0,15.0,5.0,4.0,11.0,6.0,2.0,2.0,,5.0,,,,,90.0,41.0,6.7,10.0,0.0114584,1,,,,,,,,,,1.0,1.0,0.0291,,1.0,1.0,1.0,,,,,,,,,,,,,,,
12514110,home,SC Farense,Pastor,pastor,Pastor,D,2,176,138,M,1046354,EUR,951004800,M,28,28,False,,26.0,20.0,4.0,1.0,0.0,6.0,7.0,17.0,23.0,,1.0,3.0,3.0,,3.0,,,,,,,68.0,37.0,6.9,8.0,0.0825012,0,,4.0,1.0,1.0,3.0,1.0,1.0,,,,,,2.0,3.0,,1.0,,,,,,,,,,,,,,,
12514110,home,SC Farense,Miguel Menino,menino-miguel,M. Menino,M,8,181,78,M,1163100,EUR,1042156800,M,93,93,False,,26.0,15.0,4.0,2.0,0.0,2.0,5.0,13.0,22.0,2.0,1.0,8.0,6.0,,2.0,,2.0,,,,,90.0,47.0,7.0,19.0,0.0139514,3,,1.0,3.0,4.0,,2.0,,1.0,,3.0,1.0,0.1826,1.0,1.0,,2.0,,,1.0,2.0,0.2896,,,,,,,,,,
12514110,home,SC Farense,Zé Carlos,ze-carlos,Z. Carlos,M,6,172,109,M,1138915,EUR,1004400000,M,8,8,False,,35.0,27.0,3.0,2.0,0.0,11.0,14.0,16.0,21.0,1.0,2.0,4.0,6.0,1.0,4.0,,,,,,,74.0,48.0,7.1,10.0,0.0492664,1,,,,,,2.0,2.0,,,,,0.0067,,1.0,1.0,2.0,Zé Carlos,,2.0,,,,,,,,,,,,
12514110,home,SC Farense,Derick Poloni,derick-poloni,D. Poloni,D,6,173,38,M,892169,EUR,746841600,M,31,31,False,,26.0,16.0,7.0,2.0,0.0,7.0,11.0,11.0,23.0,,2.0,4.0,4.0,4.0,9.0,,1.0,,,,,90.0,66.0,7.3,25.0,0.100686,1,,8.0,2.0,,2.0,4.0,2.0,,,,,0.019,3.0,1.0,,,,,,1.0,0.2046,1.0,,,,,,,,,
12514110,home,SC Farense,Rony Lopes,rony-lopes,R. Lopes,M,16,174,626,M,190147,EUR,820108800,F,20,20,False,,22.0,19.0,4.0,2.0,0.0,5.0,6.0,17.0,21.0,,,1.0,2.0,,3.0,,1.0,,,,,68.0,40.0,7.4,7.0,0.278451,2,,5.0,1.0,2.0,3.0,,,1.0,,1.0,1.0,0.0304,2.0,,1.0,1.0,,,,,,1.0,,,,,,,,,
12514110,home,SC Farense,Tomané,tomane,Tomané,F,7,185,176,M,126076,EUR,719798400,F,9,9,False,,30.0,18.0,2.0,1.0,0.0,5.0,6.0,13.0,25.0,9.0,5.0,15.0,7.0,,3.0,,6.0,,,,,90.0,50.0,6.9,20.0,0.0316726,3,,1.0,,5.0,,1.0,,1.0,,1.0,1.0,0.1231,2.0,1.0,2.0,1.0,,,1.0,,,,,,,,,,,,
