match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelWon,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,player_firstName,player_lastName,stat_aerialWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_goalAssist,stat_bigChanceCreated,stat_shotOffTarget,stat_unsuccessfulTouch,stat_keyPass,stat_totalCross,stat_accurateCross,stat_wonTackle,captain,stat_totalOffside,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot,player_sofascoreId,stat_hitWoodwork
11408364,home,Casa Pia,Ricardo Batista,ricardo-batista,R. Batista,G,33,193,111,M,9668,EUR,532656000,G,33,33,False,42.0,30.0,18.0,7.0,28.0,33.0,2.0,9.0,1.0,1.0,2.0,11.0,1.0,3.0,3.0,2.0,90.0,55.0,6.8,12.0,0.00137415,0,0.00099999999999989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11408364,home,Casa Pia,João Nunes,joao-nunes,J. Nunes,D,30,188,83,M,190135,EUR,816739200,D,3,3,False,50.0,41.0,10.0,5.0,29.0,33.0,12.0,17.0,5.0,1.0,4.0,2.0,,,,,90.0,63.0,6.7,9.0,0.00644845,1,,3.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0389,,,,,,,,,,,,,,,,,,,,,,,,,,
11408364,home,Casa Pia,Nermin Zolotić,nermin-zolotic,N. Zolotić,D,44,188,74,M,94826,EUR,742003200,D,19,19,False,32.0,28.0,7.0,4.0,18.0,19.0,10.0,13.0,5.0,,1.0,3.0,,,,,74.0,43.0,6.6,6.0,0.00552008,0,,3.0,4.0,,1.0,1.0,,1.0,,,,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
11408364,home,Casa Pia,Duplexe Tchamba,duplexe-tchamba,D. Tchamba,D,2,191,133,M,891792,EUR,900028800,D,2,2,False,49.0,41.0,6.0,2.0,31.0,33.0,10.0,16.0,9.0,3.0,3.0,4.0,,,,,90.0,61.0,6.6,10.0,0.0593223,2,,3.0,2.0,1.0,,,,3.0,0.1442,,,2.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
11408364,home,Casa Pia,Gaizka Larrazabal,gaizka-larrazabal,G. Larrazabal,M,72,179,117,M,849719,EUR,882316800,M,72,72,False,31.0,21.0,6.0,1.0,10.0,17.0,12.0,19.0,6.0,3.0,4.0,6.0,,,,,90.0,56.0,6.6,19.0,0.013583,0,,1.0,4.0,,3.0,1.0,,1.0,,,,2.0,,2.0,1.0,,,,,2.0,,5.0,1.0,1.0,,,,,,,,,,,
11408364,home,Casa Pia,Neto,neto,Neto,M,8,181,91,M,843358,EUR,683769600,M,8,8,False,27.0,21.0,3.0,2.0,14.0,15.0,7.0,12.0,3.0,,,4.0,,,,,74.0,35.0,6.6,6.0,0.00887781,1,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,0.0154,,,,,1.0,1.0,,,,,,,,,,True,,,,,,,,,,
11408364,home,Casa Pia,Telasco Segovia,telasco-segovia,T. Segovia,M,8,175,5926,M,1106549,EUR,1049241600,M,21,21,False,34.0,29.0,2.0,,14.0,15.0,15.0,19.0,5.0,3.0,1.0,2.0,,,,,90.0,58.0,7.3,10.0,0.0165667,2,,,8.0,1.0,5.0,4.0,1.0,1.0,0.0724,Telasco Segovia,,,,4.0,3.0,1.0,,,1.0,3.0,,,,2.0,,,,,,,,,,,
11408364,home,Casa Pia,Leonardo Lelo,leonardo-lelo,L. Lelo,M,5,175,353,M,1006865,EUR,954374400,M,5,5,False,27.0,17.0,4.0,,10.0,12.0,9.0,23.0,1.0,,2.0,3.0,,,,,90.0,50.0,6.9,19.0,0.160648,0,,,3.0,,2.0,,1.0,,,,,3.0,,1.0,,,,,,2.0,2.0,8.0,2.0,,,1.0,,,,,,,,,
11408364,home,Casa Pia,Nuno Moreira,nuno-moreira,N. Moreira,M,17,173,4313,M,851285,EUR,929491200,F,7,7,False,23.0,18.0,1.0,1.0,6.0,6.0,15.0,24.0,6.0,2.0,1.0,1.0,,,,,82.0,44.0,8.1,11.0,0.11299,1,,3.0,9.0,,,3.0,1.0,,0.0802,,,1.0,1.0,4.0,4.0,,,,,1.0,3.0,7.0,3.0,1.0,,,1.0,1.0,0.3966,,,,,,
11408364,home,Casa Pia,Felippe Cardoso,felippe-cardoso,F. Cardoso,F,70,187,417,M,922616,EUR,907459200,F,30,30,False,5.0,4.0,,,2.0,2.0,2.0,3.0,5.0,,,1.0,,,,,82.0,19.0,6.4,7.0,0.00091148,2,,1.0,7.0,1.0,,1.0,4.0,3.0,0.4006,,,2.0,,1.0,,,,,1.0,5.0,1.0,,,,,3.0,,,,1.0,,,,,
