match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,player_firstName,player_lastName,stat_aerialWon,stat_totalTackle,stat_fouls,stat_accurateCross,stat_aerialLost,stat_wonTackle,stat_totalOffside,stat_challengeLost,stat_bigChanceCreated,stat_shotOffTarget,stat_blockedScoringAttempt,stat_keyPass,captain,stat_unsuccessfulTouch,stat_onTargetScoringAttempt,stat_goals,player_sofascoreId,stat_goalAssist,stat_bigChanceMissed,stat_crossNotClaimed,stat_goodHighClaim
10406696,home,Club Brugge KV,Simon Mignolet,simon-mignolet,S. Mignolet,G,22,193,1240,M,10406,EUR,573609600,G,22,22,False,23.0,13.0,17.0,7.0,8.0,11.0,5.0,12.0,1.0,11.0,4.0,4.0,2.0,2.0,90.0,33.0,7.7,10.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10406696,home,Club Brugge KV,Clinton Mata,clinton-mata,C. Mata,D,22,180,1323,M,152813,EUR,721094400,D,77,77,False,18.0,15.0,2.0,,7.0,8.0,8.0,11.0,,1.0,,,,,42.0,31.0,6.7,6.0,0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10406696,home,Club Brugge KV,Jorne Spileers,jorne-spileers,J. Spileers,D,58,188,885,M,1104897,EUR,1106265600,D,58,58,False,39.0,34.0,4.0,2.0,29.0,30.0,5.0,9.0,3.0,3.0,,,,,90.0,51.0,7.2,5.0,0,,,,,,,2.0,2.0,,Jorne,Spileers,,,,,,,,,,,,,,,,,,,,,
10406696,home,Club Brugge KV,Abakar Sylla,abakar-sylla,A. Sylla,D,4,188,880,M,1170197,EUR,1040774400,D,94,94,False,53.0,50.0,3.0,3.0,39.0,41.0,11.0,12.0,5.0,11.0,,,,,90.0,70.0,7.5,4.0,0,,1.0,3.0,,2.0,1.0,2.0,1.0,,Abakar Sylla,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
10406696,home,Club Brugge KV,Tajon Buchanan,tajon-buchanan,T. Buchanan,M,17,183,7500,M,973290,EUR,918432000,M,17,17,False,17.0,12.0,2.0,,4.0,7.0,9.0,17.0,,6.0,,,,,90.0,39.0,7.3,13.0,0,7.0,4.0,7.0,,4.0,2.0,1.0,1.0,3.0,,,,2.0,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,
10406696,home,Club Brugge KV,Mats Rits,mats-rits,M. Rits,M,23,180,216,M,70961,EUR,742953600,M,26,26,False,18.0,12.0,5.0,1.0,6.0,9.0,6.0,10.0,2.0,4.0,,,,,89.0,30.0,6.5,7.0,0,1.0,5.0,2.0,,,,1.0,1.0,1.0,,,,1.0,,,2.0,,,3.0,,,,,,,,,,,,,
10406696,home,Club Brugge KV,Casper Nielsen,casper-nielsen,C. Nielsen,M,94,182,403,M,247471,EUR,767577600,M,27,27,False,40.0,30.0,6.0,3.0,15.0,18.0,17.0,27.0,1.0,8.0,,,,,90.0,54.0,7.4,13.0,2,5.0,6.0,6.0,,,,,,1.0,,,,5.0,3.0,2.0,,3.0,,3.0,1.0,1.0,1.0,2.0,,,,,,,,,
10406696,home,Club Brugge KV,Hans Vanaken,hans-vanaken,H. Vanaken,M,20,194,2941,M,118085,EUR,714614400,M,20,20,False,38.0,29.0,4.0,4.0,6.0,7.0,23.0,31.0,1.0,6.0,,,,,90.0,53.0,6.6,13.0,1,,8.0,4.0,2.0,,,1.0,5.0,1.0,,,2.0,1.0,2.0,,2.0,,,2.0,,,1.0,1.0,True,1.0,,,,,,,
10406696,home,Club Brugge KV,Bjorn Meijer,bjorn-meijer,B. Meijer,D,14,190,695,M,1047509,EUR,1047945600,M,14,14,False,28.0,25.0,1.0,,13.0,14.0,12.0,18.0,2.0,4.0,,,,,90.0,51.0,7.5,9.0,2,4.0,2.0,2.0,1.0,,,,1.0,1.0,Bjorn Meijer,,1.0,,1.0,,,,,,,1.0,,,,,1.0,1.0,,,,,
10406696,home,Club Brugge KV,Ferran Jutglà,ferran-jutgla,F. Jutglà,F,9,175,3732,M,949962,EUR,917827200,F,9,9,False,29.0,19.0,2.0,2.0,4.0,7.0,15.0,22.0,,4.0,,,,,88.0,44.0,7.6,14.0,3,,5.0,3.0,1.0,1.0,,,4.0,,,,2.0,1.0,,,2.0,,,1.0,,1.0,,1.0,,2.0,2.0,1.0,,,,,
