match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,captain,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_goals,stat_bigChanceCreated,stat_totalOffside,stat_bigChanceMissed,stat_goodHighClaim
14109686,home,Trabzonspor,André Onana,,,andre-onana,A. Onana,G,24,190,53710,M,AndréOnana24,787498,EUR,828403200,G,24,24,False,35.0,30.0,16.0,11.0,0.0,26.0,26.0,4.0,9.0,1.0,6.0,1.0,3.0,4.0,1.0,1.0,90.0,43.0,8.5,6.0,0.00099474,0.7014,0,1.0113,0.15,0.02,0.22,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109686,home,Trabzonspor,Wagner Pina,,,wagner-pina,W. Pina,M,20,180,484,M,,1513625,EUR,1036281600,D,20,20,False,49.0,43.0,1.0,,0.0,29.0,32.0,14.0,17.0,3.0,2.0,,,,,,90.0,76.0,7.6,15.0,0.248615,,0,,0.48,0.1,0.16,,2.0,2.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,
14109686,home,Trabzonspor,Stefan Savić,,,stefan-savic,S. Savić,D,15,186,1710,M,,76265,EUR,663292800,D,15,15,False,74.0,67.0,12.0,6.0,0.0,53.0,56.0,14.0,18.0,3.0,3.0,1.0,,,,,90.0,81.0,7.4,7.0,0.00599156,,0,,0.17,0.11,0.22,,,,,2.0,1.0,1.0,,,5.0,,1.0,,,,,,,True,,,,,,,,,,,,
14109686,home,Trabzonspor,Arseniy Batagov,,,arsenii-batahov,A. Batagov,D,44,185,941,M,,981395,EUR,1015286400,D,44,44,False,76.0,70.0,8.0,5.0,0.0,48.0,49.0,22.0,27.0,,5.0,,,,,,90.0,85.0,7.1,10.0,0.00572173,,0,,0.29,0.16,0.18,,,,1.0,,3.0,,1.0,1.0,3.0,,,,,,2.0,,1.0,,,,,,,,,,,,,
14109686,home,Trabzonspor,Mustafa Eskihellaç,,,mustafa-eskihellac,M. Eskihellaç,D,19,175,571,M,,899069,EUR,862790400,D,19,19,False,48.0,44.0,1.0,1.0,0.0,32.0,33.0,12.0,15.0,8.0,4.0,5.0,,,,,90.0,83.0,8.0,12.0,0.0896817,,3,,0.26,0.36,0.4,,2.0,,2.0,,2.0,,,2.0,5.0,,,1.0,1.0,,3.0,,,,2.0,1.0,1.0,1.0,0.0796,0.1374,-0.09,,,,,
14109686,home,Trabzonspor,Christ Inao Oulaï,Christ Inao Oulaï,,christ-inao-oulai,C. I. Oulaï,M,42,173,9524,M,,1888002,EUR,1144281600,M,42,42,False,33.0,32.0,4.0,3.0,0.0,22.0,22.0,10.0,11.0,8.0,8.0,2.0,,,,,90.0,53.0,7.9,11.0,0.0199325,,1,,-0.17,0.34,-0.09,,4.0,,,,6.0,2.0,1.0,3.0,,,,3.0,1.0,,4.0,3.0,,,3.0,,1.0,,0.0731,0.4323,0.52,1.0,,,,
14109686,home,Trabzonspor,Tim Jabol-Folcarelli,Tim Jabol-Folcarelli,,tim-jabol-folcarelli,T. Jabol-Folcarelli,M,26,187,314,M,,1106446,EUR,944438400,M,26,26,False,47.0,47.0,1.0,1.0,2.0,26.0,26.0,21.0,21.0,4.0,9.0,1.0,,,,,90.0,62.0,7.6,4.0,0.0855963,,0,,0.42,0.11,0.18,,,,,,7.0,1.0,2.0,1.0,,,2.0,3.0,1.0,,1.0,3.0,3.0,,,,,,,,,,1.0,,,
14109686,home,Trabzonspor,Oleksandr Zubkov,,,oleksandr-zubkov,O. Zubkov,M,22,182,1318,M,,353282,EUR,839030400,M,22,22,False,28.0,20.0,6.0,4.0,0.0,9.0,9.0,11.0,19.0,3.0,5.0,,,,,,85.0,41.0,6.9,14.0,0.165063,,1,,0.15,0.43,-0.04,,3.0,1.0,,,4.0,1.0,1.0,2.0,,,,2.0,2.0,,1.0,1.0,2.0,,1.0,,,1.0,0.029,,-0.52,,1.0,,,
14109686,home,Trabzonspor,Felipe Augusto,Felipe Augusto,,felipe-augusto,F. Augusto,F,99,187,1396,M,,1106681,EUR,1077062400,M,99,99,False,11.0,10.0,1.0,1.0,0.0,5.0,5.0,5.0,6.0,2.0,,1.0,,,,,73.0,19.0,7.3,3.0,0.00316527,,1,,-0.26,0.03,0.0,,,,,1.0,4.0,,,1.0,,,,1.0,1.0,,1.0,3.0,,,,,1.0,,0.0843,0.1684,0.51,1.0,,1.0,,
14109686,home,Trabzonspor,Ernest Muçi,,,ernest-muci,E. Muçi,M,10,180,5691,M,ernest_muci,924670,EUR,984960000,M,10,10,False,21.0,17.0,1.0,,0.0,9.0,9.0,8.0,12.0,3.0,2.0,,,,,,72.0,34.0,6.9,10.0,0.330471,,0,,0.35,0.2,0.17,,3.0,2.0,,1.0,4.0,,1.0,2.0,,,,1.0,,,3.0,2.0,2.0,,1.0,,,,,,,,1.0,,,
