match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_goodHighClaim,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,stat_shotValueNormalized,stat_dispossessed,stat_outfielderBlock,stat_wasFouled,player_firstName,player_lastName,captain,stat_wonContest,stat_shotOffTarget,stat_fouls,stat_totalOffside,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_errorLeadToAShot,stat_hitWoodwork,stat_clearanceOffLine
14025117,home,Tottenham Hotspur,Guglielmo Vicario,guglielmo-vicario,G. Vicario,G,1,194,7123,M,guglielmovicario,553606,EUR,844646400,G,1,1,False,21.0,18.0,5.0,2.0,0.0,17.0,17.0,1.0,4.0,1.0,1.0,3.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,90.0,30.0,5.1,3.0,0.00169727,26.436431390437,6.0,19.11,4.83,-0.0006,0,-0.9206,0.03,0.0,-0.52,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025117,home,Tottenham Hotspur,Pedro Porro,pedro-porro,P. Porro,D,23,173,10890,M,pedroporro29,913654,EUR,937180800,D,23,23,False,67.0,55.0,13.0,8.0,0.0,17.0,18.0,38.0,49.0,,3.0,1.0,6.0,,,,,,,90.0,115.0,7.1,29.0,0.425201,274.56774510792,33.0,181.125,21.525,,2,,0.74,0.21,-0.43,,16.0,3.0,3.0,8.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,2.0,0.0572,37.078429515007,2.0,3.0,-0.24,,,,,,,,,,,,,,,,,
14025117,home,Tottenham Hotspur,Kevin Danso,danso-kevin,K. Danso,D,4,190,3440,M,,794953,EUR,906163200,D,4,4,False,90.0,82.0,5.0,,0.0,57.0,58.0,25.0,32.0,8.0,12.0,6.0,6.0,,,,,,,90.0,115.0,7.2,16.0,0.0137244,410.44904854542,46.0,267.33,22.785,,0,,0.22,0.28,-0.07,,2.0,,4.0,5.0,,,,,,3.0,2.0,,,37.262740809767,2.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,
14025117,home,Tottenham Hotspur,Micky van de Ven,micky-van-de-ven,M. van de Ven,D,37,193,12526,M,mickyvdven,998247,EUR,987638400,D,37,37,False,75.0,67.0,7.0,4.0,0.0,44.0,46.0,23.0,29.0,1.0,4.0,2.0,4.0,,,,,,,90.0,86.0,6.5,9.0,0.00641925,263.48320849542,23.0,171.15,42.42,,1,,0.1,0.15,-0.09,,,,4.0,5.0,,1.0,,,2.0,2.0,,1.0,0.0542,85.723198307657,2.0,,-0.1,,1.0,,,,True,1.0,1.0,2.0,,,,,,,,
14025117,home,Tottenham Hotspur,Destiny Udogie,destiny-udogie,D. Udogie,D,13,186,5941,M,udogiethree,983572,EUR,1038441600,D,13,13,False,37.0,33.0,1.0,1.0,0.0,11.0,11.0,22.0,26.0,1.0,2.0,1.0,2.0,,,,,,,85.0,56.0,6.3,10.0,0.0384905,158.55221650757,20.0,89.88,21.105,,1,,0.19,0.09,-0.27,,,,1.0,5.0,,2.0,,1.0,2.0,1.0,1.0,3.0,0.0837,39.178951135241,2.0,2.0,0.03,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,
14025117,home,Tottenham Hotspur,Archie Gray,archie-gray,A. Gray,D,14,187,5627,M,ArchieGray06,1142335,EUR,1142121600,M,14,14,False,31.0,28.0,1.0,,0.0,13.0,13.0,15.0,18.0,,1.0,1.0,5.0,,,,,,,60.0,40.0,6.4,6.0,0.01119,114.2546141044,15.0,32.13,9.765,,1,,-0.05,0.14,-0.11,,1.0,,,3.0,,1.0,,,2.0,,,,0.0203,8.7683113539609,1.0,,-0.09,2.0,,,Archie Gray,,,1.0,1.0,1.0,,,,,,,,
14025117,home,Tottenham Hotspur,João Palhinha,joao-palhinha,J. Palhinha,M,6,189,16491,M,Palhinha,364612,EUR,805248000,M,6,6,False,34.0,30.0,1.0,1.0,0.0,14.0,17.0,16.0,17.0,2.0,4.0,,1.0,,,,,,,60.0,46.0,6.7,7.0,0.0542139,46.60554263067,10.0,-6.195,4.935,,0,,0.07,-0.11,-0.16,,,,,3.0,1.0,2.0,,,4.0,1.0,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,
14025117,home,Tottenham Hotspur,Mohammed Kudus,mohammed-kudus,M. Kudus,M,20,176,89524,M,Kudus,905163,EUR,965174400,M,20,20,False,43.0,39.0,3.0,3.0,0.0,12.0,12.0,27.0,31.0,,2.0,,7.0,,,,,,,90.0,77.0,7.5,29.0,0.0939891,336.5660982515,33.0,127.995,25.305,,1,,0.31,0.33,-0.13,,16.0,2.0,1.0,10.0,,4.0,,,,,,2.0,0.0205,121.67305138943,7.0,2.0,0.54,6.0,,,,,,2.0,,1.0,2.0,1.0,1.0,0.4624,,,,
14025117,home,Tottenham Hotspur,Lucas Bergvall,bergvall-lucas,L. Bergvall,M,15,186,9218,M,lucasbergvall,1391251,EUR,1138838400,M,15,15,False,31.0,30.0,2.0,2.0,1.0,12.0,12.0,18.0,19.0,1.0,4.0,1.0,5.0,,,,,,,77.0,42.0,6.9,1.0,0.0270432,121.87057991612,13.0,27.51,20.055,,1,,0.05,0.11,-0.1,,,,,2.0,,,,,,2.0,,,0.0406,,,1.0,-0.15,,,1.0,,,,,,2.0,,1.0,,,,,,
14025117,home,Tottenham Hotspur,Randal Kolo Muani,randal-kolo-muani,R. K. Muani,F,39,187,23659,M,RKM,871706,EUR,912816000,F,39,39,False,15.0,9.0,,,0.0,1.0,1.0,8.0,14.0,2.0,5.0,1.0,2.0,,,,,,,90.0,35.0,6.1,16.0,0.0168697,62.679786167631,9.0,1.68,15.435,,4,,-0.21,-0.08,0.0,,1.0,,1.0,7.0,,2.0,,1.0,,1.0,,5.0,0.4024,26.58039110005,2.0,,-0.58,3.0,,1.0,,,,1.0,3.0,2.0,,,,,2.0,,,
