match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_crossNotClaimed,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_goalAssist,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,captain,stat_totalContest,stat_outfielderBlock,stat_interceptionWon,stat_aerialLost,stat_shotOffTarget,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_wonContest,player_firstName,player_lastName,stat_totalOffside,player_sofascoreId,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_goals,stat_punches,stat_bigChanceCreated,stat_bigChanceMissed
10438110,home,FC Arouca,Ignacio de Arruabarrena,ignacio-de-arruabarrena,I. d. Arruabarrena,G,12,186,301,M,789933,EUR,853372800,G,12,12,False,27.0,15.0,20.0,8.0,7.0,9.0,8.0,18.0,1.0,9.0,1.0,1.0,5.0,6.0,1.0,1.0,90.0,41.0,8.5,14.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438110,home,FC Arouca,Tiago Esgaio,tiago-esgaio,T. Esgaio,D,28,175,68,M,863637,EUR,807235200,D,28,28,False,24.0,20.0,3.0,,9.0,10.0,11.0,14.0,6.0,2.0,,,,,,,90.0,42.0,7.1,8.0,0,1.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
10438110,home,FC Arouca,João Basso,joao-basso,J. Basso,D,13,189,677,M,850955,EUR,853113600,D,13,13,False,42.0,39.0,4.0,1.0,29.0,30.0,10.0,12.0,3.0,2.0,1.0,,,,,,90.0,58.0,7.0,4.0,0,,2.0,3.0,1.0,6.0,,,,1.0,,True,1.0,1.0,3.0,,,,,,,,,,,,,,,,
10438110,home,FC Arouca,Nino Galović,nino-galovic,N. Galović,D,,184,65,M,161431,EUR,710380800,D,44,44,False,34.0,33.0,2.0,1.0,28.0,28.0,5.0,6.0,3.0,2.0,,,,,,,90.0,42.0,7.1,1.0,1,,3.0,2.0,,3.0,,,,,,,,,3.0,2.0,1.0,,,,,,,,,,,,,,
10438110,home,FC Arouca,Mateus Quaresma,mateus-quaresma,M. Quaresma,D,66,181,70,M,874360,EUR,840672000,D,6,6,False,37.0,29.0,5.0,1.0,14.0,17.0,17.0,24.0,12.0,9.0,2.0,,,,,,90.0,78.0,7.8,18.0,0,,2.0,6.0,1.0,3.0,5.0,4.0,2.0,1.0,3.0,,4.0,1.0,4.0,1.0,,4.0,2.0,2.0,3.0,,,,,,,,,,
10438110,home,FC Arouca,David Simão,david-simao,D. Simão,M,8,183,75,M,54672,EUR,642729600,M,5,5,False,51.0,47.0,8.0,5.0,26.0,27.0,23.0,29.0,5.0,5.0,,,,,,,86.0,67.0,8.0,9.0,0,,1.0,1.0,,,3.0,3.0,2.0,1.0,3.0,,1.0,2.0,,,,5.0,2.0,,1.0,,,,,,,,,,
10438110,home,FC Arouca,Oriol Busquets,oriol-busquets,O. Busquets,M,66,185,483,M,817621,EUR,916790400,M,14,14,False,50.0,43.0,2.0,2.0,22.0,25.0,21.0,26.0,,12.0,,,,,,,90.0,56.0,6.8,8.0,0,,,4.0,1.0,1.0,,,,2.0,,,,2.0,,1.0,,1.0,,,,,,,,,,,,,
10438110,home,FC Arouca,Antony Alves,antony-alves,A. Alves,M,11,178,335,M,1105971,EUR,999907200,M,11,11,False,20.0,11.0,1.0,,2.0,4.0,9.0,18.0,6.0,6.0,1.0,,,,,,90.0,37.0,6.7,16.0,1,,,6.0,1.0,,5.0,3.0,2.0,2.0,1.0,,,,1.0,,1.0,2.0,,3.0,,Antony,,,,,,,,,
10438110,home,FC Arouca,Alan Ruiz,alan-ruiz,A. Ruiz,M,,181,154,M,158255,EUR,745718400,M,10,10,False,46.0,35.0,11.0,7.0,10.0,11.0,25.0,35.0,8.0,4.0,2.0,,,,,,89.0,60.0,6.9,16.0,2,,2.0,11.0,1.0,,1.0,1.0,2.0,3.0,1.0,,4.0,,,4.0,2.0,,,2.0,3.0,,,2.0,,,,,,,
10438110,home,FC Arouca,Morlaye Sylla,morlaye-sylla,M. Sylla,M,2,170,6425,M,822492,EUR,901497600,M,2,2,False,36.0,31.0,2.0,2.0,10.0,11.0,21.0,27.0,4.0,7.0,,,,,,,90.0,51.0,7.0,9.0,2,,1.0,5.0,2.0,2.0,2.0,,1.0,,,,1.0,1.0,,2.0,,2.0,,1.0,1.0,,,,morlayesylla2,2.0,,,,,
