match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAShot,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_jerseyNumber,stat_goalAssist,stat_accurateOppositionHalfPasses,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_bigChanceCreated,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_aerialLost,stat_shotOffTarget,stat_outfielderBlock,stat_totalCross,stat_accurateCross,stat_blockedScoringAttempt,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,captain,stat_totalOffside,player_sofascoreId,stat_bigChanceMissed
11451128,home,Adana Demirspor,Ertaç Özbir,ertac-ozbir,E. Özbir,G,186,92,M,126077,EUR,625276800,G,25,25,False,30.0,24.0,8.0,3.0,24.0,29.0,1.0,11.0,1.0,3.0,4.0,5.0,90.0,47.0,8.1,6.0,0.0,0.0,0.00015218,0,1.2547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11451128,home,Adana Demirspor,Jonas Svensson,jonas-svensson,J. Svensson,D,170,1475,M,98199,EUR,731376000,D,22,22,False,32.0,28.0,4.0,2.0,16.0,17.0,15.0,6.0,,,,,90.0,59.0,8.2,7.0,0.0,0.0,0.597973,0,,71,2.0,12.0,1.0,2.0,5.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,
11451128,home,Adana Demirspor,Andreaw Gravillon,andreaw-gravillon,A. Gravillon,D,188,179,M,827934,EUR,886896000,D,5,5,False,38.0,33.0,5.0,2.0,29.0,30.0,8.0,3.0,,,,,90.0,50.0,7.4,5.0,0.0306,0.0,0.016526,1,,26,,4.0,1.0,5.0,3.0,,,6.0,,2.0,1.0,,,2.0,,,,3.0,1.0,3.0,,,,,,,,,,,,
11451128,home,Adana Demirspor,Semih Güler,semih-guler,S. Güler,D,184,112,M,325155,EUR,786153600,D,4,4,False,59.0,56.0,5.0,3.0,50.0,51.0,8.0,6.0,,,,,90.0,64.0,6.9,4.0,0.0,0.0,0.00200843,0,,6,,6.0,,4.0,1.0,,,,1.0,1.0,,,,1.0,,,,3.0,,,,,,,,,,,,,,
11451128,home,Adana Demirspor,Kévin Rodrigues,kevin-rodrigues,K. Rodrigues,D,169,248,M,234232,EUR,762825600,D,77,77,False,35.0,30.0,3.0,3.0,14.0,15.0,22.0,8.0,,,,,90.0,57.0,7.8,7.0,0.0121,0.0,0.251446,1,,77,1.0,17.0,,3.0,4.0,1.0,1.0,,,4.0,1.0,1.0,,,1.0,,,2.0,,2.0,2.0,1.0,1.0,,,,,,,,,
11451128,home,Adana Demirspor,Emre Akbaba,emre-akbaba,E. Akbaba,M,180,414,M,343527,EUR,718156800,M,8,8,False,40.0,29.0,8.0,4.0,18.0,18.0,22.0,8.0,,,,,90.0,68.0,8.7,15.0,0.2643,0.6638,0.0449598,4,,8,,11.0,,3.0,10.0,2.0,,1.0,3.0,7.0,5.0,2.0,1.0,,2.0,,,,1.0,,,,,1.0,2.0,2.0,3.0,1.0,,,,
11451128,home,Adana Demirspor,Benjamin Stambouli,benjamin-stambouli,B. Stambouli,M,180,161,M,105951,EUR,650505600,M,90,90,False,28.0,23.0,5.0,4.0,13.0,15.0,13.0,3.0,,,,,62.0,37.0,7.0,7.0,0.0685,0.0,0.0129391,0,,21,,10.0,,3.0,2.0,2.0,,1.0,2.0,1.0,,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,True,,,
11451128,home,Adana Demirspor,Yusuf Sarı,yusuf-sari,Y. Sarı,M,168,562,M,896364,EUR,911520000,M,7,7,False,21.0,19.0,5.0,5.0,6.0,6.0,17.0,3.0,,,,,86.0,35.0,7.5,7.0,0.1752,0.0,0.40874,2,,7,,15.0,,3.0,4.0,1.0,,,,1.0,,2.0,,,4.0,,,1.0,2.0,,2.0,2.0,,,4.0,3.0,,,,,,
11451128,home,Adana Demirspor,Younès Belhanda,younes-belhanda,Y. Belhanda,M,177,1189,M,72999,EUR,635904000,M,10,10,False,29.0,25.0,2.0,2.0,8.0,9.0,25.0,2.0,,,,,82.0,54.0,7.7,17.0,0.3135,0.1861,0.159018,3,,10,,17.0,,4.0,7.0,1.0,,,1.0,4.0,1.0,5.0,1.0,,4.0,Younès,Belhanda,1.0,2.0,,5.0,,,,4.0,2.0,1.0,,,,,
11451128,home,Adana Demirspor,Yusuf Erdoğan,yusuf-erdogan,Y. Erdoğan,M,172,204,M,256663,EUR,713145600,M,32,32,False,21.0,18.0,1.0,1.0,8.0,9.0,15.0,4.0,,,,,62.0,32.0,7.0,9.0,0.1351,0.0778,0.00887989,1,,10,,10.0,,1.0,1.0,,,,,,,3.0,,1.0,1.0,,,,,,3.0,,,,1.0,1.0,1.0,,,1.0,,
