match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_blockedScoringAttempt,stat_totalClearance,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_totalContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_outfielderBlock,stat_goalAssist,stat_wonContest,stat_wonTackle,stat_bigChanceMissed,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_penaltyWon,stat_dispossessed,stat_goodHighClaim,stat_penaltyFaced,stat_punches,stat_errorLeadToAShot,stat_penaltyConceded,stat_hitWoodwork
11409165,home,Vitória SC,Bruno Varela,bruno-varela,B. Varela,G,14,191,628,M,138895,EUR,783907200,G,14,14,False,True,21.0,17.0,7.0,3.0,16.0,16.0,1.0,5.0,10.0,2.0,2.0,90.0,29.0,6.6,4.0,0.0,0.0,0.00037165,0,-0.978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409165,home,Vitória SC,Jorge Fernandes,jorge-fernandes,J. Fernandes,D,44,193,145,M,814673,EUR,859939200,D,44,44,False,,60.0,55.0,6.0,4.0,32.0,34.0,24.0,28.0,9.0,,,90.0,69.0,6.7,7.0,0.0563,0.0,0.0420511,1,,2.0,1.0,3.0,6.0,6.0,8.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11409165,home,Vitória SC,Manuel Silva,manuel-silva,M. Silva,M,16,190,1034,M,1085740,EUR,992304000,D,6,6,False,,53.0,44.0,7.0,6.0,25.0,29.0,19.0,24.0,8.0,,,90.0,65.0,6.8,11.0,0.0701,0.0,0.0214312,1,,,,1.0,7.0,7.0,11.0,3.0,,,1.0,3.0,2.0,1.0,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,
11409165,home,Vitória SC,Tomás Ribeiro,tomas-ribeiro,T. Ribeiro,D,16,185,137,M,996765,EUR,925430400,D,4,4,False,,41.0,34.0,4.0,1.0,27.0,32.0,7.0,9.0,5.0,,,45.0,48.0,6.6,7.0,0.0723,0.0,0.0095059,1,,,,1.0,3.0,2.0,3.0,1.0,,1.0,,,,,,,,1.0,3.0,,1.0,,,,,,,,,,,,,,,,
11409165,home,Vitória SC,Bruno Gaspar,bruno-gaspar,B. Gaspar,D,76,180,173,M,252819,EUR,735350400,M,76,76,False,,54.0,49.0,7.0,5.0,13.0,13.0,40.0,50.0,4.0,,,90.0,75.0,7.6,12.0,0.035,0.0,0.375969,1,,9.0,4.0,2.0,1.0,4.0,3.0,,1.0,,2.0,,2.0,5.0,,,2.0,,,,,1.0,2.0,,,,,,,,,,,,,,
11409165,home,Vitória SC,Tiago Silva,tiago-silva,T. Silva,M,77,170,351,M,252095,EUR,738979200,M,10,10,False,,59.0,52.0,6.0,5.0,14.0,15.0,42.0,56.0,2.0,,,80.0,79.0,7.5,17.0,0.0537,0.0,0.276488,1,,12.0,4.0,2.0,1.0,7.0,3.0,1.0,,,1.0,1.0,3.0,5.0,,,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,
11409165,home,Vitória SC,Tomás Händel,tomas-handel,T. Händel,M,20,180,888,M,1131048,EUR,975283200,M,8,8,False,,19.0,16.0,,,6.0,8.0,10.0,12.0,3.0,,,45.0,28.0,6.6,7.0,0.0765,0.0,0.00779723,1,,1.0,,,2.0,3.0,3.0,,,,,1.0,2.0,1.0,Tomás Händel,,2.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,
11409165,home,Vitória SC,João Mendes,joao-mendes,J. Mendes,M,10,183,228,M,857376,EUR,782697600,M,17,17,False,,36.0,26.0,3.0,,6.0,9.0,21.0,33.0,4.0,,,80.0,60.0,7.5,19.0,0.3136,0.6438,0.123324,4,,6.0,1.0,1.0,,7.0,3.0,4.0,1.0,,2.0,,1.0,3.0,,,3.0,,1.0,1.0,,,2.0,,,1.0,3.0,1.0,,,,,,,,,
11409165,home,Vitória SC,Afonso Freitas,afonso-freitas,A. Freitas,D,25,180,35,M,928812,EUR,955065600,M,72,72,False,,22.0,16.0,4.0,,6.0,6.0,11.0,17.0,1.0,,,45.0,27.0,6.6,6.0,0.0,0.0,0.108008,0,,1.0,1.0,,1.0,1.0,2.0,1.0,,,,,,2.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,
11409165,home,Vitória SC,Jota Silva,jota-silva,J. Silva,F,26,179,2828,M,1011895,EUR,933465600,F,11,11,False,,24.0,16.0,,,2.0,3.0,15.0,27.0,3.0,,,90.0,41.0,6.8,14.0,0.2548,0.9676,0.0364669,3,,6.0,1.0,3.0,2.0,4.0,4.0,1.0,,,1.0,2.0,,1.0,,,,1.0,,,,,,,1.0,,2.0,,,,,,,,,,
