match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,player_firstName,player_lastName,stat_dispossessed,stat_shotOffTarget,stat_outfielderBlock,stat_totalTackle,stat_challengeLost,stat_keyPass,captain,stat_totalCross,stat_accurateCross,stat_totalContest,stat_bigChanceCreated,stat_errorLeadToAGoal,stat_wonContest,stat_wonTackle,stat_bigChanceMissed,stat_goals,stat_penaltyWon,stat_hitWoodwork,player_sofascoreId,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_keeperSaveValue,stat_goalkeeperValueNormalized,stat_totalOffside,stat_penaltyConceded,stat_errorLeadToAShot
14065708,home,Paris FC,Kevin Trapp,kevin-trapp,K. Trapp,G,35,189.0,1793,M,38440,EUR,647395200,G,35,35,False,31.0,24.0,9.0,2.0,0.0,23.0,23.0,1.0,8.0,1.0,1.0,6.0,1.0,1.0,1.0,90.0,38.0,6.1,7.0,0.00085918,0,-0.4966,0.02,0.01,-0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14065708,home,Paris FC,Samir Sophian Chergui,samir-sophian-chergui,S. S. Chergui,D,31,185.0,5518,M,981168,EUR,918259200,D,31,31,False,31.0,28.0,1.0,1.0,0.0,18.0,18.0,10.0,13.0,1.0,3.0,4.0,,,,90.0,47.0,6.0,5.0,0.00623712,2,,0.05,0.07,-0.27,3.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,0.2301,0.1696,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14065708,home,Paris FC,Moustapha Mbow,moustapha-mbow,M. Mbow,D,5,187.0,1699,M,982319,EUR,952473600,D,5,5,False,51.0,46.0,6.0,2.0,0.0,37.0,37.0,9.0,14.0,4.0,4.0,5.0,,,,90.0,66.0,6.6,7.0,0.00650945,2,,0.09,0.11,-0.19,2.0,2.0,3.0,1.0,,1.0,1.0,,0.1418,0.214,-0.51,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
14065708,home,Paris FC,Otávio,otavio,Otávio,D,6,188.0,1431,M,1069159,EUR,1019347200,D,6,6,False,55.0,49.0,5.0,3.0,0.0,36.0,36.0,13.0,19.0,2.0,7.0,1.0,,,,90.0,67.0,6.3,6.0,0.00657834,1,,0.0,0.1,-0.08,2.0,2.0,6.0,,,,,3.0,0.049,,0.01,,,,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14065708,home,Paris FC,Thibault De Smet,thibault-de-smet,T. D. Smet,D,28,182.0,215,M,844744,EUR,897004800,D,28,28,False,33.0,26.0,2.0,,0.0,13.0,17.0,13.0,16.0,2.0,4.0,5.0,,,,77.0,48.0,6.1,7.0,0.0388042,1,,0.21,0.15,-0.33,,1.0,2.0,,,1.0,,,0.1359,,-0.61,,,,1.0,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
14065708,home,Paris FC,Maxime López,maxime-lopez,M. López,M,21,167.0,1284,M,352802,EUR,881193600,M,21,21,False,77.0,72.0,4.0,4.0,1.0,22.0,24.0,50.0,53.0,,1.0,5.0,,,,90.0,90.0,7.3,11.0,0.312647,2,,0.62,0.38,-0.48,,,2.0,1.0,1.0,,,,0.1413,0.3216,0.16,,,,,,,1.0,8.0,True,7.0,2.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,
14065708,home,Paris FC,Vincent Marchetti,vincent-marchetti,V. Marchetti,M,4,181.0,112,M,795508,EUR,867974400,M,4,4,False,45.0,43.0,1.0,1.0,0.0,23.0,23.0,20.0,22.0,5.0,,4.0,1.0,,,89.0,57.0,7.0,3.0,0.0403092,3,,0.25,0.11,-0.08,3.0,1.0,3.0,1.0,,1.0,1.0,,0.112,0.0127,-0.09,,,,2.0,,,,1.0,,,,3.0,,,3.0,,,,,,,,,,,,,,,,
14065708,home,Paris FC,Adama Camara,camara-adama,A. Camara,M,17,180.0,433,M,1507384,EUR,845596800,M,17,17,False,29.0,24.0,3.0,1.0,0.0,14.0,15.0,10.0,14.0,3.0,2.0,1.0,1.0,,,66.0,43.0,6.7,6.0,0.0109198,2,,-0.01,0.01,-0.04,,,1.0,,,,,,0.186,,-0.31,Adama Camara,,,2.0,,2.0,,1.0,,,,1.0,,,,2.0,,,,,,,,,,,,,,,
14065708,home,Paris FC,Ilan Kebbal,ilan-kebbal,I. Kebbal,M,10,169.0,10601,M,1049442,EUR,900028800,F,10,10,False,47.0,38.0,6.0,4.0,0.0,9.0,10.0,29.0,37.0,5.0,,2.0,3.0,,,90.0,74.0,9.7,23.0,0.289732,4,,0.19,0.4,0.18,,,3.0,3.0,1.0,1.0,1.0,,1.4986,2.1674,0.8,Ilan Kebbal,,3.0,,,,,3.0,,11.0,1.0,2.0,,,2.0,,1.0,2.0,1.0,,,,,,,,,,,,
14065708,home,Paris FC,Willem Geubbels,willem-geubbels,W. Geubbels,F,9,185.0,817,M,877979,EUR,997920000,F,9,9,False,15.0,11.0,,,0.0,5.0,5.0,6.0,10.0,1.0,,2.0,,,,66.0,23.0,6.6,7.0,0.254654,1,,0.2,0.17,0.25,3.0,1.0,5.0,,,,,,0.0232,,-0.17,,,2.0,1.0,1.0,,,2.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,
