match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,player_firstName,player_lastName,stat_totalClearance,captain,stat_aerialLost,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_accurateCross,stat_aerialWon,stat_onTargetScoringAttempt,stat_fouls,stat_dispossessed,stat_bigChanceMissed,stat_goals,stat_penaltyWon,stat_totalOffside,stat_goalAssist,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_penaltyMiss,stat_penaltyFaced,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAGoal,stat_penaltyConceded
10388313,home,Borussia Dortmund,Gregor Kobel,gregor-kobel,G. Kobel,G,1,193,6864,M,gregorkobel,556866,EUR,881366400,G,1,1,False,35.0,32.0,8.0,5.0,29.0,29.0,3.0,6.0,4.0,2.0,3.0,3.0,90.0,44.0,7.6,4.0,0.0,0.0,0.0400478,0,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388313,home,Borussia Dortmund,Marius Wolf,marius-wolf,M. Wolf,M,27,187,537,M,,254119,EUR,801532800,D,17,17,False,48.0,41.0,8.0,7.0,19.0,21.0,22.0,28.0,4.0,,,,90.0,67.0,7.2,13.0,0.0306,0.0,0.230056,1,,1.0,3.0,5.0,5.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388313,home,Borussia Dortmund,Niklas Süle,niklas-sule,N. Süle,D,25,195,4025,M,NiklasSule,168937,EUR,810086400,D,25,25,False,64.0,63.0,9.0,8.0,47.0,47.0,16.0,17.0,5.0,,,,90.0,70.0,7.3,1.0,0.1195,0.0,0.0130467,2,,,,1.0,,,2.0,1.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
10388313,home,Borussia Dortmund,Mats Hummels,mats-hummels,M. Hummels,D,15,191,4570,M,aussenrist15,16632,EUR,598233600,D,15,15,False,37.0,33.0,5.0,3.0,22.0,22.0,11.0,15.0,5.0,,,,63.0,52.0,7.4,6.0,0.0,0.0,0.154788,0,,,4.0,6.0,1.0,,,3.0,2.0,,3.0,1.0,,,1.0,True,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10388313,home,Borussia Dortmund,Julian Ryerson,julian-ryerson,J. Ryerson,D,26,183,3446,M,,800951,EUR,879724800,D,26,26,False,48.0,43.0,5.0,4.0,26.0,28.0,18.0,22.0,8.0,,,,76.0,64.0,7.5,8.0,0.0696,0.0428,0.268634,1,,2.0,3.0,6.0,3.0,2.0,,2.0,2.0,1.0,1.0,,,,1.0,,,,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,
10388313,home,Borussia Dortmund,Jude Bellingham,jude-bellingham,J. Bellingham,M,5,188,1020811,M,JudeBell,991011,EUR,1056844800,M,22,22,False,57.0,50.0,4.0,2.0,20.0,23.0,30.0,37.0,6.0,,,,90.0,74.0,8.4,13.0,0.7174,1.0935,0.171809,4,,3.0,6.0,5.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,,,,1.0,,1.0,1.0,1.0,,,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,
10388313,home,Borussia Dortmund,Emre Can,emre-can,E. Can,D,23,186,5006,M,emrecan23,138156,EUR,758332800,M,23,23,False,59.0,56.0,5.0,3.0,38.0,39.0,18.0,20.0,8.0,,,,90.0,65.0,7.0,3.0,0.0,0.0,0.0283039,0,,,2.0,3.0,,,,1.0,1.0,,1.0,,,,1.0,,,1.0,1.0,1.0,,1.0,,2.0,,,,,,,,,,,,,,,
10388313,home,Borussia Dortmund,Julian Brandt,julian-brandt,J. Brandt,M,10,186,9499,M,julianbrandt,226978,EUR,830995200,M,19,19,False,40.0,33.0,3.0,3.0,14.0,16.0,20.0,31.0,2.0,,,,90.0,55.0,8.9,17.0,0.0929,0.0586,1.07035,2,,7.0,2.0,2.0,,,,,,2.0,2.0,5.0,,,,,,1.0,,,1.0,,1.0,,1.0,,,,,3.0,4.0,1.0,,,,,,,
10388313,home,Borussia Dortmund,Donyell Malen,donyell-malen,D. Malen,F,14,176,12595,M,donyellmalen,803039,EUR,916704000,F,21,21,False,25.0,22.0,1.0,,1.0,2.0,21.0,24.0,1.0,,,,63.0,41.0,7.1,8.0,1.1428,0.5757,0.262365,2,,1.0,3.0,6.0,6.0,3.0,1.0,1.0,,1.0,2.0,,,,1.0,,,,,,,,1.0,,,2.0,1.0,,,,,,,,,,,,
10388313,home,Borussia Dortmund,Sébastien Haller,sebastien-haller,S. Haller,F,91,190,47139,M,SebHaller,149731,EUR,772243200,F,9,9,False,12.0,10.0,,,2.0,3.0,8.0,9.0,1.0,,,,62.0,22.0,8.1,4.0,0.5219,0.8085,0.1077,2,,,6.0,4.0,1.0,1.0,,1.0,,,,1.0,,,1.0,,3.0,,,,,2.0,1.0,1.0,2.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,
10388313,home,Borussia Dortmund,Karim Adeyemi,karim-adeyemi,K. Adeyemi,F,27,177,17028,M,karim_adeyemi,940054,EUR,1011312000,F,27,27,False,21.0,18.0,3.0,2.0,2.0,3.0,17.0,19.0,4.0,,,,69.0,34.0,8.3,9.0,1.0081,0.5516,1.27289,3,,1.0,10.0,3.0,4.0,1.0,1.0,1.0,1.0,,,4.0,,,,,,3.0,,,1.0,1.0,2.0,2.0,2.0,1.0,2.0,,,1.0,2.0,,1.0,,,,,,
10388313,home,Borussia Dortmund,Youssoufa Moukoko,youssoufa-moukoko,Y. Moukoko,F,9,179,11950,M,youssoufa_10,997006,EUR,1100908800,F,18,18,True,4.0,1.0,,,,1.0,1.0,3.0,1.0,,,,28.0,7.0,6.3,4.0,0.3789,0.5948,0.0030102,1,,,2.0,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
10388313,home,Borussia Dortmund,Salih Özcan,salih-ozcan,S. Özcan,M,6,180,2466,M,,795005,EUR,884476800,M,6,6,True,17.0,16.0,1.0,1.0,11.0,12.0,5.0,5.0,1.0,,,,27.0,20.0,6.7,1.0,0.0,0.0,0.00230873,0,,,2.0,2.0,,,,,,,1.0,,,,1.0,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,
