match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_interceptionWon,stat_wasFouled,stat_fouls,captain,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_keyPass,stat_dispossessed,stat_totalContest,stat_blockedScoringAttempt,stat_expectedGoals,stat_challengeLost,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_wonContest,stat_outfielderBlock,stat_bigChanceMissed,stat_goals,stat_hitWoodwork,stat_errorLeadToAGoal,stat_totalOffside
12514227,home,Estoril Praia,Joel Robles,joel-robles,J. Robles,G,1,195,157,M,93796,EUR,645580800,G,27,27,False,26.0,17.0,20.0,11.0,0.0,9.0,10.0,8.0,16.0,11.0,1.0,3.0,4.0,90.0,36.0,7.5,9.0,0.00205289,0,1.0888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514227,home,Estoril Praia,Kévin Boma,kevin-boma,K. Boma,D,44,193,411,M,1049465,EUR,1037750400,D,44,44,False,34.0,30.0,4.0,3.0,0.0,15.0,16.0,15.0,18.0,,,,,45.0,40.0,6.9,4.0,0.00692406,0,,Kévin Boma,,1.0,3.0,3.0,4.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
12514227,home,Estoril Praia,Pedro Álvaro,pedro-alvaro,P. Álvaro,D,,186,247,M,869330,EUR,951955200,D,23,23,False,38.0,36.0,1.0,1.0,0.0,28.0,30.0,8.0,8.0,6.0,,,,67.0,44.0,6.7,2.0,0.00269774,0,,,,1.0,,1.0,,4.0,2.0,,,True,,,,,,,,,,,,,,,,,,,,,,
12514227,home,Estoril Praia,Felix Bacher,felix-bacher,F. Bacher,D,25,190,92,M,943525,EUR,972432000,D,25,25,False,37.0,30.0,7.0,3.0,0.0,25.0,28.0,5.0,9.0,2.0,,,,90.0,50.0,7.0,8.0,0.00194698,0,,,,,1.0,3.0,5.0,5.0,2.0,1.0,3.0,,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
12514227,home,Estoril Praia,Wagner Pina,wagner-pina,W. Pina,M,20,180,484,M,1513625,EUR,1036281600,M,20,20,False,36.0,31.0,1.0,,1.0,11.0,12.0,21.0,30.0,7.0,,,,90.0,55.0,7.2,16.0,0.146592,0,,,,,1.0,,3.0,,1.0,1.0,,,1.0,1.0,4.0,6.0,1.0,1.0,2.0,,,,,,,,,,,,,,,
12514227,home,Estoril Praia,Xeka,xeka,Xeka,M,8,186,229,M,858705,EUR,784425600,M,88,88,False,52.0,47.0,1.0,1.0,0.0,29.0,30.0,18.0,25.0,3.0,,,,77.0,66.0,6.6,11.0,0.114647,1,,,,,,8.0,3.0,1.0,1.0,1.0,6.0,,2.0,1.0,1.0,3.0,,,1.0,1.0,1.0,1.0,0.0304,,,,,,,,,,,
12514227,home,Estoril Praia,Jordan Holsgrove,jordan-holsgrove,J. Holsgrove,M,10,180,223,M,920684,EUR,936921600,M,10,10,False,91.0,82.0,9.0,5.0,0.0,38.0,42.0,46.0,53.0,4.0,,,,90.0,109.0,7.3,14.0,0.200959,2,,,,1.0,,8.0,7.0,,,3.0,4.0,,4.0,2.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,,0.0321,1.0,1.0,1.0,0.028,,,,,,,
12514227,home,Estoril Praia,Pedro Amaral,amaral-pedro,P. Amaral,D,24,178,86,M,834247,EUR,872467200,M,24,24,False,31.0,29.0,4.0,4.0,0.0,14.0,15.0,17.0,18.0,2.0,,,,90.0,44.0,6.8,4.0,0.0375575,0,,,,,,2.0,3.0,,1.0,2.0,,,1.0,,,2.0,2.0,,,,2.0,,,,,,,,,,,,,
12514227,home,Estoril Praia,Rafik Guitane,rafik-guitane,R. Guitane,F,99,170,2125,M,826210,EUR,927676800,F,99,99,False,27.0,26.0,1.0,1.0,0.0,4.0,4.0,22.0,25.0,2.0,,,,67.0,43.0,7.2,6.0,0.0531667,1,,,,,,3.0,8.0,,,1.0,,,1.0,,,2.0,,,,1.0,8.0,1.0,0.0378,,,,,6.0,,,,,,
12514227,home,Estoril Praia,João Carvalho,joao-carvalho,J. Carvalho,F,12,170,372,M,548044,EUR,857865600,F,12,12,False,39.0,30.0,5.0,4.0,0.0,14.0,15.0,16.0,24.0,5.0,,,,90.0,57.0,6.5,20.0,0.164059,1,,,,1.0,,10.0,1.0,1.0,1.0,,1.0,,,,5.0,,,1.0,3.0,1.0,5.0,,0.0349,3.0,1.0,,,1.0,1.0,,,,,
12514227,home,Estoril Praia,Yanis Begraoui,yanis-begraoui,Y. Begraoui,F,14,175,1812,M,930246,EUR,994204800,F,14,14,False,21.0,16.0,1.0,1.0,0.0,8.0,10.0,8.0,11.0,2.0,,,,77.0,34.0,8.5,9.0,0.0429021,4,,,,2.0,,7.0,3.0,,1.0,1.0,3.0,,1.0,,2.0,,,,,1.0,2.0,1.0,1.0384,,1.0,2.0,1.1925,1.0,,1.0,2.0,,,
