match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,player_firstName,player_lastName,captain,stat_aerialWon,stat_challengeLost,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_accurateCross,stat_dispossessed,stat_bigChanceCreated,stat_shotOffTarget,stat_blockedScoringAttempt,stat_wasFouled,stat_hitWoodwork,stat_totalOffside,stat_bigChanceMissed,stat_crossNotClaimed,stat_punches,stat_errorLeadToAShot
12499444,home,Borussia Dortmund,Gregor Kobel,gregor-kobel,G. Kobel,G,1,193,6864,M,gregorkobel,556866,EUR,881366400,G,1,1,False,36.0,15.0,28.0,7.0,0.0,10.0,13.0,5.0,23.0,3.0,10.0,2.0,1.0,1.0,1.0,1.0,90.0,49.0,6.6,21.0,0.00298161,0,-0.5688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499444,home,Borussia Dortmund,Waldemar Anton,waldemar-anton,W. Anton,D,3,189,2193,M,,799046,EUR,837820800,D,3,3,False,43.0,35.0,2.0,1.0,0.0,19.0,21.0,16.0,24.0,4.0,2.0,,,,,,89.0,62.0,7.2,14.0,0.31661,0,,2.0,2.0,3.0,6.0,2.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12499444,home,Borussia Dortmund,Emre Can,emre-can,E. Can,D,23,186,5006,M,emrecan23,138156,EUR,758332800,D,23,23,False,38.0,32.0,7.0,4.0,0.0,21.0,22.0,11.0,16.0,6.0,8.0,,,,,,90.0,60.0,7.7,7.0,0.0070329,1,,,4.0,7.0,6.0,2.0,1.0,2.0,3.0,1.0,,,,,,True,2.0,2.0,1.0,1.0,3.0,0.1295,0.2763,,,,,,,,,,,,
12499444,home,Borussia Dortmund,Nico Schlotterbeck,nico-schlotterbeck,N. Schlotterbeck,D,4,191,10353,M,nico.schlotterbeck,940871,EUR,944006400,D,4,4,False,55.0,41.0,9.0,2.0,2.0,22.0,26.0,23.0,35.0,5.0,8.0,,,,,,90.0,83.0,8.3,20.0,0.579459,4,,6.0,2.0,7.0,9.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,,,,5.0,1.0,1.0,,1.0,0.1441,0.0093,4.0,2.0,2.0,2.0,1.0,1.0,,,,,,
12499444,home,Borussia Dortmund,Salih Özcan,salih-ozcan,S. Özcan,M,6,180,2466,M,,795005,EUR,884476800,M,6,6,False,41.0,30.0,3.0,,0.0,15.0,18.0,15.0,23.0,3.0,7.0,,,,,,79.0,56.0,7.0,12.0,0.0372861,1,,,,5.0,6.0,,,4.0,2.0,1.0,,3.0,,,,,4.0,2.0,,,,0.2311,,,,,,1.0,,,,,,,
12499444,home,Borussia Dortmund,Yan Couto,couto-yan,Y. Couto,D,2,169,7173,M,yan.couto,1002813,EUR,1023062400,M,2,2,False,20.0,16.0,,,0.0,2.0,3.0,15.0,18.0,1.0,3.0,,,,,,62.0,37.0,6.4,9.0,0.106005,0,,1.0,1.0,10.0,3.0,3.0,,1.0,2.0,1.0,,3.0,2.0,,,,,1.0,,,1.0,,,1.0,2.0,,,,1.0,,,,,,
12499444,home,Borussia Dortmund,Pascal Groß,pascal-gross,P. Groß,M,30,181,4705,M,pascalgross65,48480,EUR,676944000,M,13,13,False,56.0,45.0,6.0,3.0,0.0,21.0,22.0,25.0,38.0,1.0,4.0,,,,,,90.0,72.0,6.9,17.0,0.0500113,1,,4.0,,3.0,2.0,,,,1.0,,1.0,,,,,,1.0,1.0,1.0,,,0.1387,0.7333,1.0,2.0,,,,,1.0,,,,,
12499444,home,Borussia Dortmund,Julian Brandt,julian-brandt,J. Brandt,M,10,186,9499,M,julianbrandt,226978,EUR,830995200,M,10,10,False,34.0,24.0,2.0,1.0,0.0,6.0,9.0,18.0,26.0,2.0,7.0,,,,,,79.0,50.0,7.1,15.0,0.263807,1,,1.0,2.0,5.0,4.0,4.0,1.0,1.0,1.0,1.0,,,3.0,,,,2.0,,1.0,,,0.0799,0.236,,,1.0,,,,,,,,,
12499444,home,Borussia Dortmund,Julian Ryerson,julian-ryerson,J. Ryerson,D,26,183,3446,M,,800951,EUR,879724800,M,26,26,False,27.0,23.0,3.0,3.0,0.0,12.0,14.0,11.0,14.0,,6.0,,,,,,90.0,49.0,7.1,9.0,0.0076433,1,,1.0,,3.0,7.0,3.0,1.0,,5.0,4.0,2.0,,,,,,,1.0,,,,0.0132,,,,,1.0,,1.0,,,,,,
12499444,home,Borussia Dortmund,Maximilian Beier,maximilian-beier,M. Beier,F,14,183,4887,M,,980628,EUR,1034812800,F,14,14,False,17.0,11.0,2.0,1.0,0.0,1.0,1.0,10.0,16.0,2.0,2.0,,,,,,90.0,38.0,8.6,14.0,0.0387175,4,,,3.0,5.0,8.0,2.0,1.0,1.0,,,4.0,,2.0,,,,7.0,,2.0,2.0,,1.3742,1.6605,,1.0,,2.0,,1.0,,1.0,,,,
