match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_outfielderBlock,captain,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_dispossessed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotValueNormalized,stat_shotOffTarget,stat_totalOffside,player_sofascoreId,stat_goals,stat_bigChanceCreated,stat_bigChanceMissed,stat_hitWoodwork
14131911,home,Rio Ave,Cezary Miszta,,,cezary-miszta,C. Miszta,G,1,192,662,M,938292,EUR,1004400000,G,1,1,False,19.0,11.0,10.0,3.0,0.0,9.0,12.0,2.0,7.0,3.0,7.0,1.0,3.0,4.0,1.0,1.0,1.0,90.0,32.0,6.8,9.0,0.00046116,0.498,0,0.3888,-0.02,-0.02,-0.26,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131911,home,Rio Ave,Andreas Ndoj,,,andreas-ndoj,A. Ndoj,D,5,190,426,M,1005992,EUR,1044144000,D,5,5,False,37.0,27.0,7.0,1.0,0.0,16.0,17.0,11.0,20.0,,4.0,,,,,,,73.0,48.0,6.1,13.0,0.00868487,,0,,0.0,0.04,-0.49,,1.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,
14131911,home,Rio Ave,Jakub Brabec,,,jakub-brabec,J. Brabec,D,32,186,152,M,72020,EUR,713059200,D,32,32,False,62.0,54.0,5.0,2.0,0.0,37.0,41.0,17.0,21.0,5.0,1.0,,,,,,,90.0,74.0,6.1,9.0,0.00840006,,0,,0.11,0.09,-0.31,,,2.0,,,,3.0,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
14131911,home,Rio Ave,Nelson Abbey,Nelson Abbey,,nelson-abbey,N. Abbey,D,6,187,247,M,1064359,EUR,1062028800,D,6,6,False,58.0,54.0,1.0,,0.0,35.0,37.0,19.0,21.0,6.0,6.0,,,,,,,90.0,66.0,6.2,4.0,0.00592115,,0,,0.16,0.11,-0.32,,2.0,1.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
14131911,home,Rio Ave,Marios Vrousai,,,marios-vrousai,M. Vrousai,D,17,183,243,M,848521,EUR,899337600,M,17,17,False,42.0,27.0,4.0,,0.0,12.0,16.0,15.0,26.0,4.0,7.0,,,,,,,90.0,72.0,6.3,20.0,0.102353,,4,,-0.03,0.23,-0.22,,,7.0,7.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,,,True,4.0,1.0,3.0,1.0,1.0,3.0,3.0,0.0957,0.0476,1.0,0.1,,,,,,,
14131911,home,Rio Ave,Georgios Liavas,,,georgios-liavas,G. Liavas,M,54,175,143,M,946909,EUR,981849600,M,54,54,False,36.0,35.0,1.0,1.0,0.0,11.0,12.0,24.0,24.0,2.0,,,,,,,,57.0,44.0,7.1,1.0,0.0227054,,0,,0.14,0.04,0.43,,,1.0,2.0,,,1.0,2.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
14131911,home,Rio Ave,Brandon Aguilera,,,brandon-aguilera,B. Aguilera,M,10,180,927,M,1020203,EUR,1056758400,M,10,10,False,61.0,55.0,1.0,,0.0,25.0,26.0,30.0,35.0,1.0,5.0,,,,,,,90.0,72.0,6.6,9.0,0.055381,,1,,0.23,0.19,-0.15,,,4.0,2.0,2.0,1.0,3.0,,,,1.0,1.0,,,1.0,,,1.0,,1.0,1.0,0.0305,,3.0,0.01,,,,,,,
14131911,home,Rio Ave,Nikolaos Athanasiou,,,athanasiou-nikolaos,N. Athanasiou,D,3,177,212,M,1100204,EUR,984614400,M,3,3,False,26.0,24.0,,,0.0,10.0,10.0,14.0,16.0,,2.0,,,,,,,57.0,37.0,6.5,7.0,0.0127337,,0,,0.0,0.04,-0.27,,,3.0,3.0,1.0,,,,,1.0,,,,,3.0,,2.0,,,,3.0,,,,,,,,,,,
14131911,home,Rio Ave,André Luiz,André Luiz,,andre-luiz,André Luiz,M,17,185,1296,M,1133282,EUR,1014422400,F,11,11,False,28.0,27.0,,,0.0,8.0,8.0,19.0,20.0,1.0,1.0,,,,,,,90.0,43.0,6.2,9.0,0.0316567,,0,,-0.28,0.2,-0.06,,1.0,7.0,4.0,3.0,1.0,,,,1.0,1.0,1.0,,,2.0,,1.0,2.0,,,2.0,,,,,,,,,,,
14131911,home,Rio Ave,Clayton,,,clayton,Clayton,F,19,184,1602,M,1017023,EUR,916012800,F,9,9,False,7.0,6.0,,,0.0,3.0,3.0,3.0,4.0,2.0,1.0,,,,,,,65.0,18.0,6.4,4.0,0.007606,,1,,-0.15,0.08,0.24,,,5.0,3.0,,,,,,3.0,2.0,3.0,1.0,,,,,,,,3.0,0.0596,,,-0.27,1.0,1.0,,,,,
14131911,home,Rio Ave,Dario Špikić,,,dario-spikic,D. Špikić,M,18,183,790,M,826024,EUR,922060800,F,18,18,False,12.0,8.0,2.0,1.0,0.0,,,8.0,12.0,,2.0,,,,,,,65.0,19.0,6.6,4.0,0.0117553,,0,,-0.09,0.18,-0.06,,,3.0,3.0,2.0,2.0,,1.0,1.0,,1.0,,,,,,2.0,,,,,,,,,,,,,,,
