match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_bigChanceCreated,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_keyPass,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_fouls,stat_totalOffside,captain,stat_dispossessed,stat_interceptionWon,stat_totalCross,stat_bigChanceMissed,stat_shotOffTarget,stat_unsuccessfulTouch,stat_expectedGoals,stat_shotValueNormalized,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_accurateCross,stat_goals,stat_hitWoodwork,stat_blockedScoringAttempt,player_sofascoreId,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
14065169,home,FC Augsburg,Finn Dahmen,finn-dahmen,F. Dahmen,G,1,188,564,M,822564,EUR,890956800,G,1,1,False,44.0,26.0,30.0,12.0,0.0,17.0,17.0,9.0,27.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,90.0,49.0,7.5,18.0,0.0302184,73.053332503589,12.0,38.01,7.14,0.1771,1.0,0,0.2024,0.31,0.04,0.23,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14065169,home,FC Augsburg,Noahkai Banks,noahkai-banks,N. Banks,D,40,193,620,M,1597260,EUR,1164931200,D,40,40,False,32.0,29.0,3.0,2.0,0.0,19.0,21.0,10.0,11.0,8.0,,1.0,5.0,2.0,,,90.0,40.0,7.6,3.0,0.00499842,85.128379398136,10.0,40.74,22.365,,1.0,0,,0.3,0.06,0.39,,Noahkai,Banks,2.0,2.0,5.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,
14065169,home,FC Augsburg,Chrislain Matsima,chrislain-matsima,C. Matsima,D,5,192,662,M,963198,EUR,1021420800,D,5,5,False,36.0,29.0,2.0,,0.0,24.0,27.0,5.0,9.0,1.0,,8.0,3.0,,,,90.0,51.0,7.9,7.0,0.00231589,42.439276046479,7.0,6.615,10.605,,1.0,0,,-0.03,0.03,1.0,,,,,,,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,
14065169,home,FC Augsburg,Keven Schlotterbeck,keven-schlotterbeck,K. Schlotterbeck,D,31,189,405,M,891651,EUR,862185600,D,31,31,False,31.0,25.0,6.0,3.0,1.0,17.0,19.0,8.0,12.0,2.0,1.0,5.0,4.0,,,,90.0,46.0,7.3,7.0,0.346069,32.051830678232,4.0,28.665,12.705,,3.0,0,,0.34,0.02,0.32,,,,,,3.0,,,,2.0,2.0,1.0,2.0,,True,1.0,1.0,,,,,,,,,,,,,,,
14065169,home,FC Augsburg,Robin Fellhauer,robin-fellhauer,R. Fellhauer,M,19,185,123,M,860461,EUR,885340800,M,19,19,False,24.0,20.0,2.0,1.0,0.0,14.0,15.0,6.0,9.0,5.0,,4.0,5.0,1.0,,,90.0,56.0,6.8,11.0,0.0425672,86.642126077559,10.0,34.965,14.28,,1.0,1,,-0.2,0.29,0.15,,,,4.0,,7.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,1.0,3.0,3.0,1.0,1.0,2.0,0.0532,-0.41,,,,,,,,,
14065169,home,FC Augsburg,Kristijan Jakić,kristijan-jakic,K. Jakić,M,17,181,2258,M,796206,EUR,863568000,M,17,17,False,23.0,21.0,1.0,1.0,0.0,13.0,14.0,8.0,9.0,,,4.0,4.0,,,,90.0,35.0,6.7,3.0,0.00304857,58.976944674062,9.0,-6.615,7.455,,,1,,0.06,-0.1,0.29,,,,,,2.0,,,,,,,1.0,,,1.0,2.0,,,,,0.0082,0.0,1.0,0.0103,,,,,,,
14065169,home,FC Augsburg,Han-Noah Massengo,massengo-han-noah,H. Massengo,M,4,175,579,M,927340,EUR,994377600,M,4,4,False,36.0,31.0,,,0.0,20.0,23.0,11.0,13.0,1.0,1.0,2.0,5.0,,,,90.0,50.0,6.7,9.0,0.0137221,96.695818664504,12.0,18.585,19.845,,1.0,0,,0.06,0.01,0.25,,,,,,5.0,1.0,2.0,,1.0,1.0,1.0,,,,2.0,2.0,,,,,,,,,,,,,,,
14065169,home,FC Augsburg,Dimitrios Giannoulis,dimitrios-giannoulis,D. Giannoulis,M,13,178,1037,M,354878,EUR,813888000,M,13,13,False,11.0,9.0,1.0,1.0,1.0,4.0,6.0,5.0,5.0,1.0,1.0,1.0,1.0,,,,57.0,19.0,8.7,3.0,0.326075,12.255215362505,2.0,8.925,7.56,,1.0,1,,0.36,-0.3,0.21,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,1.0,2.0,,,1.0,0.4533,0.53,1.0,0.5235,2.0,1.0,,,,,
14065169,home,FC Augsburg,Fabian Rieder,fabian-rieder,F. Rieder,M,32,181,1560,M,929620,EUR,1013817600,F,32,32,False,16.0,11.0,1.0,1.0,0.0,2.0,5.0,9.0,11.0,1.0,,,2.0,,,,57.0,28.0,6.2,10.0,0.0148137,19.029218123763,4.0,11.025,7.665,,,1,,-0.24,0.08,0.0,,,,2.0,,4.0,,,,,1.0,,3.0,,,,1.0,2.0,,1.0,3.0,0.0302,-0.22,,,,,,,,,
14065169,home,FC Augsburg,Alexis Claude-Maurice,alexis-claude-maurice,A. Claude-Maurice,F,20,174,897,M,822877,EUR,897091200,F,20,20,False,17.0,15.0,,,0.0,7.0,7.0,8.0,10.0,6.0,,,2.0,2.0,,,70.0,30.0,6.7,5.0,0.0225576,94.60948598276,10.0,36.015,17.535,,,1,,-0.01,0.18,0.13,,,,1.0,1.0,4.0,,,,,3.0,1.0,1.0,,,2.0,1.0,,,1.0,1.0,0.0858,-0.23,,,,,1.0,,,,
14065169,home,FC Augsburg,Anton Kade,anton-kade,A. Kade,M,30,179,294,M,1129365,EUR,1074297600,F,30,30,False,30.0,20.0,2.0,2.0,0.0,6.0,8.0,14.0,22.0,5.0,,,6.0,,,,89.0,43.0,8.1,17.0,0.114788,262.59612654852,17.0,155.61,37.275,,2.0,4,,0.15,0.69,0.13,,Anton,Kade,1.0,5.0,3.0,,1.0,,,,,,,,1.0,1.0,1.0,,1.0,4.0,0.487,0.45,3.0,0.931,,1.0,,,,,
