match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_totalKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_blockedScoringAttempt,stat_expectedGoals,stat_shotValueNormalized,stat_shotOffTarget,stat_hitWoodwork,stat_outfielderBlock,stat_dispossessed,captain,stat_errorLeadToAShot,stat_totalOffside,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_goodHighClaim,stat_saves,stat_accurateKeeperSweeper,stat_keeperSaveValue,stat_goalsPrevented,stat_goalkeeperValueNormalized,stat_lastManTackle
14053634,home,FC Groningen,Etienne Vaessen,etienne-vaessen,E. Vaessen,G,1,187.0,462,M,809408,EUR,806716800,G,1,1,False,37.0,16.0,25.0,5.0,0.0,13.0,15.0,3.0,22.0,10.0,1.0,90.0,42.0,6.3,21.0,0.00233411,0,0.03,0.04,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053634,home,FC Groningen,Marco Rente,marco-rente,M. Rente,D,5,185.0,163,M,827103,EUR,856828800,D,5,5,False,34.0,28.0,2.0,1.0,2.0,13.0,13.0,15.0,21.0,2.0,,90.0,62.0,8.8,11.0,0.281726,0,0.73,0.12,0.16,,,3.0,2.0,2.0,6.0,4.0,10.0,1.0,1.0,1.0,7.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,
14053634,home,FC Groningen,Thijmen Blokzijl,thijmen-blokzijl,T. Blokzijl,D,3,181.0,278,M,1121401,EUR,1109289600,D,3,3,False,43.0,36.0,7.0,3.0,0.0,26.0,27.0,10.0,16.0,3.0,,90.0,60.0,7.3,7.0,0.00568731,1,0.14,0.08,0.4,Thijmen Blokzijl,,,,6.0,5.0,6.0,7.0,,,,10.0,,2.0,1.0,,,,,1.0,0.0144,-0.07,,,,,,,,,,,,,,,,,,
14053634,home,FC Groningen,Dies Janse,janse-dies,D. Janse,D,4,196.0,631,M,1470010,EUR,1137456000,D,4,4,False,46.0,41.0,7.0,5.0,0.0,25.0,25.0,16.0,21.0,1.0,,90.0,57.0,7.2,5.0,0.00924263,0,0.26,0.06,0.26,Dies Janse,,,,1.0,3.0,4.0,4.0,,,,7.0,1.0,,,,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,
14053634,home,FC Groningen,Marvin Peersman,marvin-peersman,M. Peersman,D,43,185.0,130,M,76160,EUR,666144000,D,43,43,False,42.0,29.0,4.0,,0.0,11.0,17.0,18.0,25.0,7.0,,90.0,70.0,6.4,26.0,0.0319698,2,0.11,0.09,0.18,,,2.0,,1.0,,7.0,2.0,2.0,2.0,,1.0,1.0,2.0,2.0,4.0,,2.0,,,0.0635,-0.43,2.0,1.0,1.0,,,,,,,,,,,,,,,
14053634,home,FC Groningen,Tika de Jonge,tika-de-jonge,T. d. Jonge,M,8,182.0,102,M,1121402,EUR,1047340800,M,8,8,False,27.0,21.0,2.0,1.0,0.0,13.0,15.0,8.0,12.0,3.0,,74.0,44.0,6.3,15.0,0.00891611,0,-0.1,0.02,-0.06,Tika de Jonge,,3.0,,3.0,1.0,6.0,3.0,,1.0,,1.0,1.0,2.0,1.0,4.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,
14053634,home,FC Groningen,Stije Resink,stije-resink,S. Resink,M,6,186.0,598,M,1090328,EUR,1053993600,M,6,6,False,47.0,38.0,6.0,2.0,0.0,19.0,23.0,19.0,24.0,5.0,,90.0,72.0,6.8,15.0,0.0556336,5,0.35,0.2,-0.19,Stije Resink,,2.0,1.0,,,8.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,0.2308,-0.21,1.0,,,4.0,True,1.0,,,,,,,,,,,,
14053634,home,FC Groningen,Thom van Bergen,thom-van-bergen,T. v. Bergen,F,26,180.0,455,M,1413536,EUR,1073347200,M,26,26,False,16.0,11.0,1.0,,0.0,5.0,8.0,6.0,8.0,3.0,,82.0,27.0,6.7,9.0,0.0225846,1,-0.17,0.38,0.21,Thom van Bergen,,,,7.0,3.0,9.0,6.0,,2.0,,,,2.0,2.0,2.0,1.0,,,1.0,0.0773,-0.42,,,,,,,1.0,,,,,,,,,,,
14053634,home,FC Groningen,Younes Taha,younes-taha,Y. Taha,M,10,176.0,1409,M,1146623,EUR,1038355200,M,10,10,False,16.0,14.0,,,1.0,5.0,5.0,9.0,11.0,1.0,,74.0,32.0,8.9,12.0,0.583924,2,0.57,0.27,0.15,Younes Taha,,5.0,,2.0,,5.0,4.0,,3.0,1.0,,,2.0,2.0,2.0,1.0,1.0,2.0,,0.0473,0.54,,,,,,,,1.0,2.0,1.0,0.3517,,,,,,,
14053634,home,FC Groningen,Jorg Schreuders,jorg-schreuders,J. Schreuders,M,14,177.0,237,M,1424404,EUR,1094688000,M,14,14,False,15.0,15.0,3.0,3.0,0.0,6.0,6.0,9.0,9.0,4.0,,66.0,28.0,6.6,5.0,0.0172131,1,0.09,-0.25,-0.08,Jorg Schreuders,,1.0,,,,5.0,3.0,2.0,,,,1.0,1.0,,2.0,2.0,2.0,,1.0,0.0568,-0.35,,,,2.0,,,1.0,,,,,,,,,,,
