match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,player_jerseyNumber,stat_totalCross,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_aerialWon,stat_challengeLost,captain,stat_onTargetScoringAttempt,stat_goals,stat_wasFouled,stat_shotOffTarget,stat_goalAssist,stat_accurateCross,stat_bigChanceCreated,stat_errorLeadToAShot,stat_keyPass,player_sofascoreId,stat_penaltyWon,stat_totalOffside,stat_outfielderBlock,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_penaltyConceded,stat_bigChanceMissed,stat_blockedScoringAttempt
10382237,home,FC Emmen,Mickey van der Hart,mickey-van-der-hart,M. v. d. Hart,G,188,97,M,242313,EUR,771465600,G,32,32,False,42.0,33.0,18.0,9.0,27.0,29.0,6.0,13.0,11.0,2.0,90.0,48.0,6.2,10.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382237,home,FC Emmen,Mohamed Bouchouari,mohamed-bouchouari,M. Bouchouari,D,170,778,M,965329,EUR,974246400,D,34,34,False,33.0,24.0,5.0,4.0,12.0,15.0,12.0,21.0,4.0,,81.0,56.0,6.5,16.0,0,,,34,3.0,3.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10382237,home,FC Emmen,Miguel Araujo,miguel-araujo,M. Araujo,D,178,883,M,370226,EUR,782956800,D,5,5,False,61.0,47.0,7.0,1.0,35.0,41.0,12.0,21.0,3.0,,90.0,70.0,6.1,15.0,0,,,20,1.0,5.0,2.0,,,,3.0,2.0,1.0,,,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10382237,home,FC Emmen,Jeroen Veldmate,jeroen-veldmate,J. Veldmate,D,187,9,,28111,EUR,594950400,D,4,4,False,61.0,54.0,6.0,2.0,43.0,47.0,11.0,14.0,7.0,,69.0,74.0,7.4,8.0,1,,,,,2.0,8.0,,,,4.0,2.0,2.0,2.0,1.0,,2.0,3.0,,True,1.0,1.0,3.0,,,,,,,,,,,,,,,
10382237,home,FC Emmen,Keziah Veendorp,keziah-veendorp,K. Veendorp,D,183,41,M,361778,EUR,856137600,D,2,2,False,78.0,61.0,16.0,9.0,32.0,36.0,29.0,42.0,10.0,,90.0,96.0,6.2,20.0,1,,,,,6.0,1.0,,,,2.0,1.0,1.0,1.0,3.0,4.0,2.0,,1.0,,,,,1.0,,,,,,,,,,,,,,
10382237,home,FC Emmen,Jari Vlak,jari-vlak,J. Vlak,M,191,123,M,932652,EUR,903139200,M,20,20,False,57.0,45.0,6.0,4.0,17.0,20.0,28.0,37.0,11.0,,90.0,71.0,6.9,14.0,1,,,8,,5.0,4.0,,,,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,,,,,1.0,,,,,,,,,,,,,,
10382237,home,FC Emmen,Mark Diemers,mark-diemers,M. Diemers,M,175,198,M,252123,EUR,750297600,M,10,10,False,43.0,34.0,2.0,1.0,2.0,5.0,34.0,49.0,6.0,,90.0,68.0,7.2,22.0,1,,,10,11.0,3.0,6.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,4.0,1.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,
10382237,home,FC Emmen,Lucas Bernadou,bernadou-lucas,L. Bernadou,M,178,53,M,997187,EUR,969753600,M,8,8,False,55.0,49.0,1.0,1.0,26.0,27.0,23.0,29.0,6.0,,90.0,75.0,6.9,13.0,1,,,6,1.0,6.0,5.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,,3.0,2.0,,,,,2.0,1.0,,,,,1.0,,,,,,,,,
10382237,home,FC Emmen,Ole Romeny,ole-romeny,O. Romeny,F,185,13950,M,921948,EUR,961459200,F,77,77,False,30.0,24.0,,,7.0,10.0,17.0,23.0,1.0,,90.0,51.0,7.5,16.0,2,,,11,3.0,8.0,6.0,4.0,1.0,,,1.0,2.0,2.0,2.0,1.0,2.0,,,,2.0,1.0,4.0,,,,,,,oleromeny,1.0,1.0,,,,,,
10382237,home,FC Emmen,Danny Hoesen,danny-hoesen,D. Hoesen,F,186,15,,113712,EUR,663897600,F,21,21,False,2.0,1.0,,,1.0,1.0,,1.0,,,45.0,4.0,6.5,2.0,0,,,23,,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,
10382237,home,FC Emmen,Richairo Živković,richairo-zivkovic,R. Živković,F,186,197,M,295137,EUR,841881600,F,9,9,False,16.0,13.0,,,3.0,4.0,10.0,14.0,1.0,,81.0,28.0,6.4,7.0,0,,,30,2.0,6.0,2.0,,1.0,,2.0,2.0,1.0,1.0,1.0,2.0,,1.0,3.0,,,,,,,,,,,,,,,,,,,
10382237,home,FC Emmen,Jasin Assehnoun,jasin-assehnoun,J. Assehnoun,M,175,80,M,943188,EUR,914630400,M,11,11,True,27.0,24.0,,,10.0,10.0,14.0,20.0,2.0,,45.0,39.0,6.8,9.0,0,,,78,3.0,5.0,4.0,,1.0,1.0,,1.0,1.0,1.0,2.0,,3.0,,2.0,,,,2.0,,,,,,1.0,,,,,,,,,
10382237,home,FC Emmen,Julius Dirksen,julius-dirksen,J. Dirksen,D,185,74,M,1001943,EUR,1044144000,D,24,24,True,17.0,12.0,2.0,1.0,2.0,5.0,10.0,12.0,3.0,,21.0,28.0,6.7,6.0,0,,,26,,2.0,2.0,1.0,,,1.0,1.0,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
10382237,home,FC Emmen,Jeremy Antonisse,jeremy-antonisse,J. Antonisse,F,177,141,M,1092638,EUR,1017360000,M,57,57,True,5.0,5.0,,,2.0,2.0,3.0,4.0,,,9.0,14.0,6.6,3.0,1,Jeremy,Antonisse,7,1.0,3.0,3.0,1.0,,,,,2.0,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,
