match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,player_firstName,player_lastName,stat_fouls,stat_shotOffTarget,stat_outfielderBlock,captain,stat_blockedScoringAttempt,stat_wonTackle,stat_bigChanceCreated,stat_bigChanceMissed,player_sofascoreId,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalOffside,stat_goals
12117355,away,Cruzeiro,Matheus Pereira,matheus-pereira,M. Pereira,M,10,175,14140,M,377238,EUR,831254400,F,10,10,False,38.0,32.0,,,0.0,19.0,21.0,14.0,19.0,2.0,90.0,50.0,6.7,9.0,0.0509623,0,,2.0,1.0,,1.0,3.0,4.0,,1.0,1.0,1.0,,,,,1.0,2.0,,,1.0,,,2.0,,2.0,,,,,,matheus_pereira,,,,,
12117355,away,Cruzeiro,Vitinho,amorim-de-assis-vitor-hugo,Vitinho,M,22,173,691,M,1836052,EUR,1077062400,M,22,22,True,15.0,14.0,,,0.0,6.0,6.0,8.0,9.0,,50.0,22.0,6.7,2.0,0.00210214,1,,,,,,1.0,1.0,1.0,,,,,1.0,,,1.0,1.0,0.0291,,,,,,1.0,,,,,,,,,,,,
12117355,away,Cruzeiro,Fabrizio Peralta,peralta-fabrizio,F. Peralta,M,16,178,580,M,1386893,EUR,1028246400,M,33,33,True,20.0,12.0,2.0,1.0,0.0,10.0,17.0,2.0,3.0,2.0,34.0,25.0,6.4,9.0,0.00029095,0,,,,1.0,,3.0,2.0,,,2.0,1.0,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,
12117355,away,Cruzeiro,Lautaro Díaz,lautaro-diaz,L. Díaz,F,19,181,1860,M,992093,EUR,895708800,F,26,26,True,1.0,,,,0.0,,,,1.0,,19.0,4.0,6.6,3.0,,0,,,,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
12117355,away,Cruzeiro,Weverton,weverton,Weverton,D,4,183,322,M,1105062,EUR,1045526400,D,44,44,True,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,18.0,2.0,6.6,,1.49e-06,0,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,Weverton,,,,,,,,,,,,,,,
12117355,away,Cruzeiro,Anderson,anderson,Anderson,G,12,190,353,M,942061,EUR,889056000,G,98,98,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117355,away,Cruzeiro,Léo Aragão,leo-aragao,L. Aragão,G,41,192,775,M,1488035,EUR,1019174400,G,41,41,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,Leonardo,,,,,,,,,,,,,,,
12117355,away,Cruzeiro,Wesley Gasolina,wesley-gasolina,Wesley Gasolina,D,52,170,312,M,994479,EUR,952905600,D,2,2,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117355,away,Cruzeiro,Pedrão,pedrao,Pedrão,D,35,186,381,M,1217828,EUR,1073347200,D,35,35,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117355,away,Cruzeiro,Japa,joao-wellington-japa,Japa,M,77,177,1249,M,1459623,EUR,1073001600,M,77,77,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117355,away,Cruzeiro,Kaique Kenji,kenji,K. Kenji,M,70,178,1279,M,1647579,EUR,1138579200,F,69,69,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117355,away,Cruzeiro,Jhosefer,januario-jhosefer-raphael,Jhosefer,M,21,170,484,M,1868440,EUR,1078704000,M,58,58,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117355,away,Cruzeiro,Arthur Viana,arthur-rodrigues-viana,Arthur Viana,F,20,180,178,M,1633843,EUR,1081728000,M,68,68,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
