match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_bigChanceCreated,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_penaltyConceded,stat_fouls,stat_keyPass,stat_aerialWon,stat_aerialLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_totalTackle,captain,stat_wonTackle,stat_shotOffTarget,stat_goals,stat_blockedScoringAttempt,player_sofascoreId,stat_bigChanceMissed,stat_totalOffside,stat_penaltyWon,stat_errorLeadToAGoal,stat_penaltyMiss
10408259,home,Almería,Fernando Martínez,fernando-martinez,F. Martínez,G,13,185,172,M,139925,EUR,644976000,G,13,13,False,26.0,8.0,23.0,5.0,5.0,7.0,3.0,19.0,1.0,1.0,7.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,90.0,37.0,7.0,18.0,0.0,0.0,0.00073838,0,0.5762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408259,home,Almería,Houboulang Mendes,houboulang-mendes,H. Mendes,D,17,183,116,M,845119,EUR,894240000,D,24,24,False,20.0,14.0,7.0,2.0,9.0,11.0,6.0,13.0,,3.0,3.0,,,,,,,,,90.0,44.0,6.3,14.0,0.0,0.0,0.0434259,0,,,,1.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,
10408259,home,Almería,Rodrigo Ely,rodrigo-ely,R. Ely,D,5,188,877,M,168745,EUR,752284800,D,19,19,False,18.0,16.0,1.0,,11.0,12.0,5.0,6.0,4.0,8.0,,,,,,,,,,90.0,30.0,6.7,2.0,0.0,0.0,0.00148848,0,,,,,,,,,,,1.0,,,,,,4.0,,,,,,,,,,,,,,,,
10408259,home,Almería,Srđan Babić,srdan-babic,S. Babić,D,6,195,634,M,280815,EUR,830131200,D,22,22,False,28.0,26.0,4.0,3.0,24.0,24.0,2.0,4.0,1.0,4.0,2.0,,,,,,,,,90.0,34.0,6.4,2.0,0.0,0.0,0.00258253,0,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
10408259,home,Almería,Sergio Akieme,sergio-akieme,S. Akieme,D,18,175,293,M,827942,EUR,882230400,D,15,15,False,27.0,21.0,2.0,,13.0,17.0,9.0,12.0,3.0,3.0,4.0,,,,,,,,,90.0,51.0,6.7,12.0,0.0114,0.0962,0.147966,1,,,,,2.0,1.0,3.0,,1.0,,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,
10408259,home,Almería,César de la Hoz,cesar-de-la-hoz,C. de la Hoz,M,,179,47,M,233328,EUR,701913600,M,6,6,False,21.0,14.0,8.0,4.0,5.0,7.0,9.0,14.0,5.0,4.0,4.0,,,,,,,,,90.0,34.0,6.9,7.0,0.0,0.0,0.00690548,0,,,,,,,3.0,,,1.0,1.0,1.0,,1.0,2.0,1.0,2.0,1.0,1.0,1.0,,2.0,True,2.0,,,,,,,,,
10408259,home,Almería,Gonzalo Melero,gonzalo-melero,G. Melero,M,16,183,159,M,789886,EUR,757468800,M,3,3,False,13.0,12.0,1.0,1.0,9.0,10.0,3.0,3.0,4.0,,3.0,3.0,,,,,,,,64.0,20.0,6.8,3.0,0.0386,0.142,0.010883,1,,,,,,,3.0,,1.0,,,,1.0,,1.0,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,
10408259,home,Almería,Léo Baptistão,leo-baptistao,Léo Baptistão,M,12,181,560,M,252857,EUR,714787200,M,12,12,False,16.0,8.0,4.0,,4.0,5.0,4.0,11.0,4.0,1.0,3.0,1.0,,,,,,,,64.0,29.0,7.4,11.0,0.1421,0.7327,0.180235,3,,,,,,,9.0,1.0,,,,2.0,1.0,,4.0,2.0,1.0,2.0,2.0,,2.0,2.0,,2.0,1.0,1.0,,,,,,,
10408259,home,Almería,Lucas Robertone,lucas-robertone,L. Robertone,M,8,173,656,M,848926,EUR,858643200,M,5,5,False,21.0,18.0,3.0,2.0,5.0,5.0,13.0,16.0,5.0,2.0,7.0,2.0,,,,,,,,84.0,34.0,6.9,5.0,0.0547,0.2834,0.0185504,1,,,,,,,6.0,,,,,1.0,,,1.0,,1.0,3.0,3.0,1.0,1.0,1.0,,1.0,,,,,,,,,
10408259,home,Almería,Adrián Embarba,adrian-embarba,A. Embarba,M,23,173,477,M,346516,EUR,705196800,M,10,10,False,12.0,7.0,4.0,1.0,3.0,3.0,4.0,16.0,7.0,,3.0,4.0,,,,,,,,72.0,35.0,6.9,16.0,0.1071,0.4539,0.00707289,2,,,,,7.0,,10.0,2.0,1.0,,,1.0,,,1.0,1.0,,4.0,4.0,2.0,1.0,1.0,,1.0,,1.0,1.0,,,,,,
