match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_aerialWon,stat_totalContest,stat_wonContest,stat_fouls,stat_keyPass,stat_accurateCross,stat_onTargetScoringAttempt,player_firstName,player_lastName,stat_shotOffTarget,stat_blockedScoringAttempt,player_sofascoreId,stat_totalOffside,stat_goodHighClaim,stat_hitWoodwork,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed,stat_goals
11451137,home,Başakşehir FK,Muhammed Şengezer,muhammed-sengezer,M. Şengezer,G,16,185,464,M,827418,EUR,852422400,G,16,16,False,25.0,19.0,13.0,7.0,16.0,16.0,3.0,9.0,1.0,4.0,1.0,3.0,90.0,31.0,6.7,6.0,0.0,0.0,0.00046369,0,-0.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11451137,home,Başakşehir FK,Ömer Ali Şahiner,omer-ali-sahiner,Ö. A. Şahiner,D,42,175,88,M,103912,EUR,694310400,D,42,42,False,61.0,52.0,7.0,4.0,34.0,39.0,18.0,25.0,1.0,9.0,,,90.0,83.0,7.2,14.0,0.0,0.0,0.0464849,0,,True,3.0,1.0,3.0,3.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
11451137,home,Başakşehir FK,Léo Duarte,leo-duarte,L. Duarte,D,5,183,505,M,839982,EUR,837561600,D,5,5,False,96.0,86.0,6.0,1.0,54.0,58.0,32.0,38.0,5.0,7.0,,,90.0,109.0,7.3,12.0,0.0,0.0,0.0575645,0,,,,,2.0,6.0,,,,3.0,,,,,3.0,4.0,3.0,1.0,1.0,,,,,,,,,,,,,,
11451137,home,Başakşehir FK,Ousseynou Ba,ousseynou-ba,O. Ba,D,27,192,385,M,889430,EUR,816048000,D,27,27,False,53.0,49.0,2.0,2.0,37.0,38.0,12.0,15.0,2.0,2.0,,,43.0,57.0,5.9,4.0,0.0,0.0,0.00456162,0,,,,,2.0,3.0,,,,,1.0,1.0,,,2.0,,,2.0,,,,,,,,,,,,,,,
11451137,home,Başakşehir FK,Cemali Sertel,sertel-cemali,C. Sertel,D,19,186,55,M,929956,EUR,947116800,D,88,88,False,57.0,55.0,4.0,4.0,43.0,44.0,12.0,13.0,1.0,5.0,,,90.0,64.0,6.8,3.0,0.0,0.0,0.00511745,0,,,,,1.0,2.0,,,1.0,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
11451137,home,Başakşehir FK,Mehdi Abeid,mehdi-abeid,M. Abeid,M,,180,913,M,73056,EUR,713059200,M,19,19,False,26.0,23.0,1.0,,16.0,18.0,7.0,10.0,,1.0,,,63.0,36.0,6.4,7.0,0.0,0.0,0.00506921,0,,,2.0,,5.0,2.0,1.0,1.0,1.0,1.0,2.0,,1.0,,,,,4.0,,,,,,,,,,,,,,,
11451137,home,Başakşehir FK,Berkay Özcan,berkay-ozcan,B. Özcan,M,8,178,161,M,806964,EUR,887500800,M,10,10,False,54.0,51.0,1.0,,24.0,24.0,27.0,31.0,1.0,6.0,,,89.0,65.0,6.4,8.0,0.0,0.0,0.083995,0,,,1.0,2.0,8.0,2.0,1.0,3.0,,2.0,,,,,,3.0,2.0,1.0,,,,,,,,,,,,,,,
11451137,home,Başakşehir FK,Deniz Türüç,deniz-turuc,D. Türüç,M,9,175,292,M,252207,EUR,728265600,M,23,23,False,13.0,13.0,,,7.0,7.0,7.0,8.0,,3.0,,,45.0,20.0,7.1,1.0,0.0548,0.1978,0.183053,1,,,2.0,,1.0,3.0,,,,,1.0,1.0,,2.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,
11451137,home,Başakşehir FK,João Figueiredo,joao-figueiredo,J. Figueiredo,F,25,179,1278,M,841012,EUR,833155200,M,25,25,False,21.0,17.0,,,4.0,4.0,13.0,17.0,1.0,4.0,,,89.0,40.0,7.2,7.0,0.0946,0.0,0.0660284,2,,,,1.0,5.0,9.0,2.0,,,1.0,2.0,,2.0,5.0,,3.0,2.0,1.0,4.0,,,,,1.0,1.0,,,,,,,,
11451137,home,Başakşehir FK,Serdar Gürler,serdar-gurler,S. Gürler,M,7,176,112,M,96520,EUR,684806400,M,7,7,False,31.0,25.0,1.0,,10.0,11.0,15.0,22.0,,4.0,,,90.0,52.0,7.7,10.0,0.0466,0.0,0.0510274,2,,,2.0,1.0,1.0,8.0,,,,,,,2.0,2.0,1.0,5.0,5.0,,3.0,,,,,1.0,1.0,,,,,,,,
11451137,home,Başakşehir FK,Krzysztof Piątek,krzysztof-piatek,K. Piątek,F,9,183,13169,M,558738,EUR,804556800,F,9,9,False,15.0,13.0,,,6.0,6.0,7.0,9.0,1.0,2.0,,,63.0,25.0,7.0,4.0,0.2344,0.0,0.0506553,4,,,,2.0,3.0,5.0,,,,,1.0,1.0,1.0,1.0,3.0,1.0,,,1.0,,,,,2.0,2.0,pjona_9,,,,,,,
11451137,home,Başakşehir FK,Lucas Lima,lucas-lima,L. Lima,D,3,178,140,M,248529,EUR,687052800,D,60,60,True,26.0,21.0,6.0,4.0,7.0,8.0,14.0,19.0,,1.0,,,45.0,32.0,6.7,7.0,0.0,0.0,0.0232834,0,,,1.0,,1.0,2.0,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,
11451137,home,Başakşehir FK,Dimitrios Pelkas,dimitrios-pelkas,D. Pelkas,M,10,175,1186,M,139304,EUR,751593600,M,14,14,True,10.0,9.0,,,3.0,3.0,6.0,10.0,,1.0,,,27.0,18.0,6.8,4.0,0.0652,0.1143,0.00226205,2,,,3.0,,2.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,1.0,,,1.0,,,1.0,,,1.0,,,,,,
