match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAShot,stat_crossNotClaimed,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_bigChanceCreated,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_bigChanceMissed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_interceptionWon,stat_expectedGoals,stat_outfielderBlock,stat_fouls,stat_totalCross,stat_challengeLost,stat_totalContest,stat_wonContest,player_firstName,player_lastName,stat_goalAssist,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,captain,stat_accurateCross,stat_totalOffside,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
11406841,home,Bologna,Łukasz Skorupski,lukasz-skorupski,Ł. Skorupski,G,1,187,4421,M,lukaszskorupski28,44906,EUR,673401600,G,28,28,False,26.0,15.0,14.0,3.0,14.0,16.0,1.0,10.0,10.0,2.0,1.0,1.0,3.0,90.0,37.0,6.7,12.0,0.00108642,0,0.9932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406841,home,Bologna,Stefan Posch,stefan-posch,S. Posch,D,4,188,1364,M,,355486,EUR,863568000,D,3,3,False,41.0,35.0,7.0,4.0,26.0,28.0,9.0,13.0,,,,,,75.0,73.0,7.4,14.0,0.299286,0,,1.0,5.0,2.0,8.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11406841,home,Bologna,Sam Beukema,sam-beukema,S. Beukema,D,31,188,2235,M,,898815,EUR,911260800,D,31,31,False,59.0,52.0,6.0,1.0,45.0,45.0,7.0,14.0,2.0,,,,,90.0,70.0,6.9,7.0,0.00157687,2,,3.0,2.0,3.0,2.0,,,6.0,,,,,,1.0,1.0,1.0,1.0,0.3765,,,,,,,,,,,,,,,,,
11406841,home,Bologna,Jhon Lucumí,jhon-lucumi,J. Lucumí,D,26,185,4571,M,,818481,EUR,898819200,D,26,26,False,60.0,52.0,5.0,3.0,40.0,42.0,12.0,18.0,4.0,,,,,90.0,68.0,7.3,8.0,0.00386012,0,,1.0,,3.0,2.0,,,3.0,2.0,2.0,,,,,,,1.0,,1.0,2.0,,,,,,,,,,,,,,,
11406841,home,Bologna,Victor Kristiansen,kristiansen-victor,V. Kristiansen,D,16,181,1305,M,,1092409,EUR,1039996800,D,15,15,False,49.0,41.0,4.0,1.0,26.0,30.0,15.0,20.0,1.0,,,,,90.0,71.0,6.7,13.0,0.0265302,0,,1.0,,5.0,2.0,2.0,,1.0,1.0,,1.0,,1.0,,,,1.0,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,
11406841,home,Bologna,Giovanni Fabbian,giovanni-fabbian,G. Fabbian,M,80,186,1385,M,,1067204,EUR,1042502400,M,80,80,False,23.0,20.0,,,9.0,11.0,11.0,12.0,3.0,,,,,81.0,39.0,8.3,10.0,0.289454,2,,3.0,1.0,5.0,5.0,,1.0,,3.0,1.0,4.0,1.0,3.0,,1.0,,1.0,0.5174,,,,,2.0,,,,1.0,1.0,1.0,0.6199,,,,,
11406841,home,Bologna,Remo Freuler,remo-freuler,R. Freuler,M,8,181,1928,M,,115516,EUR,703296000,M,8,8,False,51.0,46.0,,,29.0,30.0,17.0,21.0,4.0,,,,,82.0,58.0,7.3,7.0,0.0309947,1,,3.0,2.0,7.0,4.0,,,2.0,2.0,1.0,2.0,,1.0,,,,,0.2292,,2.0,,2.0,,,,,,1.0,1.0,0.3634,,,,,
11406841,home,Bologna,Riccardo Orsolini,riccardo-orsolini,R. Orsolini,M,7,183,5740,M,,793645,EUR,854064000,M,7,7,False,25.0,18.0,1.0,1.0,12.0,16.0,7.0,15.0,5.0,,,,,75.0,46.0,7.0,17.0,0.0175508,2,,,1.0,4.0,4.0,,1.0,2.0,1.0,,2.0,2.0,1.0,1.0,2.0,,,0.2048,,2.0,6.0,,2.0,,,,1.0,,,,True,1.0,1.0,,
11406841,home,Bologna,Lewis Ferguson,lewis-ferguson,L. Ferguson,M,19,181,1972,M,,907152,EUR,935452800,M,19,19,False,46.0,34.0,1.0,,22.0,23.0,12.0,23.0,3.0,,,,,90.0,53.0,7.0,12.0,0.0387348,1,,,1.0,2.0,7.0,,,,2.0,1.0,,4.0,1.0,,,1.0,,0.0322,,2.0,,,,,,,,,,,,,1.0,,
11406841,home,Bologna,Dan Ndoye,dan-ndoye,D. Ndoye,M,14,184,4721,M,,944327,EUR,972432000,M,11,11,False,14.0,10.0,1.0,,4.0,4.0,6.0,14.0,2.0,,,,,82.0,30.0,6.7,11.0,0.0144616,2,,1.0,,7.0,4.0,,,,,,1.0,3.0,,,,1.0,,0.0921,,1.0,4.0,3.0,3.0,1.0,,,,1.0,,0.1834,,,,,
