match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,player_firstName,player_lastName,stat_aerialWon,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_interceptionWon,stat_clearanceOffLine,stat_fouls,stat_totalOffside,stat_goals,stat_accurateCross,stat_dispossessed,stat_blockedScoringAttempt,captain,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,player_sofascoreId
13455807,home,Preston North End,Freddie Woodman,freddie-woodman,F. Woodman,G,28,187.0,5393,M,284417,EUR,857433600,G,1,1,False,27.0,16.0,19.0,8.0,0.0,11.0,11.0,5.0,16.0,2.0,10.0,1.0,1.0,1.0,90.0,33.0,7.2,11.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13455807,home,Preston North End,Brad Potts,brad-potts,B. Potts,M,44,188.0,52,M,252999,EUR,773193600,D,44,44,False,28.0,19.0,6.0,1.0,1.0,9.0,9.0,10.0,20.0,1.0,3.0,,,,90.0,43.0,8.0,12.0,2,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,
13455807,home,Preston North End,Kaine Kesler-Hayden,kaine-hayden,K. Kesler-Hayden,M,20,175.0,289,M,1099074,EUR,1035331200,D,29,29,False,43.0,35.0,10.0,3.0,0.0,20.0,20.0,15.0,23.0,6.0,5.0,,,,90.0,64.0,7.2,12.0,1,,,2.0,7.0,1.0,,1.0,,1.0,3.0,2.0,2.0,,,,,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,
13455807,home,Preston North End,Liam Lindsay,liam-lindsay,L. Lindsay,D,6,193.0,77,M,331219,EUR,813456000,D,6,6,False,31.0,28.0,2.0,1.0,0.0,19.0,19.0,9.0,12.0,6.0,3.0,,,,90.0,47.0,8.0,3.0,0,,4.0,7.0,8.0,1.0,,,,3.0,1.0,,,2.0,,,,5.0,,,,2.0,1.0,3.0,1.0,,,,,,,,,
13455807,home,Preston North End,Lewis Gibson,lewis-gibson,L. Gibson,D,19,186.0,80,M,867443,EUR,963964800,D,19,19,False,26.0,19.0,3.0,1.0,0.0,9.0,12.0,10.0,14.0,4.0,3.0,,,,90.0,39.0,7.1,7.0,0,,,,2.0,,,,,,1.0,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,
13455807,home,Preston North End,Robbie Brady,robbie-brady,R. Brady,M,11,175.0,409,M,267621,EUR,695347200,D,11,11,False,33.0,15.0,4.0,3.0,0.0,5.0,9.0,10.0,29.0,2.0,6.0,,,,71.0,51.0,7.7,25.0,1,5.0,,4.0,8.0,,,,1.0,,1.0,1.0,,,,,,5.0,3.0,2.0,,,,3.0,,1.0,,,,,,,,
13455807,home,Preston North End,Ryan Ledson,ryan-ledson,R. Ledson,M,4,175.0,59,M,361322,EUR,871948800,M,18,18,False,17.0,10.0,,,0.0,5.0,5.0,6.0,14.0,2.0,3.0,,,,84.0,34.0,7.0,10.0,0,2.0,,6.0,7.0,1.0,,,,1.0,5.0,4.0,1.0,1.0,1.0,,,1.0,1.0,,,1.0,,4.0,,,1.0,,,,,,,
13455807,home,Preston North End,Stefán Teitur Þórðarson,stefan-teitur-thordarson,S. T. Þórðarson,M,23,187.0,144,M,858282,EUR,908496000,M,22,22,False,27.0,22.0,7.0,4.0,0.0,7.0,7.0,15.0,23.0,,7.0,,,,90.0,48.0,6.8,12.0,2,3.0,1.0,6.0,6.0,2.0,,1.0,,,1.0,,1.0,3.0,,,,,3.0,2.0,,1.0,,1.0,,,,1.0,1.0,,,,,
13455807,home,Preston North End,Ali McCann,alistair-mccann,A. McCann,M,8,176.0,112,M,891870,EUR,944265600,M,8,8,False,30.0,20.0,4.0,2.0,0.0,10.0,10.0,10.0,20.0,2.0,6.0,,,,90.0,50.0,7.6,13.0,1,,,3.0,10.0,1.0,,1.0,,,7.0,5.0,2.0,2.0,,,,1.0,,,,1.0,,2.0,1.0,,,,,True,,,,
13455807,home,Preston North End,Milutin Osmajić,milutin-osmajic,M. Osmajić,F,28,186.0,449,M,928047,EUR,932860800,F,28,28,False,6.0,4.0,1.0,,0.0,,,4.0,6.0,2.0,4.0,,,,84.0,21.0,7.2,8.0,2,,2.0,7.0,3.0,1.0,,1.0,1.0,,,,3.0,2.0,,,,,2.0,1.0,,,,3.0,1.0,1.0,,1.0,,,,,,
