match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelWon,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_keyPass,stat_aerialLost,stat_duelLost,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_wasFouled,stat_expectedGoalsOnTarget,stat_challengeLost,stat_dispossessed,stat_fouls,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_penaltyWon,stat_bigChanceCreated,stat_bigChanceMissed,stat_goals,stat_totalOffside,stat_penaltyMiss,stat_penaltySave,stat_penaltyFaced,stat_penaltyConceded
11540876,home,Pendikspor,Erdem Canpolat,Erdem Canpolat,,erdem-canpolat,E. Canpolat,G,1,194,88,M,1066726,EUR,987120000,G,1,1,False,29.0,20.0,22.0,13.0,0.0,10.0,12.0,10.0,17.0,2.0,9.0,1.0,2.0,3.0,2.0,90.0,42.0,7.1,9.0,0.00629995,0,0.1767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11540876,home,Pendikspor,Erdem Özgenç,,,erdem-ozgenc,E. Özgenç,D,22,177,9,M,60332,EUR,461980800,D,22,22,False,25.0,20.0,2.0,2.0,0.0,6.0,8.0,16.0,23.0,,2.0,,,,,61.0,44.0,7.1,11.0,0.129948,1,,True,6.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0345,2.0,,,,,,,,,,,,,,,,,,,,,
11540876,home,Pendikspor,Alpaslan Öztürk,,,alpaslan-ozturk,A. Öztürk,D,33,184,46,M,148857,EUR,742780800,D,33,33,False,37.0,23.0,11.0,2.0,0.0,17.0,20.0,6.0,17.0,4.0,2.0,,,,,90.0,48.0,7.3,15.0,0.0111958,1,,,,,8.0,10.0,,,1.0,,,0.0227,,2.0,2.0,1.0,1.0,2.0,0.6482,,,,,,,,,,,,,,,
11540876,home,Pendikspor,Welinton,,,welinton,Welinton,D,,181,86,M,76529,EUR,608169600,D,23,23,False,42.0,29.0,12.0,3.0,0.0,19.0,23.0,11.0,20.0,6.0,4.0,,,,,90.0,60.0,6.9,14.0,0.0490078,1,,,1.0,1.0,6.0,8.0,1.0,2.0,1.0,,,0.0463,,3.0,6.0,,2.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,
11540876,home,Pendikspor,Emre Taşdemir,,,emre-tasdemir,E. Taşdemir,D,33,176,74,M,190191,EUR,807840000,D,3,3,False,25.0,18.0,6.0,3.0,0.0,5.0,8.0,14.0,24.0,4.0,5.0,,,,,61.0,49.0,6.8,17.0,0.0898094,0,,,7.0,1.0,,6.0,,,,,2.0,,2.0,,4.0,,,4.0,,,1.0,2.0,3.0,2.0,,,,,,,,,,
11540876,home,Pendikspor,Arnaud Lusamba,,,arnaud-lusamba,A. Lusamba,M,11,180,284,M,361342,EUR,852336000,M,66,66,False,42.0,35.0,2.0,1.0,0.0,16.0,16.0,19.0,26.0,1.0,9.0,,,,,90.0,52.0,6.7,8.0,0.0114552,1,,,,,,3.0,,3.0,1.0,1.0,,0.0422,,1.0,4.0,,,2.0,,2.0,1.0,,,,1.0,,,,,,,,,
11540876,home,Pendikspor,Badou Ndiaye,,,badou-ndiaye,B. Ndiaye,M,,180,427,M,228342,EUR,656985600,M,5,5,False,21.0,18.0,2.0,2.0,0.0,3.0,4.0,15.0,17.0,,5.0,,,,,78.0,34.0,6.6,8.0,0.0373852,0,,,,,,6.0,,1.0,2.0,,2.0,,,1.0,5.0,,,3.0,,1.0,2.0,,2.0,1.0,,,,,,,,,,
11540876,home,Pendikspor,Halil Akbunar,,,halil-akbunar,H. Akbunar,M,77,170,140,M,217782,EUR,752803200,M,11,11,False,31.0,24.0,2.0,1.0,0.0,2.0,2.0,22.0,35.0,,4.0,,,,,88.0,50.0,7.4,18.0,0.239974,1,,,6.0,,3.0,6.0,1.0,,,,1.0,0.0244,1.0,,5.0,,1.0,2.0,,1.0,3.0,1.0,1.0,1.0,,1.0,,,,,,,,
11540876,home,Pendikspor,Gökcan Kaya,,,gokcan-kaya,G. Kaya,M,58,180,19,M,342437,EUR,807753600,M,58,58,False,31.0,25.0,3.0,1.0,1.0,6.0,7.0,20.0,27.0,3.0,4.0,,,,,90.0,48.0,7.7,9.0,0.54373,1,,,3.0,1.0,,6.0,,1.0,4.0,2.0,1.0,0.1055,3.0,,,,,1.0,,,,,1.0,1.0,1.0,,1.0,,,,,,,
11540876,home,Pendikspor,Mame Thiam,,,mame-thiam,M. Thiam,F,17,185,1076,M,180981,EUR,718588800,M,27,27,False,22.0,16.0,2.0,2.0,0.0,3.0,4.0,13.0,19.0,1.0,1.0,,,,,90.0,34.0,6.7,9.0,0.0568372,3,,,1.0,,6.0,8.0,,,1.0,,1.0,1.1787,,4.0,8.0,3.0,,1.0,1.8384,,,3.0,1.0,,,,,1.0,1.0,1.0,1.0,,,
