match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_shotValueNormalized,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_interceptionWon,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_blockedScoringAttempt,stat_accurateCross,stat_bigChanceMissed,captain,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_hitWoodwork,stat_outfielderBlock,player_sofascoreId,stat_penaltyWon,stat_penaltyFaced,stat_penaltyConceded
14064406,home,Metz,Jonathan Fischer,jonathan-fischer,J. Fischer,G,1,197.0,267,M,1004550,EUR,999993600,G,1,1,False,45.0,31.0,24.0,10.0,0.0,28.0,30.0,3.0,15.0,1.0,1.0,1.0,7.0,1.0,2.0,3.0,1.0,90.0,53.0,7.5,14.0,0.00056148,0.669,0,0.2404,0.03,0.0,-0.04,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14064406,home,Metz,Koffi Kouao,kouao-koffi,K. Kouao,D,39,173.0,315,M,867575,EUR,895622400,D,39,39,False,51.0,44.0,9.0,5.0,0.0,28.0,30.0,16.0,21.0,,4.0,,5.0,,,,,90.0,74.0,6.8,13.0,0.0119511,,1,,0.18,0.21,-0.16,,2.0,1.0,4.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0229,-0.03,,,,,,,,,,,,,,,,,,,,,
14064406,home,Metz,Jean-Philippe Gbamin,jean-philippe-gbamin,J. Gbamin,M,5,186.0,1191,M,326343,EUR,811987200,D,5,5,False,54.0,48.0,9.0,5.0,1.0,34.0,35.0,14.0,19.0,,6.0,1.0,7.0,,,,,90.0,64.0,7.1,7.0,0.0239483,,0,,0.26,0.25,-0.15,,,3.0,6.0,1.0,,,2.0,1.0,,1.0,,,4.0,3.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
14064406,home,Metz,Terry Yegbe,terry-yegbe,T. Yegbe,D,15,195.0,357,M,1200442,EUR,980380800,D,15,15,False,50.0,44.0,12.0,8.0,0.0,34.0,38.0,10.0,12.0,2.0,3.0,6.0,1.0,,,,,90.0,61.0,7.0,6.0,0.0052214,,0,,0.06,0.02,-0.08,,,,,,,,,,,1.0,,,,,,2.0,,,Terry Yegbe,,,,,,,,,,,,,,
14064406,home,Metz,Maxime Colin,maxime-colin,M. Colin,D,2,179.0,51,M,128285,EUR,690163200,D,2,2,False,42.0,37.0,2.0,2.0,0.0,25.0,27.0,12.0,15.0,,2.0,1.0,2.0,,,,,90.0,57.0,6.4,6.0,0.00466252,,0,,-0.02,0.03,-0.21,,,,3.0,1.0,1.0,,2.0,2.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
14064406,home,Metz,Alpha Touré,alpha-toure,A. Touré,M,12,180.0,636,M,1597191,EUR,1138147200,M,12,12,False,35.0,30.0,1.0,,0.0,28.0,31.0,2.0,4.0,,9.0,,4.0,,,,,89.0,50.0,7.1,5.0,0.0261403,,1,,0.05,0.14,-0.05,,,1.0,4.0,2.0,,,5.0,3.0,,2.0,0.0102,-0.03,2.0,2.0,,2.0,1.0,1.0,Alpha,Touré,1.0,,,,,,,,,,,,
14064406,home,Metz,Jessy Deminguet,jessy-deminguet,J. Deminguet,M,20,178.0,128,M,902657,EUR,884131200,M,20,20,False,21.0,21.0,1.0,1.0,0.0,13.0,13.0,8.0,8.0,,5.0,,4.0,,,,,77.0,33.0,6.7,4.0,0.0181818,,1,,0.14,0.09,-0.05,,1.0,3.0,5.0,,1.0,,2.0,,1.0,2.0,0.0424,-0.2,2.0,1.0,,,,,,,1.0,,,,,,,,,,,,
14064406,home,Metz,Cheick Tidiane Sabaly,cheick-tidiane-sabaly,C. T. Sabaly,F,14,168.0,3796,M,942834,EUR,920505600,M,14,14,False,24.0,17.0,2.0,2.0,0.0,5.0,8.0,12.0,16.0,1.0,7.0,,1.0,,,,,77.0,47.0,6.4,17.0,0.0606809,,1,,-0.07,0.43,-0.11,,6.0,3.0,9.0,1.0,2.0,1.0,,,4.0,3.0,0.0863,-0.52,3.0,3.0,,,3.0,1.0,,,,2.0,1.0,,,,,,,,,,
14064406,home,Metz,Gauthier Hein,gauthier-hein,G. Hein,M,10,170.0,632,M,842391,EUR,839376000,M,10,10,False,51.0,47.0,12.0,11.0,0.0,26.0,27.0,21.0,24.0,,3.0,,6.0,,,,,89.0,67.0,7.8,13.0,0.14588,,1,,0.25,0.3,-0.15,,10.0,1.0,3.0,1.0,,,2.0,1.0,1.0,1.0,0.7884,0.32,,,1.0,,1.0,1.0,,,,2.0,,True,1.0,1.0,0.8162,,,,,,
14064406,home,Metz,Georgiy Tsitaishvili,giorgi-tsitaishvili,G. Tsitaishvili,M,7,171.0,1454,M,875677,EUR,974505600,M,7,7,False,18.0,13.0,,,0.0,8.0,8.0,5.0,10.0,,4.0,1.0,1.0,,,,,90.0,37.0,6.6,15.0,0.00285401,,2,,-0.05,0.07,0.16,,5.0,,3.0,,,1.0,,,2.0,3.0,0.0966,-0.14,3.0,1.0,,,1.0,,,,1.0,,,,,,,1.0,1.0,,,,
