match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,captain,stat_totalCross,stat_accurateCross,stat_shotOffTarget,stat_hitWoodwork,stat_wasFouled,stat_expectedGoals,stat_totalContest,stat_wonContest,stat_keyPass,stat_dispossessed,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_totalOffside,stat_penaltyFaced,stat_punches,stat_outfielderBlock,stat_bigChanceMissed,stat_goalAssist,stat_bigChanceCreated,stat_penaltyConceded
11369945,home,Standard Liège,Arnaud Bodart,bodart-arnaud,A. Bodart,G,16,184,413,M,878898,EUR,889574400,G,16,16,False,35.0,20.0,22.0,7.0,16.0,19.0,4.0,16.0,1.0,1.0,9.0,1.0,5.0,7.0,90.0,50.0,8.0,15.0,0.00129707,0,1.245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369945,home,Standard Liège,Lucas Noubi,lucas-noubi,L. Noubi,D,4,184,322,M,1127337,EUR,1105747200,D,51,51,False,80.0,57.0,19.0,4.0,47.0,51.0,10.0,29.0,6.0,2.0,4.0,,,,90.0,89.0,6.2,25.0,0.00369845,0,,Lucas Noubi,,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
11369945,home,Standard Liège,Zinho Vanheusden,zinho-vanheusden,Z. Vanheusden,D,,187,690,M,881024,EUR,933206400,D,4,4,False,58.0,54.0,7.0,4.0,36.0,37.0,19.0,22.0,3.0,1.0,6.0,,,,90.0,69.0,7.0,4.0,0.154957,1,,,,2.0,2.0,6.0,3.0,,2.0,1.0,,,True,1.0,1.0,1.0,1.0,2.0,0.0126,,,,,,,,,,,,,,,,
11369945,home,Standard Liège,Konstantinos Laifis,konstantinos-laifis,K. Laifis,D,34,186,339,M,97061,EUR,737769600,D,34,34,False,39.0,32.0,10.0,5.0,17.0,18.0,15.0,21.0,1.0,1.0,4.0,,,,79.0,55.0,7.2,9.0,0.0135704,0,,,,,,5.0,2.0,3.0,3.0,2.0,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,
11369945,home,Standard Liège,Marlon Fossey,marlon-fossey,M. Fossey,M,13,180,286,M,880762,EUR,905299200,M,13,13,False,23.0,18.0,1.0,1.0,10.0,12.0,8.0,13.0,1.0,,3.0,,,,45.0,32.0,6.5,8.0,0.00579591,0,,,,,1.0,1.0,,1.0,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,
11369945,home,Standard Liège,Aiden O'Neill,aiden-oneill,A. O'Neill,M,21,178,150,M,847938,EUR,899510400,M,24,24,False,53.0,47.0,1.0,1.0,19.0,20.0,28.0,33.0,7.0,1.0,6.0,,,,90.0,72.0,6.7,10.0,0.0495115,2,,,,,,5.0,,,1.0,,1.0,4.0,,,,1.0,,3.0,0.0339,2.0,1.0,,2.0,1.0,,,,,,,,,,,
11369945,home,Standard Liège,Isaac Hayden,isaac-hayden,I. Hayden,M,15,187,827,M,190843,EUR,795830400,M,11,11,False,40.0,37.0,,,16.0,18.0,21.0,22.0,5.0,2.0,1.0,,,,69.0,48.0,6.4,5.0,0.0102144,0,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,
11369945,home,Standard Liège,Moussa Djenepo,moussa-djenepo,M. Djenepo,F,12,177,2122,M,869910,EUR,897868800,M,19,19,False,8.0,8.0,1.0,1.0,3.0,3.0,5.0,5.0,7.0,,2.0,,,,45.0,21.0,6.2,6.0,0.00158535,0,,,,1.0,,2.0,1.0,,,,1.0,2.0,,,,,,1.0,,4.0,1.0,,1.0,,,,,,,,,,,,
11369945,home,Standard Liège,Hayao Kawabe,hayao-kawabe,H. Kawabe,M,6,178,250,M,321001,EUR,810518400,F,6,6,False,22.0,21.0,2.0,2.0,8.0,8.0,14.0,19.0,4.0,,4.0,,,,90.0,43.0,7.1,10.0,0.0712647,3,,,,3.0,,2.0,1.0,,1.0,1.0,3.0,1.0,,5.0,1.0,,,1.0,0.1228,,,2.0,1.0,3.0,,,,,,,,,,,
11369945,home,Standard Liège,Renaud Emond,renaud-emond,R. Emond,F,,186,108,M,331753,EUR,691891200,F,9,9,False,11.0,8.0,1.0,,3.0,5.0,5.0,6.0,6.0,1.0,2.0,,,,54.0,16.0,6.3,4.0,0.0114949,1,,,,4.0,1.0,2.0,2.0,,,,1.0,1.0,,,,1.0,,1.0,0.0553,,,1.0,,,,,,,,,,,,,
