match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialWon,stat_duelLost,stat_duelWon,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,player_sofascoreId,captain,stat_aerialLost,stat_bigChanceCreated,stat_interceptionWon,stat_totalOffside,stat_keyPass,stat_outfielderBlock,stat_wasFouled,stat_totalCross,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_hitWoodwork,stat_challengeLost,stat_accurateCross,stat_goals,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
12501574,home,Venezia,Ionuț Radu,ionut-radu,I. Radu,G,13,188.0,3683,M,815202,EUR,864777600,G,28,28,False,27.0,18.0,21.0,12.0,0.0,11.0,12.0,7.0,15.0,2.0,6.0,1.0,3.0,1.0,90.0,36.0,7.4,9.0,0.00360621,0,0.2593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12501574,home,Venezia,Alessandro Marcandalli,alessandro-marcandalli,A. Marcandalli,D,27,190.0,311,M,1068885,EUR,1035504000,D,16,16,False,16.0,12.0,2.0,1.0,0.0,7.0,8.0,5.0,8.0,4.0,1.0,,,,61.0,25.0,7.0,6.0,0.00511388,1,,,,4.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2254,0.7775,,,,,,,,,,,,,,,,,,,,,,
12501574,home,Venezia,Jay Idzes,jay-idzes,J. Idzes,D,21,190.0,19111,M,933641,EUR,959904000,D,4,4,False,22.0,21.0,1.0,,0.0,15.0,15.0,6.0,7.0,7.0,4.0,,,,90.0,34.0,7.0,2.0,0.0556678,0,,,,1.0,8.0,1.0,,,,,1.0,3.0,,,jayidzes,True,6.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
12501574,home,Venezia,Fali Candé,fali-cande,F. Candé,D,5,184.0,402,M,892430,EUR,885600000,D,2,2,False,45.0,40.0,10.0,5.0,0.0,24.0,24.0,16.0,21.0,5.0,8.0,,,,90.0,65.0,7.3,10.0,0.0147738,0,,,,3.0,4.0,6.0,,,1.0,,,3.0,,,,,1.0,,2.0,,1.0,1.0,3.0,,,,,,,,,,,,,
12501574,home,Venezia,Alessio Zerbin,alessio-zerbin,A. Zerbin,M,7,182.0,1060,M,869888,EUR,920419200,M,24,24,False,17.0,10.0,1.0,,0.0,3.0,5.0,7.0,14.0,2.0,4.0,,,,90.0,52.0,7.0,18.0,0.0206406,0,,,,,7.0,9.0,,,5.0,4.0,3.0,2.0,,,,,1.0,,2.0,,2.0,,3.0,2.0,2.0,3.0,1.0,,,,,,,,,
12501574,home,Venezia,Kike Pérez,kike-perez,K. Pérez,M,71,184.0,312,M,857178,EUR,855878400,M,71,71,False,35.0,27.0,5.0,4.0,0.0,4.0,6.0,23.0,31.0,,4.0,,,,70.0,46.0,6.7,14.0,0.0209071,0,,,,1.0,4.0,2.0,,,1.0,,4.0,1.0,,,,,3.0,,,,,,,2.0,,,,,,,,,,,,
12501574,home,Venezia,Hans Nicolussi Caviglia,hans-nicolussi-caviglia,H. N. Caviglia,M,41,184.0,1622,M,876259,EUR,961286400,M,14,14,False,39.0,28.0,10.0,4.0,0.0,14.0,16.0,14.0,23.0,3.0,5.0,,,,90.0,59.0,7.6,13.0,0.0140345,4,,,,1.0,3.0,3.0,,2.0,,,,,0.2997,0.517,,,1.0,,3.0,,,1.0,2.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,
12501574,home,Venezia,Gianluca Busio,gianluca-busio,G. Busio,M,6,170.0,907,M,896180,EUR,1022544000,M,6,6,False,40.0,31.0,2.0,,0.0,8.0,8.0,23.0,32.0,1.0,4.0,,,,85.0,65.0,6.9,18.0,0.0183488,0,,,,1.0,7.0,8.0,,,3.0,2.0,3.0,,,,,,,,3.0,,,,4.0,,3.0,3.0,,,,,1.0,,,,,
12501574,home,Venezia,Mikael Ellertsson,mikael-ellertsson,M. Ellertsson,M,77,182.0,433,M,933203,EUR,1015804800,M,77,77,False,21.0,19.0,2.0,1.0,1.0,6.0,6.0,13.0,17.0,3.0,1.0,,,,90.0,39.0,7.5,7.0,0.546372,0,,,,,2.0,2.0,,,,,2.0,2.0,,,,,,1.0,,,1.0,,2.0,2.0,,,,,,,,,,,,
12501574,home,Venezia,Gaetano Oristanio,gaetano-oristanio,G. Oristanio,F,21,174.0,968,M,965009,EUR,1033171200,F,11,11,False,9.0,7.0,1.0,,0.0,3.0,3.0,5.0,7.0,,4.0,,,,60.0,20.0,6.7,6.0,0.0151869,1,,,,,5.0,5.0,,,1.0,1.0,2.0,2.0,0.0183,,,,1.0,,,,,,2.0,1.0,1.0,3.0,2.0,,1.0,,,1.0,,,,
