match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_totalClearance,stat_ballRecovery,stat_penaltyConceded,stat_fouls,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_unsuccessfulTouch,stat_possessionLostCtrl,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,player_firstName,player_lastName,stat_aerialWon,stat_wasFouled,stat_challengeLost,stat_totalTackle,stat_blockedScoringAttempt,captain,stat_bigChanceCreated,stat_wonTackle,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_goals,stat_totalOffside,stat_penaltyWon,stat_errorLeadToAShot
14025091,home,Aston Villa,Marco Bizot,marco-bizot,M. Bizot,G,40,194.0,898,M,100390,EUR,668563200,G,40,40,False,18.0,18.0,6.0,6.0,0.0,14.0,14.0,4.0,4.0,1.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,90.0,27.0,5.7,0.00058218,0.219,0,-0.5531,0.04,0.0,-0.64,-0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025091,home,Aston Villa,Matty Cash,matty-cash,M. Cash,D,2,185.0,9380,M,833956,EUR,870912000,D,2,2,False,53.0,47.0,4.0,2.0,0.0,22.0,24.0,25.0,29.0,4.0,1.0,1.0,,1.0,,,,,,,,74.0,78.0,6.0,0.110104,,1,,0.23,-0.29,-0.37,,mattycash622,8.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,15.0,0.0086,1.0,-0.06,,,,,,,,,,,,,,,,,,
14025091,home,Aston Villa,Ezri Konsa,ezri-konsa,E. Konsa,D,4,183.0,3197,M,827679,EUR,877564800,D,4,4,False,85.0,83.0,4.0,3.0,0.0,38.0,39.0,45.0,46.0,1.0,5.0,5.0,,1.0,,,,,,,,90.0,97.0,6.5,0.0324852,,0,,0.28,0.18,-0.48,,,1.0,,,3.0,,,,,,2.0,6.0,,1.0,,,,2.0,1.0,,,,,,,,,,,,,,
14025091,home,Aston Villa,Tyrone Mings,tyrone-mings,T. Mings,D,5,195.0,1992,M,303638,EUR,731980800,D,5,5,False,69.0,64.0,6.0,2.0,0.0,31.0,31.0,33.0,38.0,4.0,2.0,2.0,,1.0,,,,,,,,90.0,76.0,6.1,0.019636,,0,,0.28,0.13,-0.54,,,,,2.0,2.0,,1.0,1.0,,1.0,,5.0,,,,,,,,1.0,1.0,,,,,,,,,,,,
14025091,home,Aston Villa,Ian Maatsen,ian-maatsen,I. Maatsen,D,22,178.0,5464,M,976263,EUR,1015718400,D,22,22,False,64.0,58.0,5.0,4.0,0.0,21.0,22.0,37.0,42.0,2.0,5.0,5.0,,,,,,,,,,84.0,95.0,6.3,0.120907,,1,,0.24,-0.33,-0.46,,maatsen_,9.0,3.0,1.0,2.0,1.0,,,,1.0,1.0,15.0,0.13,2.0,-0.3,,,2.0,,,,1.0,,,,,,,,,,,
14025091,home,Aston Villa,John McGinn,john-mcginn,J. McGinn,M,7,175.0,3895,M,250223,EUR,782438400,M,7,7,False,46.0,38.0,4.0,1.0,0.0,14.0,14.0,24.0,32.0,6.0,1.0,3.0,,2.0,,,,,,,,74.0,63.0,6.6,0.1227,,0,,0.39,0.06,-0.11,,,4.0,,1.0,5.0,1.0,3.0,2.0,,,2.0,17.0,,1.0,,,,,1.0,1.0,2.0,,True,1.0,2.0,,,,,,,,
14025091,home,Aston Villa,Youri Tielemans,youri-tielemans,Y. Tielemans,M,8,177.0,9789,M,331737,EUR,862963200,M,8,8,False,81.0,73.0,11.0,9.0,0.0,18.0,18.0,55.0,63.0,2.0,,5.0,,,,,,,,,,90.0,94.0,7.4,0.046389,,3,,0.39,0.17,-0.09,,youritielemans,1.0,,,4.0,1.0,1.0,1.0,2.0,,,10.0,0.0925,1.0,-0.4,,,,2.0,1.0,1.0,,,,1.0,1.0,1.0,0.2174,,,,,
14025091,home,Aston Villa,Donyell Malen,donyell-malen,D. Malen,F,14,176.0,10886,M,803039,EUR,916704000,M,17,17,False,15.0,10.0,1.0,,0.0,,2.0,10.0,13.0,4.0,,3.0,,,,,,,,,,83.0,25.0,6.0,0.0161864,,2,,-0.28,0.16,-0.15,,donyellmalen,2.0,1.0,,2.0,2.0,3.0,1.0,2.0,,,10.0,0.1814,,-0.27,,,,1.0,,,,,,,,,,1.0,,,,
14025091,home,Aston Villa,Morgan Rogers,morgan-rogers,M. Rogers,M,27,187.0,13638,M,948261,EUR,1027641600,M,27,27,False,24.0,16.0,2.0,1.0,0.0,6.0,6.0,10.0,18.0,6.0,,4.0,,,,,,,,,,90.0,37.0,6.7,0.0315136,,1,,0.19,0.25,-0.17,,mrogers,,,1.0,4.0,3.0,2.0,1.0,,1.0,,12.0,0.0447,,0.22,,,,2.0,1.0,1.0,,,,,1.0,,0.5051,,,,,
14025091,home,Aston Villa,Evann Guessand,evann-guessand,E. Guessand,F,29,185.0,5228,M,930245,EUR,993945600,M,29,29,False,10.0,10.0,,,0.0,2.0,2.0,8.0,8.0,6.0,,3.0,,,,,,,,,,45.0,23.0,6.2,0.00479759,,1,,-0.07,0.02,-0.05,,,1.0,,,2.0,4.0,2.0,,,,1.0,8.0,0.0685,,-0.18,,,,1.0,,1.0,,,,1.0,1.0,,0.0561,,,,,
