match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,captain,stat_aerialWon,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_aerialLost,stat_outfielderBlock,stat_hitWoodwork,stat_ownGoals,stat_lastManTackle,stat_totalOffside
12764383,home,Paris Saint-Germain,Matvey Safonov,matvey-safonov,M. Safonov,G,39,191,16273,M,MSafonov,800749,EUR,919900800,G,39,39,False,23.0,18.0,8.0,3.0,0.0,18.0,21.0,2.0,6.0,2.0,1.0,1.0,90.0,28.0,7.1,5.0,0.00010735,0,0.0869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764383,home,Paris Saint-Germain,Achraf Hakimi,hakimi-achraf,A. Hakimi,D,2,181,124695,M,AHakimi,814594,EUR,910137600,D,2,2,False,59.0,53.0,,,0.0,16.0,18.0,45.0,5.0,,,,90.0,94.0,8.0,12.0,0.206309,6,,38.0,4.0,1.0,8.0,7.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,0.5705,0.9972,4.0,,,,,,,,,,,
12764383,home,Paris Saint-Germain,Marquinhos,marquinhos,Marquinhos,D,5,183,36487,M,marquinhosm5,155995,EUR,768873600,D,5,5,False,98.0,96.0,1.0,,0.0,78.0,79.0,19.0,5.0,,,,90.0,110.0,7.3,3.0,0.0109315,0,,18.0,,,3.0,5.0,,,2.0,1.0,,,,,,3.0,1.0,3.0,2.0,,2.0,,,1.0,True,1.0,,,,,,,,,
12764383,home,Paris Saint-Germain,Willian Pacho,willian-pacho,W. Pacho,D,51,187,25706,M,pachowilliam,979480,EUR,1003190400,D,51,51,False,109.0,105.0,2.0,1.0,0.0,87.0,89.0,20.0,6.0,,,,90.0,119.0,7.2,5.0,0.0099719,0,,18.0,,,2.0,3.0,,,,,,,,,,4.0,1.0,1.0,1.0,1.0,2.0,,,,,1.0,1.0,,,,,,,,
12764383,home,Paris Saint-Germain,Nuno Mendes,nuno-mendes,N. Mendes,D,25,180,37488,M,nunomendes_5,989768,EUR,1024444800,D,25,25,False,88.0,81.0,3.0,,0.0,49.0,52.0,39.0,2.0,,,,90.0,113.0,7.0,15.0,0.0308628,0,,33.0,3.0,1.0,3.0,4.0,,2.0,4.0,3.0,,,,,,3.0,,,,1.0,,,,,,,1.0,,,,,,,,
12764383,home,Paris Saint-Germain,Warren Zaïre-Emery,warren-zaire-emery,W. Zaïre-Emery,M,33,178,16174,M,wzairemery6,1142672,EUR,1141776000,M,33,33,False,61.0,57.0,4.0,3.0,0.0,20.0,22.0,40.0,4.0,,,,90.0,77.0,7.0,10.0,0.126734,1,,38.0,1.0,1.0,6.0,4.0,,2.0,4.0,1.0,,,,,1.0,1.0,,2.0,2.0,,1.0,0.0482,,3.0,,1.0,1.0,,,,,,,,
12764383,home,Paris Saint-Germain,Vitinha,vitinha,Vitinha,M,17,172,50727,M,vitinha,902029,EUR,950400000,M,17,17,False,47.0,45.0,6.0,6.0,0.0,21.0,21.0,26.0,5.0,,,,63.0,52.0,7.1,2.0,0.0251074,1,,24.0,,,1.0,2.0,,,,,,,,,1.0,1.0,1.0,,,2.0,,0.0256,,1.0,,,,,,1.0,,,,,
12764383,home,Paris Saint-Germain,Fabián Ruiz,fabian-ruiz,F. Ruiz,M,8,189,21886,M,fabianruiz52,784655,EUR,828489600,M,8,8,False,30.0,27.0,1.0,1.0,0.0,15.0,15.0,16.0,1.0,,,,63.0,38.0,6.8,6.0,0.0141195,2,,12.0,1.0,,2.0,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,0.0925,0.0162,1.0,,,,,,,1.0,,,,
12764383,home,Paris Saint-Germain,Ousmane Dembélé,ousmane-dembele,O. Dembélé,F,10,178,239860,M,ODembélé,818244,EUR,863654400,F,10,10,False,27.0,23.0,2.0,2.0,0.0,1.0,2.0,29.0,6.0,,,,89.0,57.0,7.4,18.0,0.084424,8,,23.0,4.0,1.0,9.0,4.0,,5.0,4.0,1.0,,1.0,2.0,2.0,4.0,,1.0,,,3.0,,0.5728,1.0899,3.0,,,2.0,,,1.0,,1.0,,,
12764383,home,Paris Saint-Germain,Marco Asensio,marco-asensio,M. Asensio,F,21,182,31813,M,marcoasensio10,361004,EUR,822182400,F,11,11,False,8.0,7.0,1.0,1.0,0.0,2.0,2.0,6.0,,,,,39.0,9.0,6.7,1.0,0.00315218,1,,5.0,,,1.0,,,,,,,,1.0,,,,,,,,,0.0546,,,,,,,,1.0,,,,,
