match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_errorLeadToAShot,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotValueNormalized,captain,stat_challengeLost,player_firstName,player_lastName,stat_outfielderBlock,stat_totalTackle,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_totalContest,stat_bigChanceCreated,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_wonContest,stat_totalOffside,stat_shotOffTarget,player_sofascoreId,stat_penaltyWon,stat_penaltyFaced,stat_penaltyConceded,stat_bigChanceMissed,stat_blockedScoringAttempt
14131858,home,Sporting Braga,Lukáš Horníček,lukas-hornicek,L. Horníček,G,1,194,548,M,963744,EUR,1026518400,G,1,1,False,52.0,50.0,8.0,6.0,0.0,48.0,48.0,2.0,4.0,4.0,9.0,2.0,2.0,3.0,1.0,2.0,2.0,90.0,66.0,7.9,2.0,0.00053352,0.2786,0,0.6688,0.1,0.0,0.27,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131858,home,Sporting Braga,Vítor Carvalho,vitor-carvalho,V. Carvalho,M,6,183,434,M,887754,EUR,864691200,D,6,6,False,75.0,68.0,8.0,6.0,0.0,40.0,41.0,28.0,34.0,3.0,2.0,,,,,,,90.0,90.0,8.3,8.0,0.0215811,,1,,0.3,0.06,-0.09,,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4114,0.7454,3.0,0.57,,,,,,,,,,,,,,,,,,,,,,,
14131858,home,Sporting Braga,Paulo Oliveira,paulo-oliveira,P. Oliveira,D,15,187,180,M,106751,EUR,694828800,D,15,15,False,67.0,64.0,5.0,3.0,0.0,60.0,61.0,4.0,6.0,5.0,1.0,,,,,,,55.0,74.0,6.9,3.0,0.00223955,,0,,0.09,0.05,0.15,,1.0,,2.0,,,,1.0,,,,,,,True,1.0,,,,,,,,,,,,,,,,,,,,,
14131858,home,Sporting Braga,Bright Arrey-Mbi,bright-arrey-mbi,B. Arrey-Mbi,D,26,187,788,M,997173,EUR,1048636800,D,26,26,False,101.0,93.0,9.0,3.0,0.0,68.0,71.0,25.0,30.0,3.0,3.0,,,,,,,90.0,106.0,7.4,8.0,0.248075,,0,,0.34,0.04,0.22,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
14131858,home,Sporting Braga,Leonardo Lelo,leonardo-lelo,L. Lelo,M,5,175,353,M,1006865,EUR,954374400,D,5,5,False,46.0,39.0,2.0,1.0,2.0,22.0,24.0,17.0,22.0,,4.0,,,,,,,90.0,78.0,7.8,17.0,0.343138,,0,,0.41,0.11,-0.02,,1.0,,5.0,3.0,,,1.0,,,,,2.0,,,1.0,,,,1.0,6.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,,,,,,,,,
14131858,home,Sporting Braga,Roger Fernandes,roger-fernandes,R. Fernandes,M,78,170,2450,M,1128560,EUR,1132531200,M,7,7,False,46.0,35.0,3.0,3.0,0.0,13.0,16.0,22.0,30.0,1.0,7.0,,,,,,,84.0,62.0,7.1,17.0,0.0509804,,2,,0.13,0.66,0.21,,,3.0,6.0,5.0,2.0,,,,2.0,0.0683,0.4653,,-0.45,,,,,,,,,,6.0,,,1.0,,2.0,1.0,,,,,,,
14131858,home,Sporting Braga,Jean-Baptiste Gorby,jean-baptiste-gorby,J. Gorby,M,29,181,4294,M,1120039,EUR,1027555200,M,29,29,False,53.0,51.0,4.0,3.0,0.0,32.0,33.0,19.0,20.0,1.0,2.0,,,,,,,69.0,57.0,6.5,3.0,0.0118514,,1,,-0.08,0.12,-0.13,,1.0,,2.0,,,,,1.0,,0.0329,,,-0.07,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,
14131858,home,Sporting Braga,Diego Rodrigues,rodrigues-diego,D. Rodrigues,M,50,178,222,M,1184326,EUR,1116892800,M,50,50,False,56.0,52.0,4.0,3.0,0.0,32.0,34.0,20.0,22.0,1.0,4.0,,,,,,,90.0,69.0,7.2,8.0,0.169225,,0,,0.21,0.32,0.24,,,,4.0,2.0,,,2.0,,,,,1.0,,,1.0,Diego Henrique,Rodrigues,,,,,2.0,2.0,,,1.0,1.0,1.0,,,,,,,,
14131858,home,Sporting Braga,Ismael Gharbi,gharbi-ismael,I. Gharbi,M,11,173,7580,M,1113488,EUR,1081555200,M,11,11,False,29.0,22.0,2.0,1.0,0.0,12.0,14.0,10.0,15.0,,1.0,,,,,,,69.0,47.0,6.3,14.0,0.0209596,,0,,-0.09,-0.04,-0.08,,,,8.0,5.0,,,,,4.0,,,,,,1.0,,,,3.0,1.0,,3.0,1.0,,,2.0,2.0,,,,,,,,,
14131858,home,Sporting Braga,Pau Víctor,pau-victor,P. Víctor,F,18,182,39072,M,1031567,EUR,1006819200,F,18,18,False,21.0,19.0,1.0,1.0,0.0,9.0,10.0,10.0,11.0,,3.0,,,,,,,55.0,30.0,7.4,6.0,0.00828633,,1,,-0.17,0.2,0.0,,,,3.0,1.0,1.0,1.0,,,,0.5269,0.6941,1.0,0.53,,,,,,,,,1.0,3.0,,,,,1.0,1.0,,PauVíctor,,,,,
