match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_outfielderBlock,captain,stat_totalContest,stat_wonContest,stat_fouls,stat_shotOffTarget,stat_bigChanceCreated,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalClearance,stat_punches,stat_ownGoals,stat_goals,stat_goalAssist,stat_totalOffside,stat_hitWoodwork
10913516,home,Abha,Abdulfattah Adam Mohammed,,,abdulfattah-adam-mohammed,A. A. Mohammed,F,77,180.0,85,M,952442,EUR,788918400,F,9,9,True,4.0,1.0,,,,,1.0,4.0,,,,,,,14.0,8.0,6.4,4.0,0,,,1.0,1.0,2.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,
10913516,home,Abha,Abdullah Al Shammari,,,abdullah-al-shammari,A. A. Shammari,G,,182.0,5,M,802092,EUR,690940800,G,1,1,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10913516,home,Abha,Saeed Al Hamsal,,,saeed-al-hamsal,S. A. Hamsal,D,39,176.0,21,M,818563,EUR,829785600,D,39,39,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10913516,home,Abha,Nasser Al-Omran,,,nasser-al-omran,N. Al-Omran,M,,172.0,2,M,923943,EUR,868752000,M,23,23,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10913516,home,Abha,Mutair Al Zahrani,Mutair Al Zahrani,,mutair-al-zahrani,M. A. Zahrani,M,15,174.0,8,M,1063645,EUR,782784000,D,15,15,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10913516,home,Abha,Saad Al-Salouli,,,saad-alselouli,S. Al-Salouli,M,24,168.0,15,M,917266,EUR,896054400,D,88,88,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10913516,home,Abha,Tayeb Meziani,,,tayeb-meziani,T. Meziani,F,,175.0,395,M,896711,EUR,825379200,F,17,17,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10913516,away,Al Wehda,Abdulquddus Atiah,,,abdulquddus-atiah,A. Atiah,G,13,183.0,100,M,925459,EUR,857174400,G,13,13,False,23.0,14.0,19.0,10.0,9.0,9.0,5.0,14.0,8.0,,3.0,4.0,,,90.0,34.0,6.9,9.0,0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,3.0,2.0,,,,,
10913516,away,Al Wehda,Fahad Al-Jayzani,,,fahad-aljayzani,F. Al-Jayzani,D,4,183.0,1,M,1466640,EUR,1062892800,D,42,42,False,20.0,12.0,4.0,,10.0,14.0,2.0,6.0,5.0,,,,,,90.0,30.0,6.0,8.0,0,,,,3.0,6.0,5.0,5.0,,1.0,2.0,2.0,,,,,,,,1.0,,,,,,6.0,,,,,,
10913516,away,Al Wehda,Óscar Duarte,,,oscar-duarte,Ó. Duarte,D,6,184.0,231,M,156401,EUR,612835200,D,6,6,False,25.0,18.0,13.0,7.0,10.0,16.0,8.0,9.0,3.0,,,,,,90.0,34.0,6.9,7.0,1,,,,,1.0,,1.0,,3.0,,,,,1.0,1.0,,,,,,,,1.0,,2.0,,,,,,
10913516,away,Al Wehda,Abdullah Bukhari,,,abdullah-bukhari,A. Bukhari,D,3,177.0,10,M,832637,EUR,774489600,D,3,3,False,14.0,12.0,4.0,3.0,6.0,8.0,6.0,6.0,5.0,,,,,,90.0,33.0,6.5,5.0,0,,,1.0,1.0,5.0,4.0,,,3.0,2.0,,1.0,,,,,2.0,1.0,3.0,,,,,,6.0,,1.0,,,,
10913516,away,Al Wehda,Fayçal Fajr,,,faycal-fajr,F. Fajr,M,76,178.0,1037,M,143786,EUR,586396800,M,76,76,False,49.0,46.0,6.0,4.0,20.0,20.0,27.0,35.0,8.0,,,,,,90.0,64.0,7.7,9.0,2,6.0,1.0,,,2.0,4.0,1.0,,1.0,1.0,,,1.0,2.0,,,2.0,2.0,1.0,,,1.0,2.0,,1.0,,,1.0,,,
