match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_outfielderBlock,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_interceptionWon,stat_wonTackle,captain,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_hitWoodwork,player_sofascoreId,stat_dispossessed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goodHighClaim,stat_bigChanceCreated,stat_bigChanceMissed,stat_goals,stat_totalOffside,stat_goalAssist
10408426,home,Cádiz,David Gil,david-gil,D. Gil,G,1,183,78,M,138390,EUR,758246400,G,13,13,False,27.0,14.0,25.0,12.0,2.0,2.0,12.0,25.0,2.0,7.0,8.0,9.0,90.0,44.0,8.5,13.0,0.0,0.0,0.00280014,0,1.1635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408426,home,Cádiz,Raúl Parra,raul-parra,R. Parra,D,36,187,79,M,1069725,EUR,943574400,D,2,2,False,15.0,9.0,1.0,,6.0,8.0,4.0,9.0,2.0,3.0,,,55.0,30.0,6.5,9.0,0.0,0.0,0.0487752,0,,,,2.0,1.0,1.0,2.0,5.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
10408426,home,Cádiz,Luis Hernández,luis-hernandez,L. Hernández,D,,182,89,M,260097,EUR,608515200,D,23,23,False,30.0,24.0,5.0,2.0,14.0,15.0,10.0,15.0,6.0,5.0,,,90.0,46.0,6.9,8.0,0.0,0.0,0.00495701,0,,,,,,,,2.0,5.0,1.0,,5.0,1.0,,1.0,,1.0,3.0,,,,,,,,,,,,,,,
10408426,home,Cádiz,Fali,fali,Fali,D,,186,193,M,349794,EUR,745113600,D,3,3,False,25.0,24.0,7.0,6.0,16.0,17.0,8.0,8.0,3.0,5.0,,,90.0,41.0,7.0,2.0,0.0,0.0,0.00376638,0,,,,,,,,3.0,2.0,3.0,3.0,2.0,1.0,,,,3.0,2.0,,,,,,,,,,,,,,,
10408426,home,Cádiz,Alfonso Espino,alfonso-espino,A. Espino,D,22,172,656,M,542634,EUR,694569600,D,22,22,False,27.0,20.0,5.0,2.0,11.0,13.0,9.0,15.0,1.0,10.0,,,90.0,43.0,6.6,9.0,0.1054,0.0,0.00527435,2,,,,1.0,,,1.0,4.0,4.0,3.0,,1.0,1.0,,1.0,1.0,2.0,1.0,True,2.0,2.0,2.0,1.0,,,,,,,,,,
10408426,home,Cádiz,Théo Bongonda,theo-bongonda,T. Bongonda,M,77,177,22829,M,344953,EUR,816825600,M,10,10,False,25.0,19.0,1.0,1.0,3.0,5.0,16.0,23.0,,4.0,,,90.0,44.0,6.8,15.0,0.0,0.0,0.190055,0,,,,3.0,,,2.0,5.0,8.0,2.0,,2.0,2.0,2.0,,2.0,,2.0,,4.0,2.0,,,theo_bongonda,1.0,,,,,,,,
10408426,home,Cádiz,Fede San Emeterio,fede-san-emeterio,F. S. E. Diaz,M,6,174,81,M,376382,EUR,858470400,M,24,24,False,25.0,20.0,3.0,1.0,11.0,11.0,9.0,14.0,1.0,2.0,,,70.0,33.0,6.7,5.0,0.0,0.0,0.00572749,0,,,,,,,,5.0,4.0,3.0,2.0,3.0,,1.0,2.0,,,1.0,,,,,,,,,,,,,,,
10408426,home,Cádiz,Rubén Alcaraz,ruben-alcaraz,R. Alcaraz,M,4,180,243,M,259339,EUR,673056000,M,4,4,False,45.0,36.0,10.0,7.0,15.0,19.0,21.0,29.0,,10.0,,,90.0,60.0,6.6,14.0,0.0238,0.0321,0.0157632,1,,,,3.0,,,,5.0,1.0,2.0,1.0,,1.0,1.0,2.0,2.0,,,,,,,,,1.0,1.0,,,,,,,
10408426,home,Cádiz,Rubén Sobrino,ruben-sobrino,R. Sobrino,M,19,185,175,M,329563,EUR,698198400,M,7,7,False,18.0,14.0,,,7.0,8.0,7.0,10.0,,2.0,,,70.0,27.0,6.7,6.0,0.0,0.0,0.0185733,0,,,,,,1.0,,5.0,3.0,2.0,1.0,1.0,,,,1.0,1.0,,,3.0,2.0,,,,1.0,,,,,,,,
10408426,home,Cádiz,Sergi Guardiola,sergi-guardiola,S. Guardiola,F,14,185,229,M,141945,EUR,675475200,F,19,19,False,14.0,12.0,,,4.0,4.0,8.0,10.0,1.0,3.0,,,70.0,20.0,6.6,4.0,0.0385,0.0,0.0143761,1,,,,,,,1.0,2.0,2.0,1.0,,,1.0,1.0,,,1.0,,,,,,,,1.0,,1.0,,,,,,
