match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,player_firstName,player_lastName,captain,stat_aerialWon,stat_wasFouled,stat_blockedScoringAttempt,stat_outfielderBlock,stat_errorLeadToAShot,stat_expectedGoals,stat_aerialLost,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_sofascoreId,stat_goals,stat_totalOffside,stat_lastManTackle
12450229,home,Stade Brestois,Marco Bizot,marco-bizot,M. Bizot,G,40,194,898,M,100390,EUR,668563200,G,40,40,False,30.0,25.0,10.0,5.0,0.0,22.0,25.0,3.0,5.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,90.0,41.0,7.3,5.0,0.00040028,0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450229,home,Stade Brestois,Kenny Lala,kenny-lala,K. Lala,D,77,178,604,M,141080,EUR,686448000,D,7,7,False,71.0,58.0,6.0,4.0,0.0,34.0,36.0,26.0,40.0,2.0,6.0,,,,,,,90.0,97.0,7.3,20.0,0.0500804,0,,5.0,2.0,5.0,4.0,2.0,1.0,4.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,
12450229,home,Stade Brestois,Brendan Chardonnet,brendan-chardonnet,B. Chardonnet,D,5,181,234,M,328035,EUR,788054400,D,5,5,False,63.0,60.0,9.0,6.0,0.0,46.0,46.0,14.0,17.0,6.0,3.0,,,,,,,90.0,77.0,7.6,3.0,0.00495898,0,,,,,7.0,,,,,1.0,4.0,2.0,,,,,,True,1.0,2.0,,,,,,,,,,,,,
12450229,home,Stade Brestois,Abdoulaye Ndiaye,abdoulaye-ndiaye,A. Ndiaye,D,3,195,1264,M,984527,EUR,1018396800,D,3,3,False,81.0,79.0,7.0,6.0,0.0,59.0,60.0,20.0,21.0,10.0,7.0,,,,,,,90.0,98.0,7.4,4.0,0.0074864,1,,,,4.0,3.0,,,1.0,,,2.0,2.0,1.0,3.0,,,,,1.0,,1.0,1.0,1.0,0.0239,,,,,,,,,
12450229,home,Stade Brestois,Massadio Haïdara,massadio-haidara,M. Haïdara,D,21,179,600,M,143344,EUR,723254400,D,22,22,False,58.0,54.0,3.0,2.0,0.0,25.0,25.0,29.0,37.0,1.0,2.0,,,,,,,90.0,92.0,8.2,10.0,0.0477468,0,,4.0,,4.0,11.0,1.0,,1.0,1.0,2.0,5.0,3.0,2.0,2.0,,,,,,5.0,,1.0,,,1.0,,,,,,,,
12450229,home,Stade Brestois,Mahdi Camara,camara-mahdi,M. Camara,M,45,178,964,M,916041,EUR,899164800,M,45,45,False,54.0,50.0,1.0,1.0,1.0,22.0,23.0,30.0,34.0,,2.0,,,,,,,87.0,70.0,7.1,9.0,0.231409,2,,3.0,2.0,6.0,4.0,2.0,1.0,3.0,1.0,2.0,2.0,,1.0,1.0,2.0,,,,,1.0,,,,0.3316,,1.0,2.0,,,,,,
12450229,home,Stade Brestois,Pierre Lees Melou,pierre-lees-melou,P. L. Melou,M,33,185,589,M,801306,EUR,738288000,M,20,20,False,93.0,85.0,8.0,8.0,0.0,42.0,42.0,44.0,52.0,1.0,5.0,,,,,,,90.0,114.0,8.5,9.0,0.388176,2,,1.0,1.0,4.0,10.0,2.0,,2.0,2.0,,3.0,3.0,1.0,2.0,2.0,,,,,5.0,,1.0,,0.045,,,1.0,1.0,0.0472,,,,
12450229,home,Stade Brestois,Kamory Doumbia,kamory-doumbia,K. Doumbia,M,23,170,5674,M,1156353,EUR,1045526400,M,9,9,False,48.0,43.0,1.0,1.0,0.0,15.0,15.0,28.0,33.0,1.0,3.0,,,,,,,68.0,57.0,7.0,6.0,0.0612055,0,,,,1.0,2.0,,,1.0,,1.0,1.0,,,,,Kamory Doumbia,,,,1.0,,,,,,,,,,kamory_doumbia03,,,
12450229,home,Stade Brestois,Romain Del Castillo,romain-del-castillo,R. Del Castillo,M,10,172,689,M,825681,EUR,828057600,F,10,10,False,44.0,36.0,3.0,2.0,0.0,10.0,10.0,29.0,39.0,,3.0,,,,,,,68.0,60.0,7.8,14.0,0.165519,2,,5.0,3.0,4.0,1.0,,1.0,3.0,1.0,,,,1.0,1.0,3.0,,,,,,1.0,,,0.0925,,,,1.0,0.6037,,1.0,,
12450229,home,Stade Brestois,Ludovic Ajorque,ludovic-ajorque,L. Ajorque,F,19,196,1367,M,343971,EUR,762134400,F,19,19,False,27.0,20.0,2.0,2.0,0.0,11.0,12.0,10.0,16.0,1.0,4.0,,,,,,,81.0,39.0,7.3,11.0,0.105198,3,,1.0,1.0,4.0,7.0,,2.0,1.0,1.0,,2.0,2.0,2.0,2.0,2.0,,,,4.0,,1.0,,,0.2446,,1.0,1.0,1.0,0.259,,,,
