match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,player_sofascoreId,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,captain,stat_totalContest,stat_wasFouled,stat_aerialLost,stat_totalCross,stat_accurateCross,stat_wonContest,stat_bigChanceCreated,stat_keyPass,stat_lastManTackle,stat_goalAssist,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_clearanceOffLine,stat_savedShotsFromInsideTheBox,stat_errorLeadToAGoal,stat_totalOffside
10438189,home,Sporting CP,Franco Israel,franco-israel,F. Israel,G,81,189,2282,M,1084846,EUR,956361600,G,12,12,False,38.0,32.0,10.0,4.0,29.0,29.0,3.0,9.0,1.0,1.0,8.0,3.0,1.0,90.0,48.0,6.2,6.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438189,home,Sporting CP,Ousmane Diomande,diomande-ousmane,O. Diomande,D,26,190,4976,M,1394342,EUR,1070496000,D,26,26,False,52.0,46.0,5.0,2.0,30.0,34.0,16.0,18.0,1.0,4.0,3.0,,,90.0,71.0,7.4,8.0,2,Ousmane,Diomande,ousdiomande,5.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,
10438189,home,Sporting CP,Sebastián Coates,sebastian-coates,S. Coates,D,4,196,2042,M,47443,EUR,655257600,D,4,4,False,48.0,37.0,12.0,6.0,19.0,23.0,18.0,25.0,3.0,6.0,4.0,,,90.0,59.0,6.3,13.0,0,Sebastián,Coates,,3.0,,,,,,2.0,,,1.0,1.0,1.0,2.0,True,1.0,2.0,,,,,,,,,,,,,,
10438189,home,Sporting CP,Gonçalo Inácio,goncalo-inacio,G. Inácio,D,25,186,6686,M,1001196,EUR,998697600,D,25,25,False,62.0,53.0,4.0,2.0,29.0,33.0,24.0,29.0,3.0,6.0,6.0,,,90.0,76.0,7.0,9.0,0,Gonçalo,Inácio,goncaloinacio_25,5.0,1.0,,,,,2.0,2.0,3.0,2.0,2.0,,1.0,,,1.0,3.0,,,,,,,,,,,,,
10438189,home,Sporting CP,Ricardo Esgaio,ricardo-esgaio,R. Esgaio,D,47,171,673,M,97000,EUR,737510400,M,47,47,False,33.0,23.0,5.0,2.0,9.0,13.0,15.0,24.0,2.0,10.0,3.0,,,72.0,58.0,7.7,15.0,1,,,,2.0,1.0,,,1.0,,,,,7.0,7.0,,,,1.0,,1.0,4.0,1.0,1.0,1.0,1.0,,,,,,,,
10438189,home,Sporting CP,Manuel Ugarte,manuel-ugarte,M. Ugarte,M,25,182,19122,M,846425,EUR,986947200,M,15,15,False,55.0,51.0,7.0,6.0,24.0,26.0,27.0,29.0,,15.0,8.0,,,90.0,85.0,7.8,6.0,0,,,ugartemanu,8.0,3.0,2.0,,,,3.0,3.0,1.0,7.0,5.0,,1.0,,5.0,3.0,2.0,,,5.0,,,,,,,,,,
10438189,home,Sporting CP,Hidemasa Morita,hidemasa-morita,H. Morita,M,5,177,3106,M,926560,EUR,800064000,M,5,5,False,36.0,29.0,9.0,7.0,11.0,15.0,18.0,21.0,3.0,9.0,6.0,,,79.0,52.0,7.7,9.0,1,Hidemasa,Morita,,2.0,,,1.0,,,2.0,,1.0,4.0,3.0,2.0,1.0,,,2.0,1.0,,,,,1.0,1.0,,,,,,,
10438189,home,Sporting CP,Nuno Santos,nuno-santos,N. Santos,M,11,179,1386,M,352882,EUR,792547200,M,11,11,False,46.0,39.0,7.0,6.0,18.0,22.0,22.0,29.0,,,5.0,,,79.0,62.0,6.9,12.0,0,Nuno,Santos,,1.0,,,,,,,,,,,,,,1.0,,,5.0,1.0,,,1.0,,1.0,,,,,,
10438189,home,Sporting CP,Marcus Edwards,edwards-marcus,M. Edwards,M,10,167,2823,M,795066,EUR,912643200,F,10,10,False,20.0,19.0,1.0,1.0,5.0,6.0,14.0,14.0,,2.0,4.0,,,54.0,31.0,6.2,9.0,0,,,,8.0,2.0,1.0,,,,,,,,,4.0,2.0,,4.0,1.0,,,,1.0,,,,,,,,,,
10438189,home,Sporting CP,Francisco Trincão,francisco-trincao,F. Trincão,F,17,184,11949,M,830431,EUR,946425600,F,17,17,False,14.0,10.0,1.0,1.0,3.0,4.0,7.0,10.0,,3.0,2.0,,,72.0,26.0,7.6,7.0,4,Francisco,Trincão,trincao,5.0,2.0,1.0,1.0,3.0,1.0,1.0,,,1.0,,,,,3.0,1.0,,,,1.0,,2.0,,,1.0,,,,,
