match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialWon,stat_bigChanceMissed,stat_shotOffTarget,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_aerialLost,stat_wasFouled,captain,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_totalOffside,stat_blockedScoringAttempt,stat_goodHighClaim,stat_punches,stat_goals
12764991,home,Omonia Nicosia,Fabiano,fabiano,Fabiano,G,40,197,467,M,34317,EUR,573091200,G,40,40,False,19.0,18.0,1.0,0.0,18.0,18.0,1.0,3.0,1.0,1.0,90.0,21.0,6.0,1.0,1.279e-05,0,-0.8385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764991,home,Omonia Nicosia,Alpha Dionkou,alpha-dionkou,A. Dionkou,D,2,183,313,M,930247,EUR,1002672000,D,2,2,False,55.0,48.0,9.0,0.0,22.0,23.0,39.0,2.0,,,90.0,89.0,6.5,20.0,0.270977,0,,,,5.0,27.0,7.0,1.0,5.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
12764991,home,Omonia Nicosia,Senou Coulibaly,senou-coulibaly,S. Coulibaly,D,5,193,244,M,937741,EUR,778636800,D,5,5,False,82.0,79.0,2.0,0.0,49.0,50.0,32.0,4.0,,,90.0,98.0,6.7,3.0,0.0111463,1,,,,1.0,30.0,,,2.0,3.0,1.0,,,,,,1.0,,1.0,1.0,1.0,7.0,1.0,3.0,2.0,1.0,0.095,,,,,,,,,,
12764991,home,Omonia Nicosia,Nikolas Panagiotou,nikolas-panagiotou,N. Panagiotou,D,30,183,171,M,949605,EUR,958089600,D,30,30,False,77.0,70.0,9.0,0.0,50.0,52.0,25.0,6.0,,,90.0,92.0,7.0,7.0,0.00597653,0,,,,4.0,20.0,,,,1.0,,,,,,,,,,,,9.0,2.0,1.0,1.0,1.0,,,,,,,,,,,
12764991,home,Omonia Nicosia,Amine Khammas,amine-khammas,A. Khammas,D,24,172,821,M,889491,EUR,923356800,D,24,24,False,56.0,51.0,,0.0,25.0,26.0,37.0,2.0,,,90.0,84.0,6.9,10.0,0.121542,0,,,,,28.0,7.0,2.0,4.0,5.0,2.0,,,,1.0,,,1.0,,,,4.0,,,3.0,,,2.0,2.0,,,,,,,,
12764991,home,Omonia Nicosia,Giannis Masouras,giannis-masouras,G. Masouras,D,21,181,186,M,369940,EUR,840844800,M,17,17,False,12.0,7.0,1.0,0.0,3.0,5.0,9.0,7.0,,,45.0,29.0,6.9,13.0,0.027921,0,,,,1.0,5.0,2.0,1.0,5.0,7.0,,2.0,5.0,2.0,1.0,2.0,,1.0,1.0,,,,,,4.0,4.0,,,,,,,,,,,
12764991,home,Omonia Nicosia,Ioannis Kousoulos,ioannis-kousoulos,I. Kousoulos,M,31,180,153,M,369708,EUR,834710400,M,31,31,False,21.0,14.0,2.0,0.0,6.0,9.0,12.0,4.0,,,45.0,29.0,6.7,8.0,0.00678236,1,,,,,8.0,,,2.0,2.0,1.0,,,,,1.0,1.0,,,,1.0,2.0,2.0,,2.0,1.0,0.0129,,,True,,,,,,,
12764991,home,Omonia Nicosia,Mateo Marić,mateo-maric,M. Marić,M,14,178,171,M,858501,EUR,890179200,M,20,20,False,69.0,61.0,3.0,0.0,20.0,22.0,48.0,7.0,,,90.0,78.0,6.7,8.0,0.0503489,0,,,,1.0,42.0,1.0,1.0,3.0,4.0,1.0,,1.0,1.0,,,1.0,,1.0,,,2.0,,2.0,1.0,,,1.0,1.0,,,,,,,,
12764991,home,Omonia Nicosia,Willy Semedo,willy-semedo,W. Semedo,M,7,185,702,M,889052,EUR,767404800,M,7,7,False,35.0,30.0,,0.0,10.0,11.0,24.0,5.0,,,76.0,54.0,6.5,9.0,0.190505,2,,,,,20.0,,,7.0,4.0,2.0,3.0,3.0,2.0,,,,,1.0,2.0,1.0,,,5.0,,,0.8024,1.0,1.0,,1.0,0.6834,,,,,
12764991,home,Omonia Nicosia,Veljko Simić,veljko-simic,V. Simić,M,21,180,292,M,188117,EUR,792979200,F,21,21,False,28.0,26.0,1.0,0.0,8.0,9.0,21.0,,,,82.0,39.0,6.8,8.0,0.0457663,0,,,,1.0,18.0,2.0,,3.0,3.0,,3.0,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,,1.0,,,,1.0,,,,,,,,
12764991,home,Omonia Nicosia,Mariusz Stępiński,mariusz-stepinski,M. Stępiński,F,14,183,1281,M,189127,EUR,800236800,F,14,14,False,9.0,5.0,,0.0,2.0,3.0,6.0,,,,60.0,27.0,6.5,11.0,0.00755656,1,,,,,3.0,,,2.0,5.0,,1.0,1.0,,,5.0,,,1.0,1.0,,1.0,,,3.0,1.0,0.2893,,2.0,,1.0,0.7468,1.0,,,,
12764991,home,Omonia Nicosia,Novica Eraković,novica-erakovic,N. Eraković,M,44,187,136,M,890634,EUR,942364800,M,80,80,True,29.0,25.0,2.0,0.0,10.0,12.0,17.0,3.0,,,45.0,38.0,6.6,5.0,0.00864415,1,,,,1.0,15.0,,,2.0,1.0,1.0,,1.0,,,,,,,,1.0,,,3.0,1.0,,0.0274,,,,,,,,,,
